turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 17.619921869863905,17.619921869863905,18.95859523956681,0.060218886,11,99.99410040045767,First,non,non, False
2, 18.490939841362078,17.63930230664615,18.95859523956681,0.16978739,10.95,99.99054276315789,First,non,InsideOvertaking, False
3, 18.500706984914864,17.57931545903499,18.95859523956681,0.343387,10.9,99.98873712814645,First,non,InsideOvertaking, False
4, 19.362307026591075,17.623422381048773,18.95859523956681,0.57901603,10.849999,99.9880935354691,First,non,InsideOvertaking, False
5, 17.961231763387,17.663476360113226,18.95859523956681,0.87592995,10.799999,99.98802202517163,First,non,InsideOvertaking, False
6, 19.209705760963608,17.604170992015693,18.95859523956681,1.2337669,10.749999,99.98795051487414,First,non,InsideOvertaking, False
7, 18.21403693457996,17.622208885769183,18.95859523956681,1.6523232,10.699999,99.98726222826087,First,non,InsideOvertaking, False
8, 17.87949412932224,17.669417558678543,18.95859523956681,2.1314726,10.649999,99.98539402173913,First,non,InsideOvertaking, False
9, 19.54606935705754,17.635188247539688,18.95859523956681,2.6711311,10.599998,99.98175593535468,First,non,InsideOvertaking, False
10, 18.58548047565003,17.669568067795375,18.95859523956681,3.2712407,10.549998,99.97575800915332,First,non,InsideOvertaking, False
11, 18.70567854906561,17.625996376376804,18.95859523956681,3.9317586,10.499998,99.96680134439359,First,non,InsideOvertaking, False
12, 19.280035512186775,17.631391819162236,18.95859523956681,4.652653,10.449998,99.95430491990847,First,non,InsideOvertaking, False
13, 18.551860219799035,17.58566255953934,18.95859523956681,5.4339004,10.399998,99.9376877145309,First,non,InsideOvertaking, False
14, 18.299825314300893,17.622473467543067,18.95859523956681,6.2754807,10.3499975,99.91635082951944,First,non,InsideOvertaking, False
15, 18.0035988336555,17.661913136376263,18.95859523956681,7.177379,10.299997,99.88971324370709,First,non,InsideOvertaking, False
16, 19.463828112269052,17.65866710493449,18.95859523956681,8.139584,10.249997,99.85718499713958,First,non,InsideOvertaking, False
17, 18.759060727236626,17.662730445570656,18.95859523956681,9.0987835,10.199997,99.82497854691076,First,non,InsideOvertaking, False
18, 18.949287810881856,17.55537451001086,18.95859523956681,10.054979,10.149997,99.79305813787185,First,non,InsideOvertaking, False
19, 18.549892380883847,17.666853052859064,18.95859523956681,11.008171,10.099997,99.76145058638444,First,non,InsideOvertaking, False
20, 18.654074139059354,17.652201205456805,18.95859523956681,11.958359,10.049996,99.73014695366133,First,non,InsideOvertaking, False
21, 17.920890712492657,17.580376013214053,18.95859523956681,12.905542,9.999996,99.69913830091534,First,non,InsideOvertaking, False
22, 18.959245621964087,17.567823235292554,18.95859523956681,13.849722,9.949996,99.66844250572082,First,non,InsideOvertaking, False
23, 19.179183871606984,17.636153224553304,18.95859523956681,14.794121,9.899996,99.63771095537757,First,non,InsideOvertaking, False
24, 19.502267616733462,17.65317061976122,18.95859523956681,15.738738,9.849996,99.60696152745996,First,non,InsideOvertaking, False
25, 19.023339048815714,17.625168308745145,18.95859523956681,16.683575,9.799995,99.57619422196797,First,non,InsideOvertaking, False
26, 18.71840153645119,17.560117587141363,18.95859523956681,17.625408,9.749995,99.54573083524028,First,non,InsideOvertaking, False
27, 17.961458850668066,17.572054662928135,18.95859523956681,18.564236,9.699995,99.51555348970251,First,non,InsideOvertaking, False
28, 18.907180181183406,17.5810148515982,18.95859523956681,19.503283,9.649995,99.48536720537757,First,non,InsideOvertaking, False
29, 18.558179600925005,17.630287066910164,18.95859523956681,20.439325,9.599995,99.45545802345538,First,non,InsideOvertaking, False
30, 17.848646398975927,17.604543560241606,18.95859523956681,21.372364,9.549994,99.42586169908466,First,non,InsideOvertaking, False
31, 19.145429120805776,17.61263338915379,18.95859523956681,22.305622,9.499994,99.39622961956522,First,non,InsideOvertaking, False
32, 18.20232915479088,17.597139589541502,18.95859523956681,23.235876,9.449994,99.36690145881006,First,non,InsideOvertaking, False
33, 18.048477538530292,17.57254267071629,18.95859523956681,24.163126,9.399994,99.33786827803203,First,non,InsideOvertaking, False
34, 17.63291808828487,17.63291808828487,18.95859523956681,25.088722,9.399994,99.30911219965675,First,non,non, False
35, 17.645676808415296,17.645676808415296,18.95859523956681,26.011318,9.399994,99.28065110125858,First,non,non, False
36, 17.577198644801157,17.577198644801157,18.95859523956681,26.930914,9.399994,99.25247604405034,First,non,non, False
37, 17.639558726912707,17.639558726912707,18.95859523956681,27.847511,9.399994,99.22459596681922,First,non,non, False
38, 17.621023951184764,17.621023951184764,18.95859523956681,28.761108,9.399994,99.19699299199085,First,non,non, False
39, 17.564624903617695,17.564624903617695,18.95859523956681,29.671705,9.399994,99.16966711956522,First,non,non, False
40, 17.951572389003957,17.58720431781986,18.95859523956681,30.577923,9.349994,99.14262728832952,First,non,InsideOvertaking, False
41, 18.751789866414896,17.576363191712115,18.95859523956681,31.48436,9.2999935,99.11557851830663,First,non,InsideOvertaking, False
42, 18.769113926377436,17.61905190006201,18.95859523956681,32.391018,9.249993,99.08849399313502,First,non,InsideOvertaking, False
43, 18.84518497364056,17.57960282522218,18.95859523956681,33.297894,9.199993,99.06139159038902,First,non,InsideOvertaking, False
44, 19.23065851893785,17.586967818651136,18.95859523956681,34.20499,9.149993,99.03427131006865,First,non,InsideOvertaking, False
45, 19.137165546985663,17.643699040757454,18.95859523956681,35.112305,9.099993,99.0071331521739,First,non,InsideOvertaking, False
46, 18.866343589201822,17.633919562199274,18.95859523956681,36.019836,9.049993,98.9799771167048,First,non,InsideOvertaking, False
47, 18.391722791876816,17.608795389793393,18.95859523956681,36.92759,8.999992,98.95279426487414,First,non,InsideOvertaking, False
48, 18.016906214492977,17.60414074321895,18.95859523956681,37.832336,8.949992,98.92589745423341,First,non,InsideOvertaking, False
49, 17.579927318016964,17.579927318016964,18.95859523956681,38.735466,8.949992,98.89926880720824,First,non,non, False
50, 17.641931544540537,17.641931544540537,18.95859523956681,39.635593,8.949992,98.87292620137299,First,non,non, False
51, 17.649009304554248,17.649009304554248,18.95859523956681,40.532722,8.949992,98.8468606979405,First,non,non, False
52, 17.63894854247098,17.63894854247098,18.95859523956681,41.426853,8.949992,98.82106335812357,First,non,non, False
53, 17.664702689863915,17.664702689863915,18.95859523956681,42.31798,8.949992,98.79554312070938,First,non,non, False
54, 17.669528515050015,17.669528515050015,18.95859523956681,43.206112,8.949992,98.77029998569795,First,non,non, False
55, 17.555140163794007,17.555140163794007,18.95859523956681,44.09124,8.949992,98.74533395308924,First,non,non, False
56, 17.55894669357307,17.55894669357307,18.95859523956681,44.97337,8.949992,98.72061820652173,First,non,non, False
57, 17.599815190149524,17.599815190149524,18.95859523956681,45.852497,8.949992,98.69617956235697,First,non,non, False
58, 17.64608433330645,17.64608433330645,18.95859523956681,46.731846,8.949992,98.67172304061785,First,non,non, False
59, 17.67227882764788,17.67227882764788,18.95859523956681,47.611412,8.949992,98.64724864130434,First,non,non, False
60, 17.848708546141697,17.661702539547804,18.95859523956681,48.489777,8.899992,98.62274742562929,First,non,InsideOvertaking, False
61, 19.105408733093466,17.638645376795225,18.95859523956681,49.36836,8.849992,98.59822833237986,First,non,InsideOvertaking, False
62, 19.482599521669215,17.560695313680657,18.95859523956681,50.24716,8.799992,98.57370030034325,First,non,InsideOvertaking, False
63, 18.82256915113662,17.648516229109827,18.95859523956681,51.126183,8.749991,98.54914545194508,First,non,InsideOvertaking, False
64, 18.826966295451584,17.57471336749719,18.95859523956681,52.005424,8.699991,98.52457272597255,First,non,InsideOvertaking, False
65, 18.972357352386663,17.5822185826288,18.95859523956681,52.884884,8.649991,98.49997318363845,First,non,InsideOvertaking, False
66, 19.33497111235317,17.662018941364156,18.95859523956681,53.764565,8.599991,98.47535576372998,First,non,InsideOvertaking, False
67, 18.62397476149857,17.55836289349336,18.95859523956681,54.644463,8.549991,98.45072940503432,First,non,InsideOvertaking, False
68, 18.786173524828904,17.62303123362482,18.95859523956681,55.524582,8.49999,98.42606729118994,First,non,InsideOvertaking, False
