turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.404111736168833,19.404111736168833,20.86311792892897,0.060221132,11,99.98833833244818,First,non,non, False
2, 21.017928953605182,19.398128585451612,20.86311792892897,0.16979457,10.95,99.9806686643009,First,non,InsideOvertaking, False
3, 20.26505958673019,19.429237976943966,20.86311792892897,0.3434012,10.9,99.97613601615811,First,non,InsideOvertaking, False
4, 21.111732204133354,19.371843321285102,20.86311792892897,0.5790394,10.849999,99.97392941491245,First,non,InsideOvertaking, False
5, 19.67608877897507,19.427702960173036,20.86311792892897,0.87596464,10.799999,99.97321902761684,First,non,InsideOvertaking, False
6, 21.267941783031898,19.344507759557523,20.86311792892897,1.2338152,10.749999,99.97318130793742,First,non,InsideOvertaking, False
7, 19.89319585250924,19.343165823619767,20.86311792892897,1.6523874,10.699999,99.97298642292712,First,non,InsideOvertaking, False
8, 21.180479159376038,19.365803261593708,20.86311792892897,2.1315548,10.649999,99.97179825302563,First,non,InsideOvertaking, False
9, 20.57060920758016,19.408753888679055,20.86311792892897,2.6712337,10.599998,99.96881211173877,First,non,InsideOvertaking, False
10, 21.325309120025192,19.429271251027565,20.86311792892897,3.2713656,10.549998,99.96317930627977,First,non,InsideOvertaking, False
11, 20.957281274072063,19.351807879421315,20.86311792892897,3.9319084,10.499998,99.95408257692803,First,non,InsideOvertaking, False
12, 19.949653262886336,19.42017401441672,20.86311792892897,4.65283,10.449998,99.94069837734968,First,non,InsideOvertaking, False
13, 21.246374296483058,19.354065415526307,20.86311792892897,5.4341063,10.399998,99.92220316121089,First,non,InsideOvertaking, False
14, 21.16043798325592,19.36232993901567,20.86311792892897,6.275718,10.3499975,99.89775452233809,First,non,InsideOvertaking, False
15, 21.051047938042217,19.45557055187364,20.86311792892897,7.1776505,10.299997,99.86653520101068,First,non,InsideOvertaking, False
16, 20.45881161449168,19.461833947471565,20.86311792892897,8.139891,10.249997,99.82771536428157,First,non,InsideOvertaking, False
17, 20.34068893645328,19.39609155197351,20.86311792892897,9.162428,10.199997,99.78046517920367,First,non,InsideOvertaking, False
18, 19.674626083451326,19.40755350500711,20.86311792892897,10.181962,10.149997,99.73367391689197,First,non,InsideOvertaking, False
19, 20.386325523778368,19.392691155834385,20.86311792892897,11.198492,10.099997,99.68729757105382,First,non,InsideOvertaking, False
20, 20.31393156805702,19.391113790956712,20.86311792892897,12.212019,10.049996,99.64136757475538,First,non,InsideOvertaking, False
21, 20.24792292105301,19.383086606671817,20.86311792892897,13.222542,9.999996,99.59586506815694,First,non,InsideOvertaking, False
22, 21.113550791978366,19.446018198674157,20.86311792892897,14.233286,9.949996,99.55033741510557,First,non,InsideOvertaking, False
23, 20.574980988719762,19.393764015561295,20.86311792892897,15.244251,9.899996,99.50477832898802,First,non,InsideOvertaking, False
24, 21.13719475224948,19.380730715465333,20.86311792892897,16.255438,9.849996,99.45918152319106,First,non,InsideOvertaking, False
25, 20.186481504249336,19.454646588611826,20.86311792892897,17.263622,9.799995,99.41401849370735,First,non,InsideOvertaking, False
26, 21.260986749149534,19.46219434842351,20.86311792892897,18.272028,9.749995,99.36882403115746,First,non,InsideOvertaking, False
27, 19.91969731349531,19.34889651238126,20.86311792892897,19.27743,9.699995,99.32405705830759,First,non,InsideOvertaking, False
28, 20.249190073502767,19.36311188880666,20.86311792892897,20.283052,9.649995,99.27926493900476,First,non,InsideOvertaking, False
29, 21.113064861194086,19.425694725524437,20.86311792892897,21.288897,9.599995,99.23443510002252,First,non,InsideOvertaking, False
30, 19.97650298978457,19.388035136761744,20.86311792892897,22.291737,9.549994,99.19003903735354,First,non,InsideOvertaking, False
