turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.271358763041558,19.271358763041558,21.451217574318242,0.060597207,7,99.98868629483594,First,non,non, False
2, 19.241117274121248,19.241117274121248,21.451217574318242,0.18179162,7,99.98124821877653,First,non,non, False
3, 19.197159838483337,19.197159838483337,21.451217574318242,0.36358324,7,99.9768930295049,First,non,non, False
4, 19.198619316497012,19.198619316497012,21.451217574318242,0.60597205,7,99.97480107061318,First,non,non, False
5, 19.187221802589804,19.187221802589804,21.451217574318242,0.9089581,7,99.9741404520158,First,non,non, False
6, 19.22517393606926,19.22517393606926,21.451217574318242,1.2725413,7,99.97410986782147,First,non,non, False
7, 19.154215216400782,19.154215216400782,21.451217574318242,1.6967218,7,99.97388966162235,First,non,non, False
8, 19.263674292102134,19.263674292102134,21.451217574318242,2.1814995,7,99.97267852752715,First,non,non, False
9, 19.275925795396358,19.275925795396358,21.451217574318242,2.7268744,7,99.96963845861141,First,non,non, False
10, 19.248021227835057,19.248021227835057,21.451217574318242,3.3328464,7,99.96398038266162,First,non,non, False
11, 19.246734437497466,19.246734437497466,21.451217574318242,3.9994156,7,99.95487240959214,First,non,non, False
12, 19.158937171724403,19.158937171724403,21.451217574318242,4.726582,7,99.94150099983402,First,non,non, False
13, 19.24896464317554,19.24896464317554,21.451217574318242,5.5143456,7,99.92305261381823,First,non,non, False
14, 19.211335960287812,19.211335960287812,21.451217574318242,6.3627067,7,99.89873206249237,First,non,non, False
15, 19.17558860991024,19.17558860991024,21.451217574318242,7.2716646,7,99.86768910525426,First,non,non, False
16, 19.25553354987396,19.25553354987396,21.451217574318242,8.2412195,7,99.82914078672923,First,non,non, False
17, 19.15879008028672,19.15879008028672,21.451217574318242,9.207775,7,99.79097782905265,First,non,non, False
18, 19.27457356062107,19.27457356062107,21.451217574318242,10.17133,7,99.75320634906343,First,non,non, False
19, 19.15650403994647,19.15650403994647,21.451217574318242,11.131886,7,99.71582022992267,First,non,non, False
20, 19.25783641255338,19.25783641255338,21.451217574318242,12.093039,7,99.67836070871554,First,non,non, False
21, 19.209116866424026,19.209116866424026,21.451217574318242,13.051191,7,99.64128654835689,First,non,non, False
22, 19.2267439899287,19.2267439899287,21.451217574318242,14.009941,7,99.60412675225413,First,non,non, False
23, 19.204811312557872,19.204811312557872,21.451217574318242,14.969288,7,99.56689967092386,First,non,non, False
24, 20.614545190437696,19.248923791418914,21.451217574318242,15.927929,6.95,99.52959918752721,First,non,InsideOvertaking, False
25, 21.010065536324092,19.213209914868006,21.451217574318242,16.887169,6.8999996,99.49220695154759,First,non,InsideOvertaking, False
26, 19.87501529984488,19.20492129951448,21.451217574318242,17.847006,6.8499994,99.45475354717932,First,non,InsideOvertaking, False
27, 19.64958715284677,19.15919020109122,21.451217574318242,18.807442,6.799999,99.41722062390582,First,non,InsideOvertaking, False
28, 21.300415354351777,19.210646036049674,21.451217574318242,19.768475,6.749999,99.3796020648882,First,non,InsideOvertaking, False
29, 19.500920482716833,19.216451504420522,21.451217574318242,20.730106,6.699999,99.34191622064309,First,non,InsideOvertaking, False
30, 20.67669510355665,19.275334754963726,21.451217574318242,21.692335,6.6499987,99.30414474065387,First,non,InsideOvertaking, False
31, 19.610300864947952,19.272753883678494,21.451217574318242,22.655163,6.5999985,99.26629985859826,First,non,InsideOvertaking, False
32, 20.612898687972184,19.218921946859943,21.451217574318242,23.618587,6.5499983,99.22837545763741,First,non,InsideOvertaking, False
33, 20.635383308475852,19.183801860500505,21.451217574318242,24.582611,6.499998,99.19037153777134,First,non,InsideOvertaking, False
34, 19.75765826615859,19.18741132662729,21.451217574318242,25.547232,6.449998,99.15229421583888,First,non,InsideOvertaking, False
35, 20.344002572707414,19.195575063974168,21.451217574318242,26.512451,6.3999977,99.11414349184004,First,non,InsideOvertaking, False
36, 20.110460832942334,19.23009852370198,21.451217574318242,27.478268,6.3499975,99.07591324893596,First,non,InsideOvertaking, False
37, 19.496273264866392,19.199895730439337,21.451217574318242,28.444683,6.2999973,99.03759737028778,First,non,InsideOvertaking, False
38, 20.667754321862866,19.263388583109364,21.451217574318242,29.411695,6.249997,98.99921420641209,First,non,InsideOvertaking, False
