turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.658000617353363,19.86346213207054,21.370288544666618,0.0602245,8,99.99301917750482,First,SpeedUp,non, False
2, 20.57120479444676,19.780004610044962,21.370288544666618,0.1806735,8,99.98842174454079,First,SpeedUp,non, False
3, 20.577825991115855,19.786371145303708,21.370288544666618,0.361347,8,99.98571220696854,First,SpeedUp,non, False
4, 20.585090254913343,19.793356014339754,21.370288544666618,0.602245,8,99.98439507064869,First,SpeedUp,non, False
5, 20.678240356685198,19.88292341988961,21.370288544666618,0.90336746,8,99.98396229728645,First,SpeedUp,non, False
6, 20.643163243484036,19.849195426426956,21.370288544666618,1.2647145,8,99.98394348105332,First,SpeedUp,non, False
7, 20.5725424436372,19.781290811189614,21.370288544666618,1.686286,8,99.98383058365447,First,SpeedUp,non, False
8, 20.587221098547765,19.795404902449775,21.370288544666618,2.168082,8,99.98312183887283,First,SpeedUp,non, False
9, 20.624441273786314,19.83119353248684,21.370288544666618,2.7101026,8,99.98132802464676,First,SpeedUp,non, False
10, 20.642208320586263,19.848277231332943,21.370288544666618,3.3123474,8,99.97795991891459,First,SpeedUp,non, False
11, 20.58426631129952,19.792563760864923,21.370288544666618,3.9748168,8,99.97250948338151,First,SpeedUp,non, False
12, 20.642724131569693,19.848773203432398,21.370288544666618,4.6975107,8,99.9645000401413,First,SpeedUp,non, False
13, 20.57978482553144,19.788254639934078,21.370288544666618,5.480429,8,99.95341727882146,First,SpeedUp,non, False
14, 20.69265335097496,19.896782068245155,21.370288544666618,6.323572,8,99.93878452151574,First,SpeedUp,non, False
15, 20.586979183928225,19.79517229223868,21.370288544666618,7.2269397,8,99.92008745785165,First,SpeedUp,non, False
16, 20.57795643201092,19.78649656924127,21.370288544666618,8.190532,8,99.89684940992294,First,SpeedUp,non, False
17, 20.641494713284427,19.847591070465793,21.370288544666618,9.214348,8,99.86856861151253,First,SpeedUp,non, False
18, 20.668579859911315,19.873634480683958,21.370288544666618,10.2983885,8,99.83473702432563,First,SpeedUp,non, False
19, 20.58367709066685,19.79199720256428,21.370288544666618,11.37943,8,99.80120022479127,First,SpeedUp,non, False
20, 20.60399433526784,19.811533014680613,21.370288544666618,12.457471,8,99.76795194083174,First,SpeedUp,non, False
21, 20.637981544809644,19.844213023855428,21.370288544666618,13.532512,8,99.73498590036931,First,SpeedUp,non, False
22, 20.618772612171817,19.825742896319053,21.370288544666618,14.604553,8,99.702302103404,First,SpeedUp,non, False
23, 20.62004385788784,19.826965247969078,21.370288544666618,15.673594,8,99.66990054993578,First,SpeedUp,non, False
24, 20.625049478168933,19.831778344393204,21.370288544666618,16.739635,8,99.6377875120424,First,SpeedUp,non, False
25, 20.69579737810541,19.899805171255203,21.370288544666618,17.802677,8,99.60595671764612,First,SpeedUp,non, False
26, 20.603803213812157,19.81134924405015,21.370288544666618,18.862719,8,99.57438935051381,First,SpeedUp,non, False
27, 20.56737253525781,19.7763197454402,21.370288544666618,19.91976,8,99.54311677103405,First,SpeedUp,non, False
28, 20.578760973234644,19.787270166571773,21.370288544666618,20.9738,8,99.51210761881825,First,SpeedUp,non, False
29, 20.662361305098912,19.867655101056645,21.370288544666618,22.024841,8,99.48137443802185,First,SpeedUp,non, False
30, 20.58444442089967,19.792735020095833,21.370288544666618,23.072882,8,99.45092977280027,First,SpeedUp,non, False
31, 20.58206861175956,19.790450588230346,21.370288544666618,24.117922,8,99.42074226276495,First,SpeedUp,non, False
32, 20.640990733511572,19.847106474530356,21.370288544666618,25.159964,8,99.39083072414901,First,SpeedUp,non, False
33, 20.648245348798042,19.854082066151964,21.370288544666618,26.199005,8,99.36119515695248,First,SpeedUp,non, False
34, 20.643277150905046,19.849304952793315,21.370288544666618,27.235046,8,99.33182301701991,First,SpeedUp,non, False
35, 20.690910737388325,19.895106478258004,21.370288544666618,28.268087,8,99.30272684850675,First,SpeedUp,non, False
36, 20.61933790369602,19.82628644586156,21.370288544666618,29.298128,8,99.27388783517983,First,SpeedUp,non, False
37, 20.58409088269022,19.792395079509827,21.370288544666618,30.325169,8,99.24531852119462,First,SpeedUp,non, False
38, 20.589882877947822,19.79796430571906,21.370288544666618,31.352434,8,99.21673039097624,First,SpeedUp,non, False
39, 20.588371517450845,19.796511074471965,21.370288544666618,32.379925,8,99.18811717244702,First,SpeedUp,non, False
40, 20.637534654113782,19.843783321263253,21.370288544666618,33.40764,8,99.15949140976237,First,SpeedUp,non, False
41, 20.695551168130848,19.899568430895044,21.370288544666618,34.435577,8,99.13084683084458,First,SpeedUp,non, False
42, 20.678784069850643,19.88344622101023,21.370288544666618,35.46374,8,99.10217089153822,First,SpeedUp,non, False
43, 20.632522181922166,19.83896363646362,21.370288544666618,36.49213,8,99.07348240807643,First,SpeedUp,non, False
44, 20.661177719480857,19.866517037962364,21.370288544666618,37.520744,8,99.04478138045923,First,SpeedUp,non, False
45, 20.65502153331002,19.86059762818271,21.370288544666618,38.54958,8,99.01604899245345,First,SpeedUp,non, False
46, 20.590036135458867,19.798111668710447,21.370288544666618,39.57864,8,98.98730406029223,First,SpeedUp,non, False
47, 20.671662554229542,19.876598609836098,21.370288544666618,40.607925,8,98.95852776774247,First,SpeedUp,non, False
48, 20.637344179582175,19.843600172675167,21.370288544666618,41.637436,8,98.92974520311498,First,SpeedUp,non, False
49, 20.683609414033263,19.888085975031984,21.370288544666618,42.66717,8,98.90093127809891,First,SpeedUp,non, False
50, 20.614721136881702,19.821847247001635,21.370288544666618,43.697132,8,98.87211108100514,First,SpeedUp,non, False
51, 20.605053822976068,19.8125517528616,21.370288544666618,44.727318,8,98.8432595235228,First,SpeedUp,non, False
52, 20.631043869108165,19.837542181834774,21.370288544666618,45.757725,8,98.81438914980733,First,SpeedUp,non, False
