turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.596790634097992,20.766144840478837,23.287799742977793,0.06037566,2,99.99309909084404,First,SpeedUp,non, False
2, 21.673024914585167,20.839447033254967,23.287799742977793,0.18112698,2,99.98855852865411,First,SpeedUp,non, False
3, 21.629590738748906,20.797683402643177,23.287799742977793,0.36225396,2,99.98588139827949,First,SpeedUp,non, False
4, 21.68698551876266,20.852870691117943,23.287799742977793,0.6037566,2,99.98458941888755,First,SpeedUp,non, False
5, 21.610930842835273,20.779741195033917,23.287799742977793,0.9056349,2,99.9841732524488,First,SpeedUp,non, False
6, 21.685498799970773,20.85144115381805,23.287799742977793,1.2678888,2,99.98415461813065,First,SpeedUp,non, False
7, 21.611761057225824,20.78053947810175,23.287799742977793,1.6905184,2,99.98402417790358,First,SpeedUp,non, False
8, 21.594167612032873,20.76362270387776,23.287799742977793,2.1735237,2,99.98330986237438,First,SpeedUp,non, False
9, 21.586704389288432,20.756446528161952,23.287799742977793,2.7169046,2,99.98151475639231,First,SpeedUp,non, False
10, 21.580437632107788,20.75042080010364,23.287799742977793,3.3206613,2,99.97812331048848,First,SpeedUp,non, False
11, 21.69280434349044,20.858465714894653,23.287799742977793,3.9847937,2,99.97266966670907,First,SpeedUp,non, False
12, 21.674634720475755,20.840994923534378,23.287799742977793,4.7093015,2,99.96464448702456,First,SpeedUp,non, False
13, 21.594091238400697,20.763549267692976,23.287799742977793,5.494185,2,99.95356949060235,First,SpeedUp,non, False
14, 21.67856289234871,20.84477201187376,23.287799742977793,6.339444,2,99.9389415508523,First,SpeedUp,non, False
15, 21.610376251649107,20.779207934277988,23.287799742977793,7.245079,2,99.9202699640631,First,SpeedUp,non, False
16, 21.627368169316444,20.795546316650427,23.287799742977793,8.21109,2,99.89705781508395,First,SpeedUp,non, False
17, 21.644100151896307,20.811634761438757,23.287799742977793,9.237476,2,99.86882061164292,First,SpeedUp,non, False
18, 21.663068681029173,20.82987373175882,23.287799742977793,10.324238,2,99.83506765002862,First,SpeedUp,non, False
19, 21.69271843038036,20.858383106134962,23.287799742977793,11.408,2,99.80159420318662,First,SpeedUp,non, False
20, 21.69368848475906,20.859315850729867,23.287799742977793,12.492138,2,99.7680896991477,First,SpeedUp,non, False
21, 21.570755884541562,20.74111142744381,23.287799742977793,13.573276,2,99.73487092132045,First,SpeedUp,non, False
22, 21.586129269416684,20.755893528285274,23.287799742977793,14.651413,2,99.7019316582655,First,SpeedUp,non, False
23, 21.593933394294574,20.763397494514013,23.287799742977793,15.729926,2,99.66894891513485,First,SpeedUp,non, False
24, 21.667795688842755,20.83441893157957,23.287799742977793,16.808815,2,99.63594132624667,First,SpeedUp,non, False
25, 21.58732366735042,20.757041987836942,23.287799742977793,17.888079,2,99.60289646872218,First,SpeedUp,non, False
26, 21.647735076761755,20.815129881501687,23.287799742977793,18.967718,2,99.56982055400077,First,SpeedUp,non, False
27, 21.601304094975102,20.770484706706828,23.287799742977793,20.047733,2,99.53670737064304,First,SpeedUp,non, False
28, 21.674845311059837,20.84119741448061,23.287799742977793,21.128124,2,99.50355070720964,First,SpeedUp,non, False
29, 21.636203763368865,20.804042080162368,23.287799742977793,22.20889,2,99.4703691980187,First,SpeedUp,non, False
30, 21.578128026128613,20.748200025123666,23.287799742977793,23.286657,2,99.43745478072128,First,SpeedUp,non, False
31, 21.69306606667324,20.85871737180119,23.287799742977793,24.3648,2,99.40451551766633,First,SpeedUp,non, False
32, 21.58024715056787,20.7502376447768,23.287799742977793,25.443317,2,99.37155140885383,First,SpeedUp,non, False
33, 21.68710577962834,20.85298632656571,23.287799742977793,26.522211,2,99.33854381996565,First,SpeedUp,non, False
34, 21.692765241464343,20.858428116792638,23.287799742977793,27.60148,2,99.30549275100178,First,SpeedUp,non, False
35, 21.565683517994202,20.7362341519175,23.287799742977793,28.67775,2,99.2727274082496,First,SpeedUp,non, False
36, 21.660877959744802,20.827767268985387,23.287799742977793,29.754395,2,99.23993100830047,First,SpeedUp,non, False
37, 21.602824894023502,20.771947013484137,23.287799742977793,30.831415,2,99.20710355115443,First,SpeedUp,non, False
38, 21.612308898570724,20.781066248625695,23.287799742977793,31.908812,2,99.17422640249332,First,SpeedUp,non, False
39, 21.636107917336105,20.803949920515485,23.287799742977793,32.986584,2,99.14133061951405,First,SpeedUp,non, False
40, 21.58942003515701,20.75905772611251,23.287799742977793,34.06473,2,99.10838514501972,First,SpeedUp,non, False
41, 21.687715155205073,20.85357226462026,23.287799742977793,35.143257,2,99.07540861332846,First,SpeedUp,non, False
42, 21.631013553377407,20.79905149363212,23.287799742977793,36.222157,2,99.04240102444028,First,SpeedUp,non, False
43, 21.65110517682455,20.818370362331297,23.287799742977793,37.30143,2,99.0093561669158,First,SpeedUp,non, False
44, 21.66674536796505,20.8334090076587,23.287799742977793,38.38108,2,98.97628025219437,First,SpeedUp,non, False
45, 21.648316617614988,20.815689055399027,23.287799742977793,39.461105,2,98.94315464595789,First,SpeedUp,non, False
46, 21.619193276463527,20.78768584275339,23.287799742977793,40.541508,2,98.91001040540326,First,SpeedUp,non, False
47, 21.676377337051687,20.842670516395852,23.287799742977793,41.622284,2,98.87681647333355,First,SpeedUp,non, False
48, 21.660281568595774,20.827193815957475,23.287799742977793,42.703438,2,98.8435976955063,First,SpeedUp,non, False
49, 21.675648987764593,20.841970180542877,23.287799742977793,43.784966,2,98.81033543760336,First,SpeedUp,non, False
50, 21.588616804325998,20.758285388774997,23.287799742977793,44.863495,2,98.7773589059121,First,SpeedUp,non, False
51, 21.616487832280466,20.785084454115832,23.287799742977793,45.942398,2,98.74435131702391,First,SpeedUp,non, False
52, 21.658531573746192,20.825511128602106,23.287799742977793,47.02168,2,98.71130024806004,First,SpeedUp,non, False
53, 21.59098430054011,20.760561827442412,23.287799742977793,48.101334,2,98.67821812189925,First,SpeedUp,non, False
54, 21.630527750675927,20.79858437564993,23.287799742977793,49.181366,2,98.64509872710215,First,SpeedUp,non, False
55, 21.680840927677604,20.846962430459232,23.287799742977793,50.261772,2,98.61194827510813,First,SpeedUp,non, False
56, 21.57339790584823,20.743651832546373,23.287799742977793,51.33918,2,98.5790773378864,First,SpeedUp,non, False
57, 21.584644040823157,20.75446542386842,23.287799742977793,52.41696,2,98.54617534346775,First,SpeedUp,non, False
58, 21.642785181056862,20.81037036640083,23.287799742977793,53.49512,2,98.5132360804128,First,SpeedUp,non, False
59, 21.638142806375097,20.805906544591437,23.287799742977793,54.573654,2,98.48025333728215,First,SpeedUp,non, False
60, 21.65866552989929,20.82563993259547,23.287799742977793,55.652565,2,98.44724574839397,First,SpeedUp,non, False
61, 21.59659751974813,20.76595915360397,23.287799742977793,56.73185,2,98.41420089086948,First,SpeedUp,non, False
62, 21.570129864567,20.740509485160576,23.287799742977793,57.808136,2,98.3814355481173,First,SpeedUp,non, False
63, 21.69416402656186,20.859773102463326,23.287799742977793,58.884796,2,98.34863914816817,First,SpeedUp,non, False
64, 21.5675379463433,20.738017256099326,23.287799742977793,59.961834,2,98.31579926814337,First,SpeedUp,non, False
65, 21.667084728339493,20.83373531571105,23.287799742977793,61.039246,2,98.28293454236102,First,SpeedUp,non, False
66, 21.639077306840733,20.806805102731474,23.287799742977793,62.117035,2,98.25002633650298,First,SpeedUp,non, False
67, 21.690696727716862,20.856439161266213,23.287799742977793,63.195198,2,98.21708707344804,First,SpeedUp,non, False
68, 21.687541799019403,20.853405575980194,23.287799742977793,64.273735,2,98.1841043303174,First,SpeedUp,non, False
69, 21.569615646475935,20.7400150446884,23.287799742977793,65.34927,2,98.15141973627719,First,SpeedUp,non, False
70, 21.61610908808049,20.78472027700047,23.287799742977793,66.425186,2,98.11867923928253,First,SpeedUp,non, False
71, 21.676618673325493,20.84290257050528,23.287799742977793,67.50148,2,98.08592631940911,First,SpeedUp,non, False
72, 21.580476596727436,20.750458266084074,23.287799742977793,68.57815,2,98.0531237080206,First,SpeedUp,non, False
73, 21.697410137202205,20.862894362694426,23.287799742977793,69.65519,2,98.02029003943518,First,SpeedUp,non, False
74, 21.56971288583363,20.7401085440708,23.287799742977793,70.732605,2,97.98741910221347,First,SpeedUp,non, False
75, 21.68138009102368,20.84748085675354,23.287799742977793,71.8104,2,97.95450468491605,First,SpeedUp,non, False
76, 21.60769584598293,20.776630621137432,23.287799742977793,72.88857,2,97.92156542186109,First,SpeedUp,non, False
77, 21.647201848193344,20.814617161724367,23.287799742977793,73.96712,2,97.88859510160921,First,SpeedUp,non, False
78, 21.676121433925907,20.842424455697987,23.287799742977793,75.046036,2,97.85558130128165,First,SpeedUp,non, False
79, 21.69538945980725,20.860951403660817,23.287799742977793,76.125336,2,97.82253023231777,First,SpeedUp,non, False
80, 21.604689993723387,20.77374037858018,23.287799742977793,77.20501,2,97.78944810615698,First,SpeedUp,non, False
81, 21.591057163667525,20.76063188814185,23.287799742977793,78.281685,2,97.75665170620786,First,SpeedUp,non, False
82, 21.585561948679164,20.75534802757612,23.287799742977793,79.358734,2,97.72381182618305,First,SpeedUp,non, False
