turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.351870208153347,19.351870208153347,21.624968112423428,0,6,99.99999876663951,First,non,non, False
2, 19.351870208153347,19.351870208153347,21.624968112423428,0,6,99.99999876663951,First,non,non, False
3, 19.25934238280857,19.25934238280857,21.624968112423428,0.06054808,6,99.98859018213479,First,non,non, False
4, 19.259189673550768,19.259189673550768,21.624968112423428,0.18164423,6,99.98109751717627,First,non,non, False
5, 19.28801065644173,19.28801065644173,21.624968112423428,0.36328846,6,99.97669442023769,First,non,non, False
6, 19.265259724458883,19.265259724458883,21.624968112423428,0.6054808,6,99.97457304020006,First,non,non, False
7, 19.29973630191904,19.29973630191904,21.624968112423428,0.9082212,6,99.97390085873464,First,non,non, False
8, 19.261108268981854,19.261108268981854,21.624968112423428,1.2715096,6,99.97387002472246,First,non,non, False
9, 19.25037448949064,19.25037448949064,21.624968112423428,1.6953462,6,99.97366035343967,First,non,non, False
10, 19.259820662399825,19.259820662399825,21.624968112423428,2.179731,6,99.97243315975511,First,non,non, False
11, 19.29183059835413,19.29183059835413,21.624968112423428,2.7246637,6,99.96939909295709,First,non,non, False
12, 19.31666868493677,19.31666868493677,21.624968112423428,3.3301444,6,99.96371330111204,First,non,non, False
13, 19.291658342782405,19.291658342782405,21.624968112423428,3.9961734,6,99.95456176629851,First,non,non, False
14, 19.35576768836223,19.35576768836223,21.624968112423428,4.72275,6,99.94112430379268,First,non,non, False
15, 19.356870902924936,19.356870902924936,21.624968112423428,5.5098753,6,99.92259922927796,First,non,non, False
16, 19.318319428212078,19.318319428212078,21.624968112423428,6.357548,6,99.89813552401836,First,non,non, False
17, 19.297012583686,19.297012583686,21.624968112423428,7.2657695,6,99.86693150369732,First,non,non, False
18, 20.335654288967252,19.342608623375078,21.624968112423428,8.233248,5.95,99.82816698359098,First,non,InsideOvertaking, False
19, 20.642014694723546,19.29701632364175,21.624968112423428,9.26135,5.8999996,99.78102177897549,First,non,InsideOvertaking, False
20, 20.610986539806564,19.30816693999605,21.624968112423428,10.290001,5.8499994,99.73379640592833,First,non,InsideOvertaking, False
21, 19.693692031883007,19.352985547404185,21.624968112423428,11.315648,5.799999,99.68700887585408,First,non,InsideOvertaking, False
22, 19.525792002438404,19.27310259288629,21.624968112423428,12.338292,5.749999,99.64065302195026,First,non,InsideOvertaking, False
23, 21.113728145462023,19.25958176461571,21.624968112423428,13.361485,5.699999,99.5942169996148,First,non,InsideOvertaking, False
24, 21.275072840346407,19.26782354483632,21.624968112423428,14.385226,5.6499987,99.54769464204524,First,non,InsideOvertaking, False
25, 19.98812239881178,19.242873888756062,21.624968112423428,15.405964,5.5999985,99.50161012744856,First,non,InsideOvertaking, False
26, 19.575482272436275,19.364058232301957,21.624968112423428,16.423698,5.5499983,99.45595728902234,First,non,InsideOvertaking, False
27, 19.479746787298414,19.262165128977053,21.624968112423428,17.438429,5.499998,99.4107237931617,First,non,InsideOvertaking, False
28, 20.17655194488376,19.338081009401908,21.624968112423428,18.450155,5.449998,99.36592814027394,First,non,InsideOvertaking, False
