turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.1961468025373,19.1961468025373,21.397985923256783,0.060572293,3,99.98865202217283,First,non,non, False
2, 21.095988293994235,19.199496536154356,21.397985923256783,0.17091726,2.95,99.98119302701726,First,non,InsideOvertaking, False
3, 21.14215227710541,19.268101949625695,21.397985923256783,0.34561992,2.9,99.97682558906432,First,non,InsideOvertaking, False
4, 19.70643485969439,19.28499600282243,21.397985923256783,0.5826938,2.8500001,99.97471547859267,First,non,InsideOvertaking, False
5, 19.583764723759007,19.19811589659227,21.397985923256783,0.88139945,2.8000002,99.97405300204925,First,non,InsideOvertaking, False
6, 20.347702964205048,19.224638322224145,21.397985923256783,1.2413774,2.7500002,99.97402846588098,First,non,InsideOvertaking, False
7, 19.86623309906971,19.22965207718137,21.397985923256783,1.662425,2.7000003,99.9738076403665,First,non,InsideOvertaking, False
8, 20.152759763849662,19.262428362785442,21.397985923256783,2.1444168,2.6500003,99.97258696599482,First,non,InsideOvertaking, False
9, 21.149901666497346,19.230253165618805,21.397985923256783,2.6872697,2.6000004,99.96956288325494,First,non,InsideOvertaking, False
10, 20.64959009244613,19.22939949922268,21.397985923256783,3.2909255,2.5500004,99.96388889434137,First,non,InsideOvertaking, False
11, 20.485375761230713,19.277871988316527,21.397985923256783,3.955342,2.5000005,99.95477370782723,First,non,InsideOvertaking, False
12, 19.494513007061897,19.27173786089076,21.397985923256783,4.6804876,2.4500005,99.94138922803324,First,non,InsideOvertaking, False
13, 20.491137096423135,19.233861693134756,21.397985923256783,5.466338,2.4000006,99.9229196273643,First,non,InsideOvertaking, False
14, 21.307508585047305,19.20963542317702,21.397985923256783,6.312875,2.3500006,99.89856134630936,First,non,InsideOvertaking, False
15, 20.356415675820774,19.27088118408647,21.397985923256783,7.2200823,2.3000007,99.86748628918916,First,non,InsideOvertaking, False
16, 19.51068746357888,19.29935733463646,21.397985923256783,8.187948,2.2500007,99.8288724943665,First,non,InsideOvertaking, False
