turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.382356977490602,20.382356977490602,21.99839318521044,0,5,100,First,non,non, False
2, 21.20826955504035,20.315258662197227,21.99839318521044,0.033622388,4.95,99.9766921958573,First,non,InsideOvertaking, False
3, 22.12053392229006,20.36290120538555,21.99839318521044,0.14326663,4.8999996,99.9604407924614,First,non,InsideOvertaking, False
4, 22.109838862177543,20.36074740552663,21.99839318521044,0.3169738,4.8499994,99.94999416565749,First,non,InsideOvertaking, False
5, 21.588938782536925,20.370706786297458,21.99839318521044,0.5527437,4.799999,99.94407112536582,First,non,InsideOvertaking, False
6, 21.263557367904454,20.39623938658108,21.99839318521044,0.84983224,4.749999,99.9413806261984,First,non,InsideOvertaking, False
7, 21.95700297089877,20.331233682150362,21.99839318521044,1.207878,4.699999,99.9406710440004,First,non,InsideOvertaking, False
8, 21.290025643392163,20.360099504311144,21.99839318521044,1.6266772,4.6499987,99.9406710440004,First,non,InsideOvertaking, False
9, 21.257506398512767,20.43390526378269,21.99839318521044,2.1061037,4.5999985,99.94009943611867,First,non,InsideOvertaking, False
10, 20.89124464647172,20.344510560315737,21.99839318521044,2.6460738,4.5499983,99.93769474089211,First,non,InsideOvertaking, False
11, 20.759992169589403,20.36642491727183,21.99839318521044,3.246529,4.499998,99.932175768241,First,non,InsideOvertaking, False
12, 21.488951548580523,20.414840712140546,21.99839318521044,3.907427,4.449998,99.92226132808557,First,non,InsideOvertaking, False
13, 21.707725142309872,20.408039931913436,21.99839318521044,4.6287365,4.3999977,99.90669979627107,First,non,InsideOvertaking, False
14, 21.05468204075414,20.409629216099255,21.99839318521044,5.4104323,4.3499975,99.88420998271773,First,non,InsideOvertaking, False
15, 21.920440524491152,20.415321159491434,21.99839318521044,6.252496,4.2999973,99.85351069734584,First,non,InsideOvertaking, False
16, 20.779813019335034,20.310884376988867,21.99839318521044,7.154912,4.249997,99.81335031600061,First,non,InsideOvertaking, False
17, 21.128212861600662,20.328282918205026,21.99839318521044,8.117668,4.199997,99.76243779329397,First,non,InsideOvertaking, False
18, 22.177126048946153,20.330045228849972,21.99839318521044,9.140754,4.1499968,99.69951164976284,First,non,InsideOvertaking, False
19, 21.05658388860976,20.435578664687377,21.99839318521044,10.224161,4.0999966,99.62329069532748,First,non,InsideOvertaking, False
20, 22.116710310218423,20.311266699820195,21.99839318521044,11.307821,4.0499964,99.54702046435058,First,non,InsideOvertaking, False
21, 20.970439617039617,20.35615018249945,21.99839318521044,12.388478,3.9999964,99.4714401049551,First,non,InsideOvertaking, False
22, 21.533788584390553,20.434467162489227,21.99839318521044,13.466132,3.9499965,99.39653976183267,First,non,InsideOvertaking, False
23, 21.266536682021755,20.38316532693539,21.99839318521044,14.540783,3.8999965,99.32232929029165,First,non,InsideOvertaking, False
24, 20.84781255584425,20.326905180676107,21.99839318521044,15.612431,3.8499966,99.2487988350237,First,non,InsideOvertaking, False
25, 22.402902312775687,20.436668961849534,21.99839318521044,16.684332,3.7999966,99.17521910321425,First,non,InsideOvertaking, False
26, 21.957007110815418,20.346870222018733,21.99839318521044,17.756487,3.7499967,99.10158023955495,First,non,InsideOvertaking, False
27, 21.565987455607537,20.379998392040577,21.99839318521044,18.828896,3.6999967,99.02788224404581,First,non,InsideOvertaking, False
28, 22.128970004658786,20.35466598556377,21.99839318521044,19.901558,3.6499968,98.95411526137855,First,non,InsideOvertaking, False
29, 21.703276354610743,20.31245928405658,21.99839318521044,20.974474,3.5999968,98.88029900216974,First,non,InsideOvertaking, False
30, 20.85353120595444,20.399644746555904,21.99839318521044,22.044386,3.5499969,98.80716275923403,First,non,InsideOvertaking, False
31, 22.4119851723822,20.386443643056694,21.99839318521044,23.114552,3.499997,98.73397723975678,First,non,InsideOvertaking, False
32, 20.922472800307958,20.334644925753807,21.99839318521044,24.181715,3.449997,98.66146188124432,First,non,InsideOvertaking, False
33, 20.635903567787278,20.381306404443144,21.99839318521044,25.245874,3.399997,98.58962653900494,First,non,InsideOvertaking, False
34, 22.2540637719198,20.35363011507463,21.99839318521044,26.310287,3.349997,98.51772220960743,First,non,InsideOvertaking, False
35, 22.22585783243408,20.360390417151475,21.99839318521044,27.374954,3.299997,98.44577845897669,First,non,InsideOvertaking, False
36, 21.72318816006573,20.387618979023486,21.99839318521044,28.439875,3.2499971,98.37376572118781,First,non,InsideOvertaking, False
37, 21.928514983023636,20.32378610402773,21.99839318521044,29.505049,3.1999972,98.3017037068574,First,non,InsideOvertaking, False
38, 21.9629817967607,20.321056296780263,21.99839318521044,30.570477,3.1499972,98.22957270536885,First,non,InsideOvertaking, False
39, 22.602120196611093,20.399307965295016,21.99839318521044,31.636158,3.0999973,98.15739242733878,First,non,InsideOvertaking, False
40, 20.85397511370422,20.31518867576631,21.99839318521044,32.698837,3.0499973,98.0858921655818,First,non,InsideOvertaking, False
41, 22.247058107199276,20.328100485545747,21.99839318521044,33.76177,2.9999974,98.01432291666666,First,non,InsideOvertaking, False
42, 21.95853334519161,20.37788821537596,21.99839318521044,34.824955,2.9499974,97.94270439121001,First,non,InsideOvertaking, False
43, 21.484978272097262,20.37324591763758,21.99839318521044,35.888393,2.8999975,97.87102673390352,First,non,InsideOvertaking, False
44, 21.700269247765466,20.35311920146972,21.99839318521044,36.952087,2.8499975,97.7992899447472,First,non,InsideOvertaking, False
45, 22.18783263311503,20.341475600497866,21.99839318521044,38.016033,2.7999976,97.72750387904935,First,non,InsideOvertaking, False
46, 21.299479206564936,20.43498628157361,21.99839318521044,39.076977,2.7499976,97.65637811900797,First,non,InsideOvertaking, False
47, 22.05336444519867,20.38233901081888,21.99839318521044,40.138172,2.6999977,97.58520308242507,First,non,InsideOvertaking, False
48, 21.360123133267745,20.369330148300786,21.99839318521044,41.199623,2.6499977,97.51396891399233,First,non,InsideOvertaking, False
49, 21.191972808566597,20.35367918499005,21.99839318521044,42.258068,2.5999978,97.44340490652436,First,non,InsideOvertaking, False
50, 22.078095657937837,20.413131085351715,21.99839318521044,43.31677,2.5499978,97.37279162251488,First,non,InsideOvertaking, False
51, 22.09109503402238,20.441178644625175,21.99839318521044,44.37572,2.4999979,97.30210935134726,First,non,InsideOvertaking, False
52, 21.783404593205034,20.421684989931332,21.99839318521044,45.43493,2.449998,97.2313778036381,First,non,InsideOvertaking, False
53, 20.91774821714069,20.33952285172094,21.99839318521044,46.491135,2.399998,97.16131641689373,First,non,InsideOvertaking, False
54, 20.718324787676483,20.406288505713505,21.99839318521044,47.544334,2.349998,97.09190548049753,First,non,InsideOvertaking, False
55, 22.550117126412495,20.385205107779758,21.99839318521044,48.59779,2.299998,97.02244526755979,First,non,InsideOvertaking, False
56, 20.4277726886904,20.4277726886904,21.99839318521044,49.64943,2.299998,96.95364536027853,First,non,non, False
57, 20.395960787178144,20.395960787178144,21.99839318521044,50.69807,2.299998,96.88550575865375,First,non,non, False
58, 20.43125777760515,20.43125777760515,21.99839318521044,51.74371,2.299998,96.81801660737713,First,non,non, False
59, 20.34338919689595,20.34338919689595,21.99839318521044,52.78635,2.299998,96.75117790644867,First,non,non, False
60, 20.32289720389318,20.32289720389318,21.99839318521044,53.82599,2.299998,96.68498965586839,First,non,non, False
61, 20.35930984830331,20.35930984830331,21.99839318521044,54.86263,2.299998,96.61945185563629,First,non,non, False
62, 20.366017554965225,20.366017554965225,21.99839318521044,55.89627,2.299998,96.55454479513573,First,non,non, False
63, 20.418562081413306,20.418562081413306,21.99839318521044,56.92691,2.299998,96.49027832967504,First,non,non, False
64, 20.38006730076403,20.38006730076403,21.99839318521044,57.95455,2.299998,96.42664260394591,First,non,non, False
65, 20.403489303913066,20.403489303913066,21.99839318521044,58.97919,2.299998,96.36364747325663,First,non,non, False
66, 20.346988697461658,20.346988697461658,21.99839318521044,60.00083,2.299998,96.30127322699062,First,non,non, False
67, 20.332364577242057,20.332364577242057,21.99839318521044,61.01947,2.299998,96.23952972045615,First,non,non, False
68, 20.374429871756316,20.374429871756316,21.99839318521044,62.038364,2.299998,96.17773693738016,First,non,non, False
69, 20.31023357382505,20.31023357382505,21.99839318521044,63.054256,2.299998,96.11656503872742,First,non,non, False
70, 20.434404337819004,20.434404337819004,21.99839318521044,64.070404,2.299998,96.05534386353315,First,non,non, False
71, 22.47685343676093,20.357261132972386,21.99839318521044,65.08557,2.249998,95.99406355648905,First,non,InsideOvertaking, False
72, 20.834426760273207,20.423045967628784,21.99839318521044,66.101,2.1999981,95.93272411759511,First,non,InsideOvertaking, False
73, 22.29437354849627,20.401171084060923,21.99839318521044,67.11668,2.1499982,95.87134525746795,First,non,InsideOvertaking, False
74, 22.397563907926777,20.321936994742565,21.99839318521044,68.13261,2.0999982,95.80990726549096,First,non,InsideOvertaking, False
75, 21.289583867566776,20.393919471587438,21.99839318521044,69.14879,2.0499983,95.74841999697244,First,non,InsideOvertaking, False
76, 21.67648187436257,20.42881455962349,21.99839318521044,70.16523,1.9999983,95.68687359660409,First,non,InsideOvertaking, False
77, 22.313688472832723,20.438759788866644,21.99839318521044,71.18192,1.9499984,95.62527791969421,First,non,InsideOvertaking, False
78, 20.93140362507399,20.343146565389233,21.99839318521044,72.19887,1.8999984,95.5636329662428,First,non,InsideOvertaking, False
79, 21.5989906287409,20.413336906018543,21.99839318521044,73.216064,1.8499985,95.50192888094156,First,non,InsideOvertaking, False
80, 20.8452243274633,20.377104749321568,21.99839318521044,74.23352,1.7999985,95.44018537440711,First,non,InsideOvertaking, False
81, 21.780465578496113,20.350834688443534,21.99839318521044,75.25123,1.7499986,95.3783827360228,First,non,InsideOvertaking, False
82, 22.097862119865923,20.31123714074346,21.99839318521044,76.26919,1.6999986,95.31652096578867,First,non,InsideOvertaking, False
83, 21.376170833047784,20.37589235091917,21.99839318521044,77.2874,1.6499987,95.25460991901302,First,non,InsideOvertaking, False
84, 21.112774934939857,20.367904435366626,21.99839318521044,78.30587,1.5999987,95.19264959569583,First,non,InsideOvertaking, False
85, 20.5442006073023,20.315692891404655,21.99839318521044,79.32459,1.5499988,95.13063014052881,First,non,InsideOvertaking, False
86, 21.705437988434873,20.344533853440808,21.99839318521044,80.34357,1.4999988,95.06856140882026,First,non,InsideOvertaking, False
87, 22.289928646513292,20.42258257774542,21.99839318521044,81.36279,1.4499989,95.00644340057019,First,non,InsideOvertaking, False
88, 21.105750873411154,20.371475990017203,21.99839318521044,82.38228,1.3999989,94.94426626047027,First,non,InsideOvertaking, False
89, 20.436913780451157,20.436913780451157,21.99839318521044,83.40324,1.3999989,94.88202998852053,First,non,non, False
90, 20.395936126266104,20.395936126266104,21.99839318521044,84.421196,1.3999989,94.82043431161065,First,non,non, False
91, 20.383353523632024,20.383353523632024,21.99839318521044,85.43941,1.3999989,94.75877950285094,First,non,non, False
92, 20.329226564855,20.329226564855,21.99839318521044,86.45462,1.3999989,94.69774557851449,First,non,non, False
93, 20.388934198678577,20.388934198678577,21.99839318521044,87.470085,1.3999989,94.63666237763648,First,non,non, False
94, 20.40255617508164,20.40255617508164,21.99839318521044,88.48581,1.3999989,94.57552004490867,First,non,non, False
95, 20.340641544959155,20.340641544959155,21.99839318521044,89.501785,1.3999989,94.51432843563931,First,non,non, False
