turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.2828565793129,19.2828565793129,20.76206253771332,0.060253337,8,99.98935746913484,First,non,non, False
2, 20.89283540493087,19.266717257893983,20.76206253771332,0.16989759,7.95,99.98239540465066,First,non,InsideOvertaking, False
3, 20.531601362276124,19.259367449531737,20.76206253771332,0.34360474,7.8999996,99.97834628728572,First,non,InsideOvertaking, False
4, 20.125808175085723,19.30818321261337,20.76206253771332,0.5793746,7.8499994,99.97641842394331,First,non,InsideOvertaking, False
5, 21.06198496311958,19.350520689890157,20.76206253771332,0.8764632,7.799999,99.9758322084442,First,non,InsideOvertaking, False
6, 20.490514338960267,19.304369943323668,20.76206253771332,1.2345089,7.749999,99.97581407806794,First,non,InsideOvertaking, False
7, 21.094364571073896,19.3259591974264,20.76206253771332,1.653308,7.699999,99.97557838317655,First,non,InsideOvertaking, False
8, 20.59321646876372,19.247452246107816,20.76206253771332,2.1327345,7.6499987,99.97435156104957,First,non,InsideOvertaking, False
9, 20.691729283930886,19.27721328910489,20.76206253771332,2.6727047,7.5999985,99.9713358751315,First,non,InsideOvertaking, False
10, 21.305569923326587,19.277569981713565,20.76206253771332,3.27316,7.5499983,99.96577589307816,First,non,InsideOvertaking, False
11, 19.93722009440763,19.257562022913724,20.76206253771332,3.934058,7.499998,99.9568799217928,First,non,InsideOvertaking, False
12, 19.742640331280477,19.338090836111547,20.76206253771332,4.655367,7.449998,99.94386835509623,First,non,InsideOvertaking, False
13, 19.949812772796232,19.359607228565782,20.76206253771332,5.4370627,7.3999977,99.92595554335045,First,non,InsideOvertaking, False
14, 21.31056511088253,19.241114066671567,20.76206253771332,6.279126,7.3499975,99.90236792383502,First,non,InsideOvertaking, False
15, 20.81034217914021,19.26739308108605,20.76206253771332,7.1815424,7.2999973,99.87231984691194,First,non,InsideOvertaking, False
16, 20.76435047465471,19.285678044557525,20.76206253771332,8.144299,7.249997,99.83504983677827,First,non,InsideOvertaking, False
17, 20.864714850799757,19.333720806051375,20.76206253771332,9.167384,7.199997,99.78975411341976,First,non,InsideOvertaking, False
18, 19.853099882771904,19.270865616704842,20.76206253771332,10.187467,7.1499968,99.74486934525652,First,non,InsideOvertaking, False
19, 19.31972115474574,19.31972115474574,20.76206253771332,11.205773,7.1499968,99.70040157574726,First,non,non, False
20, 19.310542385346533,19.310542385346533,20.76206253771332,12.22108,7.1499968,99.65636289180952,First,non,non, False
21, 19.256816799220573,19.256816799220573,20.76206253771332,13.233387,7.1499968,99.61271703269075,First,non,non, False
