turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.774382462220046,19.774382462220046,21.25204035446503,0,5,100,First,non,non, False
2, 19.774382462220046,19.774382462220046,21.25204035446503,0,5,100,First,non,non, False
3, 20.45853287574373,19.671666226676663,21.25204035446503,0.060257196,5,99.99362626389319,First,SpeedUp,non, False
4, 20.485056762467693,19.697169963911243,21.25204035446503,0.18077159,5,99.98946554685088,First,SpeedUp,non, False
5, 20.468791260240604,19.681530057923656,21.25204035446503,0.36154318,5,99.9870354468972,First,SpeedUp,non, False
6, 20.51723179257973,19.728107492865124,21.25204035446503,0.60257196,5,99.98588371217969,First,SpeedUp,non, False
7, 20.543646441201204,19.753506193462695,21.25204035446503,0.90385795,5,99.98553397074716,First,SpeedUp,non, False
8, 20.510833818822455,19.72195559502159,21.25204035446503,1.2654011,5,99.98551588067305,First,SpeedUp,non, False
9, 20.508066286626047,19.7192945063712,21.25204035446503,1.6872015,5,99.98537719010498,First,SpeedUp,non, False
10, 20.543541001506245,19.75340480914062,21.25204035446503,2.169259,5,99.9846415270917,First,SpeedUp,non, False
11, 20.583809555523192,19.792124572618455,21.25204035446503,2.7115738,5,99.98283854970671,First,SpeedUp,non, False
12, 20.469167020959784,19.681891366307482,21.25204035446503,3.3141458,5,99.97951600609757,First,SpeedUp,non, False
13, 20.586841807680077,19.79504019969238,21.25204035446503,3.976975,5,99.97417943423898,First,SpeedUp,non, False
14, 20.50678339737721,19.718060959016547,21.25204035446503,4.7000613,5,99.96638864232789,First,SpeedUp,non, False
15, 20.569358864571814,19.778229677472897,21.25204035446503,5.483405,5,99.9556672584131,First,SpeedUp,non, False
16, 20.550002413455353,19.75961770524553,21.25204035446503,6.327006,5,99.94154494056808,First,SpeedUp,non, False
17, 20.540680844224152,19.750654657907837,21.25204035446503,7.2308636,5,99.92355134686632,First,SpeedUp,non, False
18, 20.48929402061544,19.701244250591767,21.25204035446503,8.194979,5,99.90122819543069,First,SpeedUp,non, False
19, 20.483113190158473,19.695301144383148,21.25204035446503,9.219351,5,99.87410514433468,First,SpeedUp,non, False
20, 20.581806890826716,19.790198933487225,21.25204035446503,10.24398,5,99.84695797313987,First,SpeedUp,non, False
21, 20.499866026786822,19.711409641141174,21.25204035446503,11.2688675,5,99.81979271187096,First,SpeedUp,non, False
22, 20.565801418059117,19.774809055826072,21.25204035446503,12.294011,5,99.79260333050325,First,SpeedUp,non, False
23, 20.502889544650962,19.714316869856695,21.25204035446503,13.319412,5,99.76540188908615,First,SpeedUp,non, False
24, 20.548756856036658,19.7584200538814,21.25204035446503,14.345071,5,99.73816426752084,First,SpeedUp,non, False
25, 20.534445810928172,19.74465943358478,21.25204035446503,15.370986,5,99.71091458590615,First,SpeedUp,non, False
26, 20.535170661769204,19.745356405547312,21.25204035446503,16.39716,5,99.68364078419266,First,SpeedUp,non, False
27, 20.462881075480013,19.67584718796155,21.25204035446503,17.420332,5,99.65661421349182,First,SpeedUp,non, False
28, 20.587393811097943,19.79557097220956,21.25204035446503,18.443762,5,99.6295755827416,First,SpeedUp,non, False
29, 20.54659219480865,19.75633864885447,21.25204035446503,19.46745,5,99.60250680186786,First,SpeedUp,non, False
30, 20.4579932512502,19.671147356971346,21.25204035446503,20.488136,5,99.5756912820315,First,SpeedUp,non, False
31, 20.578754737234203,19.7872641704175,21.25204035446503,21.50908,5,99.54885767212103,First,SpeedUp,non, False
32, 20.48781997111458,19.69982689530248,21.25204035446503,22.530283,5,99.52199391208707,First,SpeedUp,non, False
33, 20.491365452942052,19.70323601244428,21.25204035446503,23.551743,5,99.49511809200371,First,SpeedUp,non, False
34, 20.530748845795284,19.741104659418543,21.25204035446503,24.573458,5,99.46821815182156,First,SpeedUp,non, False
35, 20.53108363682587,19.741426573871028,21.25204035446503,25.59543,5,99.4413001215653,First,SpeedUp,non, False
36, 20.57501029110622,19.78366374144829,21.25204035446503,26.61766,5,99.41435194118556,First,SpeedUp,non, False
37, 20.503900640603586,19.715289077503446,21.25204035446503,27.640148,5,99.38738567073172,First,SpeedUp,non, False
38, 20.525439696337862,19.735999708017175,21.25204035446503,28.662893,5,99.36040131020377,First,SpeedUp,non, False
39, 20.474863283407643,19.687368541738117,21.25204035446503,29.685896,5,99.33338679955234,First,SpeedUp,non, False
40, 20.46987548920739,19.682572585776335,21.25204035446503,30.709154,5,99.30635419882681,First,SpeedUp,non, False
41, 20.505995897830058,19.717303747913515,21.25204035446503,31.73267,5,99.27930350802717,First,SpeedUp,non, False
42, 20.510597374771283,19.721728244972386,21.25204035446503,32.756443,5,99.25223472715345,First,SpeedUp,non, False
43, 20.481898634448306,19.69413330235414,21.25204035446503,33.78047,5,99.22514182618093,First,SpeedUp,non, False
44, 20.550332803652005,19.759935388126927,21.25204035446503,34.80476,5,99.19802480510961,First,SpeedUp,non, False
45, 20.586204679625773,19.794427576563244,21.25204035446503,35.829304,5,99.1708896939642,First,SpeedUp,non, False
46, 20.56013603729498,19.769361574322097,21.25204035446503,36.854107,5,99.14372443269528,First,SpeedUp,non, False
47, 20.48021617104257,19.692515549079395,21.25204035446503,37.875908,5,99.11681846248842,First,SpeedUp,non, False
48, 20.463524439937775,19.676465807632475,21.25204035446503,38.89797,5,99.08988837218278,First,SpeedUp,non, False
49, 20.556297483778014,19.765670657478857,21.25204035446503,39.920284,5,99.06294019180304,First,SpeedUp,non, False
50, 20.56187963169657,19.771038107400546,21.25204035446503,40.94286,5,99.03596789132449,First,SpeedUp,non, False
51, 20.477862010547835,19.69025193321907,21.25204035446503,41.96569,5,99.00897147074716,First,SpeedUp,non, False
52, 20.554834864282707,19.764264292579526,21.25204035446503,42.988777,5,98.98195093007102,First,SpeedUp,non, False
53, 20.499800858851792,19.711346979665183,21.25204035446503,44.012123,5,98.95491832934549,First,SpeedUp,non, False
54, 20.557102467594735,19.766444680379553,21.25204035446503,45.035725,5,98.92786160852116,First,SpeedUp,non, False
55, 20.536486675264804,19.746621803139234,21.25204035446503,46.059586,5,98.90078076759804,First,SpeedUp,non, False
56, 20.500083704933406,19.711618947051353,21.25204035446503,47.083702,5,98.87367580657612,First,SpeedUp,non, False
57, 20.55969695302813,19.768939377911664,21.25204035446503,48.108078,5,98.8465587855048,First,SpeedUp,non, False
58, 20.483479118246727,19.69565299831416,21.25204035446503,49.12945,5,98.81968899544613,First,SpeedUp,non, False
