turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.86748092255121,19.86748092255121,21.50851731541014,0.06019349,7,99.98461056179991,First,non,non, False
2, 19.93241741685452,19.93241741685452,21.50851731541014,0.18058047,7,99.97420358533451,First,non,non, False
3, 19.921410749091912,19.921410749091912,21.50851731541014,0.36116093,7,99.96779007068052,First,non,non, False
4, 19.926606094781096,19.926606094781096,21.50851731541014,0.6019349,7,99.96441848003299,First,non,non, False
5, 19.88392847306543,19.88392847306543,21.50851731541014,0.90290236,7,99.96310730589228,First,non,non, False
6, 19.92905985182556,19.92905985182556,21.50851731541014,1.2640634,7,99.96291250287709,First,non,non, False
7, 19.91119851442056,19.91119851442056,21.50851731541014,1.6854178,7,99.9628525634878,First,non,non, False
8, 19.943762797659677,19.943762797659677,21.50851731541014,2.1669657,7,99.96196096507212,First,non,non, False
9, 19.874315137320092,19.874315137320092,21.50851731541014,2.708707,7,99.95927867740141,First,non,non, False
10, 19.8794817590788,19.8794817590788,21.50851731541014,3.310642,7,99.95386165509437,First,non,non, False
11, 19.828943768818174,19.828943768818174,21.50851731541014,3.9727705,7,99.94470591338039,First,non,non, False
12, 19.831645524986367,19.831645524986367,21.50851731541014,4.695092,7,99.93086740687816,First,non,non, False
13, 19.824605744955775,19.824605744955775,21.50851731541014,5.4776077,7,99.91137961293539,First,non,non, False
14, 19.834678109096785,19.834678109096785,21.50851731541014,6.320317,7,99.88526851647613,First,non,non, False
15, 19.91978610448439,19.91978610448439,21.50851731541014,7.223219,7,99.85157508727175,First,non,non, False
16, 19.943324969108485,19.943324969108485,21.50851731541014,8.186315,7,99.80934778751725,First,non,non, False
17, 19.913162046747036,19.913162046747036,21.50851731541014,9.209604,7,99.75760510971305,First,non,non, False
18, 19.880681707757407,19.880681707757407,21.50851731541014,10.229894,7,99.70634943944683,First,non,non, False
19, 19.84115760496996,19.84115760496996,21.50851731541014,11.247183,7,99.65558826914224,First,non,non, False
20, 20.570433304112854,19.93739763394766,21.50851731541014,12.263436,6.95,99.60480462156667,First,non,InsideOvertaking, False
21, 21.798779821772175,19.8511137980311,21.50851731541014,13.279883,6.8999996,99.55399100429645,First,non,InsideOvertaking, False
22, 21.645753715338984,19.82594064828081,21.50851731541014,14.296524,6.8499994,99.50314741733159,First,non,InsideOvertaking, False
