turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.88358254788944,21.041906296047536,23.28233468385826,0.06059624,1,99.99095199447784,First,SpeedUp,non, False
2, 21.845027440200106,21.004834077115486,23.28233468385826,0.18178871,1,99.98485618603817,First,SpeedUp,non, False
3, 21.760710735535433,20.923760322630223,23.28233468385826,0.36357743,1,99.98110888350703,First,SpeedUp,non, False
4, 21.797759150962957,20.959383799002843,23.28233468385826,0.6059624,1,99.97915793032284,First,SpeedUp,non, False
5, 21.800530207802822,20.962048276733483,23.28233468385826,0.9089436,1,99.9784217215741,First,SpeedUp,non, False
6, 21.883877711397943,21.042190107113406,23.28233468385826,1.272521,1,99.97831865234926,First,SpeedUp,non, False
7, 21.784032020457538,20.946184635055324,23.28233468385826,1.6966946,1,99.97827447982434,First,SpeedUp,non, False
8, 21.80624266819216,20.967541027107846,23.28233468385826,2.1814644,1,99.97770023700032,First,SpeedUp,non, False
9, 21.85405813792387,21.013517440311414,23.28233468385826,2.7268305,1,99.97604376731563,First,SpeedUp,non, False
10, 21.839653209468064,20.999666547565447,23.28233468385826,3.3327928,1,99.97271610377126,First,SpeedUp,non, False
11, 21.76542659231408,20.928294800301998,23.28233468385826,3.9993515,1,99.96714300354321,First,SpeedUp,non, False
12, 21.805603923330334,20.96692684935609,23.28233468385826,4.726506,1,99.958728137545,First,SpeedUp,non, False
13, 21.82161902150731,20.982325982218565,23.28233468385826,5.5142574,1,99.94692671130251,First,SpeedUp,non, False
14, 21.801105378650085,20.96260132562508,23.28233468385826,6.3626046,1,99.9311350336418,First,SpeedUp,non, False
15, 21.840168568571432,21.00016208516484,23.28233468385826,7.2715483,1,99.91080094800128,First,SpeedUp,non, False
16, 21.82521953330682,20.98578801279502,23.28233468385826,8.241088,1,99.88532812529448,First,SpeedUp,non, False
17, 21.81552608003116,20.976467384645343,23.28233468385826,9.271224,1,99.85414232269737,First,SpeedUp,non, False
18, 21.814218205160955,20.975209812654764,23.28233468385826,10.361957,1,99.81667665947342,First,SpeedUp,non, False
19, 21.805251637454322,20.966588112936847,23.28233468385826,11.449689,1,99.7795349280989,First,SpeedUp,non, False
20, 21.822756760449547,20.983419961970718,23.28233468385826,12.538017,1,99.7423343000245,First,SpeedUp,non, False
21, 21.870268478950564,21.029104306683234,23.28233468385826,13.626942,1,99.70505268898772,First,SpeedUp,non, False
22, 21.78425878871801,20.946402681459624,23.28233468385826,14.716463,1,99.66771954333854,First,SpeedUp,non, False
23, 21.85456096314306,21.014000926099097,23.28233468385826,15.806581,1,99.63032750098945,First,SpeedUp,non, False
24, 21.835055109247104,20.995245297352984,23.28233468385826,16.897293,1,99.5928618377655,First,SpeedUp,non, False
25, 21.840836817955196,21.000804632649228,23.28233468385826,17.988604,1,99.55532255366667,First,SpeedUp,non, False
26, 21.820580391911854,20.981327299915243,23.28233468385826,19.076914,1,99.51812192559225,First,SpeedUp,non, False
27, 21.768923336215817,20.93165705405367,23.28233468385826,20.16582,1,99.48085503873047,First,SpeedUp,non, False
28, 21.81828411772031,20.979119343961838,23.28233468385826,21.255322,1,99.4435145309938,First,SpeedUp,non, False
29, 21.870560552928072,21.029385147046224,23.28233468385826,22.34542,1,99.40611512655722,First,SpeedUp,non, False
30, 21.772132804142892,20.934743080906625,23.28233468385826,23.43252,1,99.3690396539701,First,SpeedUp,non, False
31, 21.858731706844132,21.018011256580895,23.28233468385826,24.520214,1,99.33190528468309,First,SpeedUp,non, False
32, 21.767582763281464,20.93036804161679,23.28233468385826,25.608505,1,99.29470465660867,First,SpeedUp,non, False
33, 21.769518584939394,20.93222940859557,23.28233468385826,26.697392,1,99.25743776974689,First,SpeedUp,non, False
34, 21.868529153175896,21.027431878053743,23.28233468385826,27.786875,1,99.2201046240977,First,SpeedUp,non, False
35, 21.798669872829404,20.960259493105195,23.28233468385826,28.876955,1,99.18271258174862,First,SpeedUp,non, False
36, 21.835895376757932,20.996053246882628,23.28233468385826,29.96763,1,99.14524691852465,First,SpeedUp,non, False
37, 21.777915411830044,20.94030328060581,23.28233468385826,31.055305,1,99.10811254923763,First,SpeedUp,non, False
38, 21.84346479263519,21.003331531379988,23.28233468385826,32.143578,1,99.07091192116323,First,SpeedUp,non, False
39, 21.859728857409408,21.018970055201354,23.28233468385826,33.232445,1,99.03365239638892,First,SpeedUp,non, False
40, 21.861392171581752,21.020569395751682,23.28233468385826,34.32191,1,98.99631925073973,First,SpeedUp,non, False
41, 21.81960096185707,20.98038554024718,23.28233468385826,35.411972,1,98.95892720839065,First,SpeedUp,non, False
42, 21.87202097017911,21.03078939440299,23.28233468385826,36.50263,1,98.9214615451667,First,SpeedUp,non, False
43, 21.760587810748092,20.92364212571932,23.28233468385826,37.590286,1,98.88432717587968,First,SpeedUp,non, False
44, 21.81501348293056,20.975974502817845,23.28233468385826,38.67854,1,98.84713390989276,First,SpeedUp,non, False
45, 21.855381728609657,21.014790123663133,23.28233468385826,39.767387,1,98.80986702303096,First,SpeedUp,non, False
46, 21.87651144994041,21.035107163404238,23.28233468385826,40.856834,1,98.77254123946926,First,SpeedUp,non, False
47, 21.82351334248158,20.984147444693825,23.28233468385826,41.946877,1,98.73514919712018,First,SpeedUp,non, False
48, 21.82107740987944,20.981805201807152,23.28233468385826,43.037514,1,98.69768353389622,First,SpeedUp,non, False
49, 21.771544312281314,20.934177223347415,23.28233468385826,44.125153,1,98.6605565266967,First,SpeedUp,non, False
50, 21.788101653991657,20.950097744222745,23.28233468385826,45.213387,1,98.62336326070977,First,SpeedUp,non, False
51, 21.868951363530265,21.02783784954833,23.28233468385826,46.302216,1,98.58610373593547,First,SpeedUp,non, False
52, 21.876091836549808,21.0347036889902,23.28233468385826,47.391644,1,98.54877795237377,First,SpeedUp,non, False
53, 21.86844893477588,21.027354744976808,23.28233468385826,48.481667,1,98.51139327211217,First,SpeedUp,non, False
54, 21.89146535365089,21.04948591697201,23.28233468385826,49.572285,1,98.4739349709757,First,SpeedUp,non, False
55, 21.88218535010708,21.04056283664142,23.28233468385826,50.6635,1,98.43641041105184,First,SpeedUp,non, False
56, 21.78955178685519,20.951492102745373,23.28233468385826,51.751717,1,98.39922450715241,First,SpeedUp,non, False
57, 21.82663123250288,20.987145415868152,23.28233468385826,52.84053,1,98.3619649823781,First,SpeedUp,non, False
58, 21.88976250431497,21.047848561841317,23.28233468385826,53.92994,1,98.3246391988164,First,SpeedUp,non, False
59, 21.806987092626002,20.968256819832693,23.28233468385826,55.019943,1,98.28724715646732,First,SpeedUp,non, False
60, 21.811758063642017,20.972844291963476,23.28233468385826,56.110542,1,98.24979621741834,First,SpeedUp,non, False
61, 21.76119568251644,20.92422661780427,23.28233468385826,57.198143,1,98.21266184813132,First,SpeedUp,non, False
62, 21.83091374575003,20.99126321706734,23.28233468385826,58.28634,1,98.17547594423189,First,SpeedUp,non, False
63, 21.79550289637182,20.95721432343444,23.28233468385826,59.375134,1,98.13821641945758,First,SpeedUp,non, False
64, 21.79573716510808,20.95743958183469,23.28233468385826,60.464523,1,98.10089799798337,First,SpeedUp,non, False
65, 21.862698325271914,21.021825312761454,23.28233468385826,61.55451,1,98.06351331772177,First,SpeedUp,non, False
66, 21.862287922751406,21.021430694953274,23.28233468385826,62.64509,1,98.0260550165853,First,SpeedUp,non, False
67, 21.879040333149906,21.037538781874908,23.28233468385826,63.736267,1,97.98854518083643,First,SpeedUp,non, False
68, 21.855003769806338,21.014426701736863,23.28233468385826,64.82804,1,97.95096172421266,First,SpeedUp,non, False
69, 21.809809953373662,20.970971109013135,23.28233468385826,65.91682,1,97.91370219943836,First,SpeedUp,non, False
70, 21.810017017237886,20.971170208882583,23.28233468385826,67.00619,1,97.87639114005164,First,SpeedUp,non, False
71, 21.77111324254187,20.933762733213335,23.28233468385826,68.09256,1,97.83939665042688,First,SpeedUp,non, False
72, 21.76241695806122,20.92540092121271,23.28233468385826,69.17953,1,97.80232853992725,First,SpeedUp,non, False
73, 21.77759276421693,20.939993042516278,23.28233468385826,70.26709,1,97.7652088948152,First,SpeedUp,non, False
74, 21.832621177502634,20.992904978367918,23.28233468385826,71.35525,1,97.72801562882827,First,SpeedUp,non, False
75, 21.880132700964523,21.03858913554281,23.28233468385826,72.444,1,97.69077082822895,First,SpeedUp,non, False
76, 21.835934993304114,20.996091339715495,23.28233468385826,73.533356,1,97.65345240675474,First,SpeedUp,non, False
77, 21.81306988781303,20.97410566135868,23.28233468385826,74.62331,1,97.61606772649314,First,SpeedUp,non, False
78, 21.863187084606654,21.022295273660244,23.28233468385826,75.71385,1,97.57862414953165,First,SpeedUp,non, False
79, 21.801735934874465,20.963207629686984,23.28233468385826,76.8014,1,97.5415045044196,First,SpeedUp,non, False
80, 21.785933773964928,20.948013244197046,23.28233468385826,77.88954,1,97.50431123843268,First,SpeedUp,non, False
81, 21.767500341048567,20.930288789469774,23.28233468385826,78.97828,1,97.46706643783335,First,SpeedUp,non, False
82, 21.833810313766044,20.994048378621194,23.28233468385826,80.06761,1,97.42974801635914,First,SpeedUp,non, False
83, 21.822698774571062,20.983364206318328,23.28233468385826,81.15754,1,97.39236333609755,First,SpeedUp,non, False
84, 21.842877961893635,21.00276727105157,23.28233468385826,82.24806,1,97.35491975913605,First,SpeedUp,non, False
85, 21.80092018762837,20.962423257334972,23.28233468385826,83.33559,1,97.31780011402401,First,SpeedUp,non, False
86, 21.791804267590372,20.953657949606125,23.28233468385826,84.423706,1,97.28062157221206,First,SpeedUp,non, False
87, 21.794615440328467,20.956361000315834,23.28233468385826,85.51242,1,97.24337677161273,First,SpeedUp,non, False
88, 21.877114069007835,21.035686604815226,23.28233468385826,86.60174,1,97.20605835013852,First,SpeedUp,non, False
89, 21.779548126244958,20.941873198312457,23.28233468385826,87.68805,1,97.16906386051376,First,SpeedUp,non, False
90, 21.785467938348866,20.947565325335447,23.28233468385826,88.77496,1,97.1320104741891,First,SpeedUp,non, False
91, 21.877043035169397,21.035618303047496,23.28233468385826,89.86247,1,97.09489082907706,First,SpeedUp,non, False
92, 21.843423190349313,21.003291529182032,23.28233468385826,90.95058,1,97.05771228726512,First,SpeedUp,non, False
93, 21.830902894898273,20.991252783556032,23.28233468385826,92.039276,1,97.02046748666578,First,SpeedUp,non, False
94, 21.85854773400113,21.017834359616472,23.28233468385826,93.12857,1,96.98315642727906,First,SpeedUp,non, False
95, 21.860136052405988,21.01936158885191,23.28233468385826,94.21846,1,96.94577174701746,First,SpeedUp,non, False
96, 21.81245563945766,20.973515037940057,23.28233468385826,95.308945,1,96.90834289423094,First,SpeedUp,non, False
97, 21.8686653442572,21.027562831016535,23.28233468385826,96.40003,1,96.87083305848206,First,SpeedUp,non, False
98, 21.843284383994796,21.00315806153346,23.28233468385826,97.491714,1,96.83325696394579,First,SpeedUp,non, False
99, 21.8068931334583,20.968166474479133,23.28233468385826,98.5804,1,96.79602688752144,First,SpeedUp,non, False
100, 21.81096319219509,20.972079992495278,23.28233468385826,99.66968,1,96.75870846604722,First,SpeedUp,non, False
101, 21.778771800560072,20.94112673130776,23.28233468385826,100.75595,1,96.72172133850995,First,SpeedUp,non, False
102, 21.877563754744138,21.036118994946285,23.28233468385826,101.84283,1,96.68467531427278,First,SpeedUp,non, False
103, 21.809935081669384,20.9710914246821,23.28233468385826,102.9303,1,96.64756303124823,First,SpeedUp,non, False
104, 21.833609808606262,20.99385558519833,23.28233468385826,104.018364,1,96.61038448943629,First,SpeedUp,non, False
105, 21.796302056588612,20.957982746719818,23.28233468385826,105.107025,1,96.57313968883695,First,SpeedUp,non, False
106, 21.81285489484408,20.973898937350075,23.28233468385826,106.19628,1,96.53582862945022,First,SpeedUp,non, False
107, 21.827942799980043,20.988406538442348,23.28233468385826,107.28613,1,96.49845867336361,First,SpeedUp,non, False
108, 21.79129760787051,20.95317077679857,23.28233468385826,108.372986,1,96.46141264912644,First,SpeedUp,non, False
109, 21.844767390777807,21.004584029594046,23.28233468385826,109.460434,1,96.42430036610187,First,SpeedUp,non, False
