turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.102747550013532,20.29110341347455,21.962668260208353,0.060196437,4,99.99079475899006,First,SpeedUp,non, False
2, 21.16439746099181,20.350382174030585,21.962668260208353,0.18058932,4,99.98456328902067,First,SpeedUp,non, False
3, 21.160030305452622,20.346182986012135,21.962668260208353,0.36117864,4,99.98073773431524,First,SpeedUp,non, False
4, 21.104338667034842,20.29263333368735,21.962668260208353,0.60196435,4,99.97871288016451,First,SpeedUp,non, False
5, 21.131711411686133,20.318953280467436,21.962668260208353,0.90294653,4,99.97793581436497,First,SpeedUp,non, False
6, 21.154131187172737,20.34051075689686,21.962668260208353,1.2641251,4,99.97780132220736,First,SpeedUp,non, False
7, 21.194772720020026,20.37958915386541,21.962668260208353,1.6855001,4,99.97777143506121,First,SpeedUp,non, False
8, 21.20872529813175,20.393005094357452,21.962668260208353,2.1670716,4,99.9772409382173,First,SpeedUp,non, False
9, 21.166894562131024,20.35278323281829,21.962668260208353,2.7088394,4,99.97564197589901,First,SpeedUp,non, False
10, 21.089634939129667,20.278495133778524,21.962668260208353,3.310804,4,99.97238427697017,First,SpeedUp,non, False
11, 21.125095096720763,20.31259143915458,21.962668260208353,3.9729648,4,99.96691492922724,First,SpeedUp,non, False
12, 21.19487965870603,20.379691979525028,21.962668260208353,4.695322,4,99.95863618974752,First,SpeedUp,non, False
13, 21.100486807268165,20.288929622373235,21.962668260208353,5.4778757,4,99.94695778739481,First,SpeedUp,non, False
14, 21.197030522369676,20.38176011766315,21.962668260208353,6.320626,4,99.93134175353865,First,SpeedUp,non, False
15, 21.198837839268908,20.383497922373948,21.962668260208353,7.2235723,4,99.91117540168325,First,SpeedUp,non, False
16, 21.159200524142854,20.345385119368128,21.962668260208353,8.186715,4,99.88589834783858,First,SpeedUp,non, False
17, 21.149308594013238,20.335873648089652,21.962668260208353,9.210054,4,99.85494273622801,First,SpeedUp,non, False
18, 21.189017132119165,20.374054934729966,21.962668260208353,10.293591,4,99.81769588035579,First,SpeedUp,non, False
19, 21.159591108644932,20.345760681389358,21.962668260208353,11.374126,4,99.78079272666413,First,SpeedUp,non, False
20, 21.115289963933638,20.303163426859268,21.962668260208353,12.451662,4,99.7442033880069,First,SpeedUp,non, False
21, 21.143597713221272,20.330382416558916,21.962668260208353,13.526197,4,99.70794280795717,First,SpeedUp,non, False
22, 21.18996702816459,20.374968296312108,21.962668260208353,14.5977335,4,99.67199604294186,First,SpeedUp,non, False
