turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.08801019732979,21.08801019732979,23.515440971085493,0,2,100.00000729935533,First,non,non, False
2, 21.930227302998095,21.086757022113552,23.515440971085493,0.060059812,2,99.9910071942446,First,SpeedUp,non, False
3, 21.915098343052183,21.072209945242484,23.515440971085493,0.18017943,2,99.9849049331963,First,SpeedUp,non, False
4, 21.899483097973597,21.057195286513075,23.515440971085493,0.36035886,2,99.9811384658507,First,SpeedUp,non, False
5, 21.9398290221833,21.095989444407017,23.515440971085493,0.6005981,2,99.9791530412034,First,SpeedUp,non, False
6, 22.00567919886487,21.15930692198545,23.515440971085493,0.90089715,2,99.97837930953939,First,SpeedUp,non, False
7, 22.016203985004992,21.169426908658647,23.515440971085493,1.261256,2,99.97825522049892,First,SpeedUp,non, False
8, 21.942857346035908,21.098901294265296,23.515440971085493,1.6816747,2,99.97821872372232,First,SpeedUp,non, False
9, 21.955239011527464,21.11080674185333,23.515440971085493,2.1621532,2,99.9777223675605,First,SpeedUp,non, False
10, 21.952358551661,21.108037068904807,23.515440971085493,2.7026916,2,99.97618220358778,First,SpeedUp,non, False
11, 21.95559131807044,21.11114549814465,23.515440971085493,3.3032897,2,99.9730507801551,First,SpeedUp,non, False
12, 21.893868720417167,21.051796846554968,23.515440971085493,3.9639475,2,99.96775874754742,First,SpeedUp,non, False
13, 21.981509324405064,21.13606665808179,23.515440971085493,4.684665,2,99.95975865411567,First,SpeedUp,non, False
14, 22.000839810874858,21.154653664302746,23.515440971085493,5.4654427,2,99.94846655143418,First,SpeedUp,non, False
15, 21.8990586153412,21.05678713013577,23.515440971085493,6.30628,2,99.93332768849855,First,SpeedUp,non, False
16, 21.96171072758148,21.11702954575142,23.515440971085493,7.207177,2,99.91379461365973,First,SpeedUp,non, False
17, 21.886951783605472,21.045145945774493,23.515440971085493,8.168134,2,99.88929067784734,First,SpeedUp,non, False
18, 21.993972957462812,21.14805092063732,23.515440971085493,9.189151,2,99.85926113005699,First,SpeedUp,non, False
19, 21.99013225915091,21.14435794149126,23.515440971085493,10.270227,2,99.82315121928431,First,SpeedUp,non, False
20, 22.0172278738694,21.170411417182113,23.515440971085493,11.351364,2,99.78703400915632,First,SpeedUp,non, False
21, 21.90837098857386,21.06574133516717,23.515440971085493,12.43256,2,99.75090220031767,First,SpeedUp,non, False
22, 21.90413670347029,21.06166990718297,23.515440971085493,13.513816,2,99.71475579276839,First,SpeedUp,non, False
23, 21.897744366825258,21.05552342963967,23.515440971085493,14.595132,2,99.67862398392974,First,SpeedUp,non, False
24, 21.999755052233148,21.153610627147255,23.515440971085493,15.676508,2,99.64247027702514,First,SpeedUp,non, False
25, 21.967743005067014,21.122829812564436,23.515440971085493,16.757944,2,99.60631657012053,First,SpeedUp,non, False
26, 21.96473771559027,21.11994011114449,23.515440971085493,17.83944,2,99.57016286321593,First,SpeedUp,non, False
27, 21.93565100755126,21.091972122645444,23.515440971085493,18.920994,2,99.53399455760068,First,SpeedUp,non, False
28, 21.984384423198954,21.138831176152838,23.515440971085493,20.00261,2,99.49781895263011,First,SpeedUp,non, False
29, 22.017662133386423,21.17082897441002,23.515440971085493,21.084284,2,99.46164334765953,First,SpeedUp,non, False
30, 21.993681485049155,21.14777065870111,23.515440971085493,22.166018,2,99.42545314397833,First,SpeedUp,non, False
31, 22.00404230979961,21.15773299019193,23.515440971085493,23.247812,2,99.38926294029712,First,SpeedUp,non, False
32, 21.9949551411311,21.148995328010674,23.515440971085493,24.329666,2,99.35306543726058,First,SpeedUp,non, False
33, 21.901578899124107,21.059210479927025,23.515440971085493,25.41158,2,99.31685333551341,First,SpeedUp,non, False
34, 21.8910115730636,21.04904958948423,23.515440971085493,26.493553,2,99.28064123376623,First,SpeedUp,non, False
35, 22.014017565995378,21.16732458268786,23.515440971085493,27.575586,2,99.24442913201906,First,SpeedUp,non, False
36, 21.968524557581368,21.1235813053667,23.515440971085493,28.65768,2,99.20820973091656,First,SpeedUp,non, False
37, 22.019653409375074,21.172743662860647,23.515440971085493,29.739834,2,99.17197573110343,First,SpeedUp,non, False
38, 21.903116297830913,21.060688747914337,23.515440971085493,30.822046,2,99.1357417312903,First,SpeedUp,non, False
39, 21.960951168487895,21.11629920046913,23.515440971085493,31.90432,2,99.09949313276651,First,SpeedUp,non, False
40, 21.999589515176144,21.153451456900136,23.515440971085493,32.986652,2,99.06323723488742,First,SpeedUp,non, False
41, 22.004325105527272,21.158004909160837,23.515440971085493,34.069046,2,99.02698863636364,First,SpeedUp,non, False
42, 21.907012847316757,21.064435430112265,23.515440971085493,35.151497,2,98.9907181397739,First,SpeedUp,non, False
43, 21.989751655290934,21.14399197624128,23.515440971085493,36.23401,2,98.95445494253948,First,SpeedUp,non, False
44, 21.929346994826588,21.08591057194864,23.515440971085493,37.31658,2,98.91818444594973,First,SpeedUp,non, False
45, 21.888395990823508,21.046534606561064,23.515440971085493,38.39921,2,98.88189205129403,First,SpeedUp,non, False
46, 21.973908936213085,21.128758592512582,23.515440971085493,39.481903,2,98.84561425534898,First,SpeedUp,non, False
47, 21.888149941475543,21.04629802064956,23.515440971085493,40.564655,2,98.80930726198262,First,SpeedUp,non, False
48, 21.935795244023243,21.09211081156081,23.515440971085493,41.647465,2,98.77301486732692,First,SpeedUp,non, False
49, 21.95716491816462,21.112658575158285,23.515440971085493,42.730335,2,98.73670057460525,First,SpeedUp,non, False
50, 22.01498074944867,21.16825072062372,23.515440971085493,43.813267,2,98.70038628188358,First,SpeedUp,non, False
51, 21.981884118788678,21.136427037296805,23.515440971085493,44.896255,2,98.66407198916193,First,SpeedUp,non, False
