turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.569153820857984,19.569153820857984,21.893520477299575,0.060600907,3,99.9851894980361,First,non,non, False
2, 19.55118948351172,19.55118948351172,21.893520477299575,0.18180272,3,99.97519237304142,First,non,non, False
3, 19.654383930663165,19.654383930663165,21.893520477299575,0.36360544,3,99.9690653362321,First,non,non, False
4, 19.628383435027818,19.628383435027818,21.893520477299575,0.60600907,3,99.96586799234812,First,non,non, False
5, 19.584650312554434,19.584650312554434,21.893520477299575,0.9090136,3,99.96465994612953,First,non,non, False
6, 19.61833462127511,19.61833462127511,21.893520477299575,1.272619,3,99.9644935685066,First,non,non, False
7, 19.62649481864452,19.62649481864452,21.893520477299575,1.6968254,3,99.96442123040968,First,non,non, False
8, 19.64115182258472,19.64115182258472,21.893520477299575,2.1816325,3,99.96349530276908,First,non,non, False
9, 19.666606741921637,19.666606741921637,21.893520477299575,2.7270408,3,99.9607753903248,First,non,non, False
10, 19.655544126053353,19.655544126053353,21.893520477299575,3.3330498,3,99.95531386400715,First,non,non, False
11, 19.615358703008457,19.615358703008457,21.893520477299575,3.9996598,3,99.94617756236585,First,non,non, False
12, 19.548319674249452,19.548319674249452,21.893520477299575,4.7268705,3,99.93240438871183,First,non,non, False
13, 19.550658403530125,19.550658403530125,21.893520477299575,5.5146823,3,99.91306118159477,First,non,non, False
14, 19.560156373164464,19.560156373164464,21.893520477299575,6.363095,3,99.88720031194502,First,non,non, False
15, 19.600522144574267,19.600522144574267,21.893520477299575,7.2721086,3,99.85388138450256,First,non,non, False
16, 19.582168067409683,19.582168067409683,21.893520477299575,8.241723,3,99.81216400400741,First,non,non, False
17, 19.66425491313798,19.66425491313798,21.893520477299575,9.271938,3,99.7610860737705,First,non,non, False
18, 19.560805857542416,19.560805857542416,21.893520477299575,10.299153,3,99.71049280878297,First,non,non, False
19, 19.557847744833502,19.557847744833502,21.893520477299575,11.323369,3,99.66039144285452,First,non,non, False
20, 19.57311672266249,19.57311672266249,21.893520477299575,12.344584,3,99.61076027455606,First,non,non, False
21, 19.626635366746253,19.626635366746253,21.893520477299575,13.3628,3,99.56159930388759,First,non,non, False
22, 19.611245545964536,19.611245545964536,21.893520477299575,14.3780155,3,99.51293023227821,First,non,non, False
