turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.036060333421116,20.036060333421116,21.696351404367054,0.06028659,8,99.96150775547446,First,non,non, False
2, 20.009149041515712,20.009149041515712,21.696351404367054,0.18085977,8,99.93400005702554,First,non,non, False
3, 20.055350944431762,20.055350944431762,21.696351404367054,0.36171955,8,99.91564495894161,First,non,non, False
4, 20.060342172711483,20.060342172711483,21.696351404367054,0.60286593,8,99.90459625912409,First,non,non, False
5, 20.073437068004782,20.073437068004782,21.696351404367054,0.9042989,8,99.8989934990876,First,non,non, False
6, 19.971976740663337,19.971976740663337,21.696351404367054,1.2660184,8,99.8970189895073,First,non,non, False
7, 20.078438482120234,20.078438482120234,21.696351404367054,1.6880245,8,99.89681940009125,First,non,non, False
8, 19.957175505993252,19.957175505993252,21.696351404367054,2.1703172,8,99.89655565693431,First,non,non, False
9, 19.983626379173685,19.983626379173685,21.696351404367054,2.7128963,8,99.89438155793796,First,non,non, False
10, 20.036121131669557,20.036121131669557,21.696351404367054,3.3157623,8,99.88846515739051,First,non,non, False
11, 20.00918151513197,20.00918151513197,21.696351404367054,3.9789147,8,99.876953125,First,non,non, False
12, 20.012229884707104,20.012229884707104,21.696351404367054,4.702354,8,99.85799213047446,First,non,non, False
13, 20.02458210397085,20.02458210397085,21.696351404367054,5.4860797,8,99.82977161268248,First,non,non, False
14, 20.000844706441626,20.000844706441626,21.696351404367054,6.330092,8,99.79041685675182,First,non,non, False
15, 19.98147048540661,19.98147048540661,21.696351404367054,7.2343907,8,99.7381173015511,First,non,non, False
16, 20.00574171787865,20.00574171787865,21.696351404367054,8.1989765,8,99.67099823220804,First,non,non, False
17, 20.019371754088162,20.019371754088162,21.696351404367054,9.223848,8,99.58724195939782,First,non,non, False
18, 20.08782847801364,20.08782847801364,21.696351404367054,10.24572,8,99.50435532618613,First,non,non, False
19, 20.077513518143693,20.077513518143693,21.696351404367054,11.264592,8,99.42233833257299,First,non,non, False
20, 20.07664540468157,20.07664540468157,21.696351404367054,12.280464,8,99.34117672217154,First,non,non, False
21, 19.977173070193572,19.977173070193572,21.696351404367054,13.293336,8,99.26088475136861,First,non,non, False
22, 20.002676046069247,20.002676046069247,21.696351404367054,14.303208,8,99.18144103558394,First,non,non, False
23, 20.06670365438217,20.06670365438217,21.696351404367054,15.310081,8,99.10283844662409,First,non,non, False
24, 20.07127090141023,20.07127090141023,21.696351404367054,16.313953,8,99.02509836906934,First,non,non, False
25, 19.998042556543773,19.998042556543773,21.696351404367054,17.314825,8,98.94817803375912,First,non,non, False
26, 20.02027918409834,20.02027918409834,21.696351404367054,18.315983,8,98.87119354470804,First,non,non, False
27, 19.95692633550962,19.95692633550962,21.696351404367054,19.314142,8,98.7950359260949,First,non,non, False
28, 19.98880816974081,19.98880816974081,21.696351404367054,20.312588,8,98.71879276916059,First,non,non, False
29, 20.00794313288587,20.00794313288587,21.696351404367054,21.31132,8,98.64247833029196,First,non,non, False
30, 20.032430679145012,20.032430679145012,21.696351404367054,22.310337,8,98.56608548129562,First,non,non, False
31, 20.03075437833005,20.03075437833005,21.696351404367054,23.309643,8,98.48961422217154,First,non,non, False
32, 19.987722944454802,19.987722944454802,21.696351404367054,24.309235,8,98.4130645529197,First,non,non, False
33, 19.984231896820177,19.984231896820177,21.696351404367054,25.305826,8,98.3373346259124,First,non,non, False
34, 20.008380016132747,20.008380016132747,21.696351404367054,26.302704,8,98.26154767335767,First,non,non, False
35, 20.029404646951345,20.029404646951345,21.696351404367054,27.29987,8,98.1856609260949,First,non,non, False
36, 20.014153101896014,20.014153101896014,21.696351404367054,28.297321,8,98.10970289689782,First,non,non, False
37, 19.990459817856426,19.990459817856426,21.696351404367054,29.29506,8,98.03366645757299,First,non,non, False
38, 19.97116125315866,19.97116125315866,21.696351404367054,30.293083,8,97.95755160812044,First,non,non, False
39, 20.07185209288077,20.07185209288077,21.696351404367054,31.291395,8,97.88135834854015,First,non,non, False
40, 19.975847564443438,19.975847564443438,21.696351404367054,32.289993,8,97.80507242244525,First,non,non, False
41, 19.973819791583978,19.973819791583978,21.696351404367054,33.28888,8,97.72871521441606,First,non,non, False
42, 20.0574601634781,20.0574601634781,21.696351404367054,34.28805,8,97.65228672445255,First,non,non, False
43, 20.015919065902583,20.015919065902583,21.696351404367054,35.28751,8,97.57576556797446,First,non,non, False
44, 19.98118454292181,19.98118454292181,21.696351404367054,36.283966,8,97.50007841012774,First,non,non, False
45, 20.06906475972177,20.06906475972177,21.696351404367054,37.28071,8,97.42431284215328,First,non,non, False
46, 20.058643020520968,20.058643020520968,21.696351404367054,38.27774,8,97.34847599224453,First,non,non, False
47, 20.02405853907209,20.02405853907209,21.696351404367054,39.27506,8,97.2725536040146,First,non,non, False
48, 20.030180339219406,20.030180339219406,21.696351404367054,40.272663,8,97.1965456774635,First,non,non, False
49, 20.02440483622036,20.02440483622036,21.696351404367054,41.270554,8,97.12048072536497,First,non,non, False
50, 20.025112100612766,20.025112100612766,21.696351404367054,42.26873,8,97.04431597855839,First,non,non, False
51, 20.056728308838316,20.056728308838316,21.696351404367054,43.267193,8,96.96806569343066,First,non,non, False
52, 20.03592974248775,20.03592974248775,21.696351404367054,44.26594,8,96.89175125456204,First,non,non, False
53, 19.972950844455,19.972950844455,21.696351404367054,45.261692,8,96.81627081432482,First,non,non, False
54, 20.090252062927192,20.090252062927192,21.696351404367054,46.25773,8,96.74069770757299,First,non,non, False
55, 19.990230299791595,19.990230299791595,21.696351404367054,47.25405,8,96.66505331888686,First,non,non, False
56, 20.08407145316763,20.08407145316763,21.696351404367054,48.25066,8,96.58932339187956,First,non,non, False
57, 20.000816281611353,20.000816281611353,21.696351404367054,49.247555,8,96.51352218293796,First,non,non, False
58, 19.962303549681838,19.962303549681838,21.696351404367054,50.24474,8,96.43764256386861,First,non,non, False
59, 19.98835868031389,19.98835868031389,21.696351404367054,51.24221,8,96.36167027828468,First,non,non, False
60, 20.018202956280756,20.018202956280756,21.696351404367054,52.239967,8,96.28563383895985,First,non,non, False
61, 20.037109925682515,20.037109925682515,21.696351404367054,53.23801,8,96.20950473312044,First,non,non, False
62, 20.058458236101934,20.058458236101934,21.696351404367054,54.23634,8,96.13329721715328,First,non,non, False
63, 20.071311299136536,20.071311299136536,21.696351404367054,55.234955,8,96.05701841925182,First,non,non, False
64, 20.053599983285093,20.053599983285093,21.696351404367054,56.233856,8,95.9806540830292,First,non,non, False
65, 20.01908567088603,20.01908567088603,21.696351404367054,57.233044,8,95.90421846487226,First,non,non, False
66, 20.011574297911846,20.011574297911846,21.696351404367054,58.23252,8,95.8277044365876,First,non,non, False
67, 20.077592821323186,20.077592821323186,21.696351404367054,59.232285,8,95.75109774178833,First,non,non, False
68, 20.00020094410624,20.00020094410624,21.696351404367054,60.232334,8,95.67441263686132,First,non,non, False
69, 20.046266439415298,20.046266439415298,21.696351404367054,61.23267,8,95.59764912180657,First,non,non, False
70, 19.981482567951748,19.981482567951748,21.696351404367054,62.230007,8,95.52172673357664,First,non,non, False
71, 19.987432569107252,19.987432569107252,21.696351404367054,63.22763,8,95.44571880702554,First,non,non, False
72, 19.963512990736202,19.963512990736202,21.696351404367054,64.22554,8,95.36963959854015,First,non,non, False
