turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.540245314225118,20.540245314225118,22.002673654762074,0.060411107,1,99.96208093253725,First,non,non, False
2, 20.590501295465508,20.590501295465508,22.002673654762074,0.18123332,1,99.93500592291308,First,non,non, False
3, 20.560969586287424,20.560969586287424,22.002673654762074,0.36246663,1,99.91695357416548,First,non,non, False
4, 20.550689766238094,20.550689766238094,22.002673654762074,0.6041111,1,99.90610389473134,First,non,non, False
5, 20.61314811064943,20.61314811064943,22.002673654762074,0.9061666,1,99.90063689304756,First,non,non, False
6, 20.535729011833723,20.535729011833723,22.002673654762074,1.2686332,1,99.89872555055658,First,non,non, False
7, 20.559211472421758,20.559211472421758,22.002673654762074,1.6915109,1,99.89854284870081,First,non,non, False
8, 20.636850765058472,20.636850765058472,22.002673654762074,2.1747997,1,99.89826879591719,First,non,non, False
9, 20.573951185812458,20.573951185812458,22.002673654762074,2.7184997,1,99.89606934665366,First,non,non, False
10, 20.59827772452753,20.59827772452753,22.002673654762074,3.3226109,1,99.89014559033049,First,non,non, False
11, 20.60522857679787,20.60522857679787,22.002673654762074,3.987133,1,99.87864942740676,First,non,non, False
12, 20.621136260846693,20.621136260846693,22.002673654762074,4.712066,1,99.8597538393249,First,non,non, False
13, 20.5605814790968,20.5605814790968,22.002673654762074,5.497411,1,99.8316528885107,First,non,non, False
14, 20.621622424044048,20.621622424044048,22.002673654762074,6.3431664,1,99.79251955640663,First,non,non, False
15, 20.639910200243737,20.639910200243737,22.002673654762074,7.249333,1,99.74053385144956,First,non,non, False
16, 20.664441448537747,20.664441448537747,22.002673654762074,8.215911,1,99.67386172808746,First,non,non, False
17, 20.55684833629362,20.55684833629362,22.002673654762074,9.2429,1,99.59068319475725,First,non,non, False
18, 20.552297724158763,20.552297724158763,22.002673654762074,10.330299,1,99.4891782598958,First,non,non, False
19, 20.55970616194841,20.55970616194841,22.002673654762074,11.4147,1,99.3886219692854,First,non,non, False
20, 20.61634769570536,20.61634769570536,22.002673654762074,12.496099,1,99.28901432292602,First,non,non, False
21, 21.169856464247335,20.596925019221313,22.002673654762074,13.573339,0.95,99.1903553208177,First,non,InsideOvertaking, False
22, 21.37461773993165,20.644310502049514,22.002673654762074,14.647576,0.9,99.09263090897151,First,non,InsideOvertaking, False
23, 22.536238577365275,20.54438152563699,22.002673654762074,15.722225,0.84999996,98.99478001122519,First,non,InsideOvertaking, False
24, 22.687565676617147,20.637248289190474,22.002673654762074,16.797285,0.79999995,98.89680262757872,First,non,InsideOvertaking, False
25, 22.65483778710803,20.596726026576025,22.002673654762074,17.872757,0.74999994,98.79869875803213,First,non,InsideOvertaking, False
26, 21.35684581837391,20.663586351190155,22.002673654762074,18.945225,0.6999999,98.70152947874766,First,non,InsideOvertaking, False
27, 20.961323188788757,20.627330479473148,22.002673654762074,20.01469,0.6499999,98.60528776273088,First,non,InsideOvertaking, False
28, 22.406584000715924,20.60444919912382,22.002673654762074,21.084568,0.5999999,98.50891956081396,First,non,InsideOvertaking, False
29, 22.682576592229374,20.554147181722055,22.002673654762074,22.154856,0.5499999,98.41243189999136,First,non,InsideOvertaking, False
30, 21.82837248763199,20.53607116698438,22.002673654762074,23.225555,0.49999988,98.31581072627417,First,non,InsideOvertaking, False
31, 21.632331725240416,20.602220690705156,22.002673654762074,24.297832,0.49999988,98.25776072510487,First,Overtaking,non, False
32, 21.644302663522588,20.613621584307225,22.002673654762074,25.370522,0.49999988,98.1996334269966,First,Overtaking,non, False
33, 21.631687896801697,20.60160752076352,22.002673654762074,26.44362,0.49999988,98.14142883194936,First,Overtaking,non, False
34, 21.628083832868587,20.598175078922463,22.002673654762074,27.517132,0.49999988,98.0831539669576,First,Overtaking,non, False
35, 21.569129999512896,20.54202857096466,22.002673654762074,28.591053,0.49999988,98.02479477803242,First,Overtaking,non, False
36, 21.65064533425436,20.61966222309939,22.002673654762074,29.665386,0.49999988,97.96635829216825,First,Overtaking,non, False
37, 21.572763510776742,20.54548905788261,22.002673654762074,30.740131,0.49999988,97.90785153635957,First,Overtaking,non, False
38, 21.685221002242553,20.652591430707194,22.002673654762074,31.815287,0.49999988,97.84926045661746,First,Overtaking,non, False
39, 21.681404930247883,20.648957076426555,22.002673654762074,32.890854,0.49999988,97.79059910693083,First,Overtaking,non, False
40, 21.584860980178252,20.55701045731262,22.002673654762074,33.96683,0.49999988,97.73185343331077,First,Overtaking,non, False
41, 21.603464856761157,20.574728435010623,22.002673654762074,35.04322,0.49999988,97.6730374897462,First,Overtaking,non, False
42, 21.606723987777944,20.577832369312326,22.002673654762074,36.12002,0.49999988,97.61414424924266,First,Overtaking,non, False
43, 21.642394376300917,20.611804167905635,22.002673654762074,37.19723,0.49999988,97.55517371180012,First,Overtaking,non, False
44, 21.607982591317985,20.57903103935046,22.002673654762074,38.274853,0.49999988,97.49611182342971,First,Overtaking,non, False
45, 21.697034623303008,20.663842498383815,22.002673654762074,39.352886,0.49999988,97.43698669210924,First,Overtaking,non, False
46, 21.597147412832822,20.568711821745545,22.002673654762074,40.43133,0.49999988,97.3777842638498,First,Overtaking,non, False
47, 21.581739687997995,20.55403779809333,22.002673654762074,41.510185,0.49999988,97.31850453865138,First,Overtaking,non, False
48, 21.60110885627588,20.572484625024646,22.002673654762074,42.58945,0.49999988,97.25914048951954,First,Overtaking,non, False
49, 21.61883539633226,20.58936704412596,22.002673654762074,43.66913,0.49999988,97.19970617044316,First,Overtaking,non, False
