turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 22.21431308438506,22.21431308438506,24.84647831826798,0,3,100,First,non,non, False
2, 22.21431308438506,22.21431308438506,24.84647831826798,0,3,100,First,non,non, False
3, 23.176944942883893,22.285523983542202,24.84647831826798,0.06017944,3,99.97686929223744,First,SpeedUp,non, False
4, 23.129094959242703,22.239514383887215,24.84647831826798,0.18053831,3,99.9603381849315,First,SpeedUp,non, False
5, 23.121035077599146,22.231764497691486,24.84647831826798,0.36107662,3,99.94927939497717,First,SpeedUp,non, False
6, 23.13722707386945,22.24733372487447,24.84647831826798,0.60179436,3,99.94260844748858,First,SpeedUp,non, False
7, 23.196738939095127,22.304556672206854,24.84647831826798,0.90269154,3,99.93923373287672,First,SpeedUp,non, False
8, 23.158587201734726,22.267872309360314,24.84647831826798,1.2637682,3,99.93802796803654,First,SpeedUp,non, False
9, 23.137482001209367,22.2475788473167,24.84647831826798,1.6850243,3,99.9378924086758,First,SpeedUp,non, False
10, 23.165810730309914,22.27481800991338,24.84647831826798,2.1664598,3,99.93774971461187,First,SpeedUp,non, False
11, 23.205058851636416,22.31255658811194,24.84647831826798,2.7080748,3,99.93646546803653,First,SpeedUp,non, False
12, 23.170478791462816,22.279306530252708,24.84647831826798,3.3098693,3,99.93296946347031,First,SpeedUp,non, False
13, 23.115584695031124,22.226523745222234,24.84647831826798,3.971843,3,99.92612014840182,First,SpeedUp,non, False
14, 23.108640013531527,22.219846166857238,24.84647831826798,4.6939964,3,99.9148544520548,First,SpeedUp,non, False
15, 23.1718841893332,22.280657874358845,24.84647831826798,5.476329,3,99.89803795662101,First,SpeedUp,non, False
16, 23.17951806192565,22.287998136466967,24.84647831826798,6.318841,3,99.87459332191781,First,SpeedUp,non, False
17, 23.15984516199623,22.269081886534835,24.84647831826798,7.2215323,3,99.84340753424658,First,SpeedUp,non, False
18, 23.13350328332155,22.24375315703995,24.84647831826798,8.184403,3,99.80336044520548,First,SpeedUp,non, False
19, 23.187254990732175,22.295437491088627,24.84647831826798,9.207454,3,99.75338184931506,First,SpeedUp,non, False
20, 23.117866491026437,22.22871777983311,24.84647831826798,10.230683,3,99.70336044520548,First,SpeedUp,non, False
21, 23.20061536062546,22.308284000601404,24.84647831826798,11.254092,3,99.6533176369863,First,SpeedUp,non, False
22, 23.076171219018782,22.188626172133443,24.84647831826798,12.277681,3,99.60324628995434,First,SpeedUp,non, False
23, 23.080275887703188,22.19257296894537,24.84647831826798,13.30145,3,99.55313213470319,First,SpeedUp,non, False
24, 23.1412421209676,22.25119434708423,24.84647831826798,14.3253975,3,99.50300371004566,First,SpeedUp,non, False
25, 23.10702110720658,22.218289526160174,24.84647831826798,15.3495245,3,99.45282534246576,First,SpeedUp,non, False
26, 23.149718190918804,22.259344414345005,24.84647831826798,16.37383,3,99.40262557077625,First,SpeedUp,non, False
27, 23.12927266385829,22.239685253709894,24.84647831826798,17.398317,3,99.35239012557078,First,SpeedUp,non, False
28, 23.10723143659329,22.218491765955083,24.84647831826798,18.422983,3,99.3021261415525,First,SpeedUp,non, False
29, 23.146700085367836,22.256442389776765,24.84647831826798,19.447828,3,99.25182648401827,First,SpeedUp,non, False
30, 23.10826259478691,22.219483264218184,24.84647831826798,20.472853,3,99.20150542237442,First,SpeedUp,non, False
31, 23.15095204281898,22.260530810402862,24.84647831826798,21.498056,3,99.15114868721462,First,SpeedUp,non, False
32, 23.204992371886306,22.312492665275293,24.84647831826798,22.52344,3,99.10074914383561,First,SpeedUp,non, False
33, 23.178479070197533,22.286999105959165,24.84647831826798,23.549002,3,99.05032819634704,First,SpeedUp,non, False
34, 23.075877242401138,22.188343502308786,24.84647831826798,24.574743,3,98.99987871004566,First,SpeedUp,non, False
35, 23.20134761647691,22.308988092766256,24.84647831826798,25.600664,3,98.94939355022831,First,SpeedUp,non, False
36, 23.11854116603376,22.229366505801693,24.84647831826798,26.626764,3,98.89887985159817,First,SpeedUp,non, False
37, 23.179701704541593,22.288174715905377,24.84647831826798,27.653044,3,98.84832334474886,First,SpeedUp,non, False
38, 23.081017574302784,22.19328612913729,24.84647831826798,28.679504,3,98.79774543378996,First,SpeedUp,non, False
39, 23.099616584520103,22.21116979280779,24.84647831826798,29.706144,3,98.74713184931507,First,SpeedUp,non, False
40, 23.200947992922977,22.308603839349015,24.84647831826798,30.732964,3,98.69650399543379,First,SpeedUp,non, False
41, 23.133232810410075,22.243493086932762,24.84647831826798,31.759962,3,98.64581906392694,First,SpeedUp,non, False
42, 23.091944230743994,22.203792529561532,24.84647831826798,32.78714,3,98.5951198630137,First,SpeedUp,non, False
43, 23.141176076780514,22.251130843058185,24.84647831826798,33.814495,3,98.54437785388127,First,SpeedUp,non, False
44, 23.10398059204974,22.21536595389398,24.84647831826798,34.842033,3,98.49360730593607,First,SpeedUp,non, False
45, 23.182204905238425,22.29058163965233,24.84647831826798,35.86975,3,98.44281535388127,First,SpeedUp,non, False
46, 23.139098040115954,22.249132730880724,24.84647831826798,36.897648,3,98.3919805936073,First,SpeedUp,non, False
47, 23.117562005183096,22.228425004983745,24.84647831826798,37.925724,3,98.34111729452054,First,SpeedUp,non, False
48, 23.205581617181636,22.313059247290035,24.84647831826798,38.95398,3,98.290225456621,First,SpeedUp,non, False
49, 23.081620319571563,22.193865691895734,24.84647831826798,39.982414,3,98.23929794520548,First,SpeedUp,non, False
50, 23.11000297402794,22.221156705796094,24.84647831826798,41.01103,3,98.18834189497717,First,SpeedUp,non, False
51, 23.075449412384337,22.18793212729263,24.84647831826798,42.03982,3,98.13735017123288,First,SpeedUp,non, False
52, 23.193475587486866,22.301418834121986,24.84647831826798,43.068794,3,98.0863299086758,First,SpeedUp,non, False
53, 23.122356813737085,22.233035397824118,24.84647831826798,44.097946,3,98.03528110730593,First,SpeedUp,non, False
54, 23.118253341016683,22.22908975097758,24.84647831826798,45.127277,3,97.9841894977169,First,SpeedUp,non, False
55, 23.188302441176823,22.296444654977712,24.84647831826798,46.156788,3,97.93307648401826,First,SpeedUp,non, False
56, 23.1853321958435,22.293588649849518,24.84647831826798,47.186478,3,97.88192779680365,First,SpeedUp,non, False
57, 23.206181439391155,22.313635999414572,24.84647831826798,48.216347,3,97.83075057077626,First,SpeedUp,non, False
58, 23.151608392082625,22.26116191546406,24.84647831826798,49.246395,3,97.77953767123287,First,SpeedUp,non, False
59, 23.108047926859747,22.219276852749758,24.84647831826798,50.276623,3,97.72829623287672,First,SpeedUp,non, False
60, 23.169136625660066,22.2780159862116,24.84647831826798,51.30703,3,97.67701912100456,First,SpeedUp,non, False
61, 23.105274667732367,22.21661025743497,24.84647831826798,52.337616,3,97.62571347031964,First,SpeedUp,non, False
62, 23.1818737591102,22.290263229913652,24.84647831826798,53.36838,3,97.57437928082192,First,SpeedUp,non, False
63, 23.19010174244634,22.29817475235225,24.84647831826798,54.399326,3,97.52300941780823,First,SpeedUp,non, False
64, 23.15552078352561,22.264923830313087,24.84647831826798,55.43045,3,97.47160388127854,First,SpeedUp,non, False
65, 23.185801374375757,22.294039783053613,24.84647831826798,56.461754,3,97.42016980593607,First,SpeedUp,non, False
66, 23.0912237843933,22.203099792685865,24.84647831826798,57.493237,3,97.36870719178083,First,SpeedUp,non, False
67, 23.09598461730571,22.207677516640103,24.84647831826798,58.5249,3,97.31720890410959,First,SpeedUp,non, False
68, 23.168038743222066,22.27696033002122,24.84647831826798,59.55674,3,97.26568207762557,First,SpeedUp,non, False
69, 23.197320069281446,22.305115451232158,24.84647831826798,60.58876,3,97.21411957762557,First,SpeedUp,non, False
70, 23.15457826889359,22.264017566243837,24.84647831826798,61.62096,3,97.16252853881278,First,SpeedUp,non, False
71, 23.099819733306123,22.211365128178965,24.84647831826798,62.653343,3,97.11090182648402,First,SpeedUp,non, False
72, 23.150230331685137,22.259836857389555,24.84647831826798,63.685905,3,97.05925371004567,First,SpeedUp,non, False
73, 23.119930813787498,22.2307027055649,24.84647831826798,64.71864,3,97.00756278538813,First,SpeedUp,non, False
74, 23.102258816817102,22.213710400785676,24.84647831826798,65.751564,3,96.95584332191781,First,SpeedUp,non, False
75, 23.13687195613411,22.24699226551357,24.84647831826798,66.78466,3,96.9040953196347,First,SpeedUp,non, False
76, 23.069231849826316,22.181953701756072,24.84647831826798,67.81794,3,96.85231164383562,First,SpeedUp,non, False
77, 23.166625100806645,22.275601058467927,24.84647831826798,68.851395,3,96.80049942922375,First,SpeedUp,non, False
78, 23.170242321596938,22.27907915538167,24.84647831826798,69.88503,3,96.7486515410959,First,SpeedUp,non, False
79, 23.092276784954215,22.204112293225208,24.84647831826798,70.918846,3,96.69676797945205,First,SpeedUp,non, False
80, 23.070771510213422,22.18343414443598,24.84647831826798,71.95284,3,96.64486301369863,First,SpeedUp,non, False
81, 23.143821931915106,22.253674934533755,24.84647831826798,72.987015,3,96.59292237442922,First,SpeedUp,non, False
82, 23.085644656618513,22.197735246748568,24.84647831826798,74.02137,3,96.54093892694064,First,SpeedUp,non, False
83, 23.138514861841198,22.248571982539612,24.84647831826798,75.0559,3,96.48893407534247,First,SpeedUp,non, False
84, 23.189417328209004,22.297516661739426,24.84647831826798,76.090614,3,96.4368935502283,First,SpeedUp,non, False
85, 23.124715522636023,22.235303387150022,24.84647831826798,77.12551,3,96.38483162100457,First,SpeedUp,non, False
86, 23.073236067565013,22.185803911120203,24.84647831826798,78.16058,3,96.33272688356165,First,SpeedUp,non, False
87, 23.11295597015092,22.223996125145117,24.84647831826798,79.19584,3,96.28059360730593,First,SpeedUp,non, False
88, 23.13239461460067,22.24268712942372,24.84647831826798,80.23127,3,96.22843179223744,First,SpeedUp,non, False
89, 23.093008673205013,22.204816031927898,24.84647831826798,81.266884,3,96.17623430365296,First,SpeedUp,non, False
90, 23.082056074168047,22.194284686700044,24.84647831826798,82.30267,3,96.12400827625571,First,SpeedUp,non, False
91, 23.077486046420997,22.18989042925096,24.84647831826798,83.338646,3,96.07174657534246,First,SpeedUp,non, False
