turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.240391871309605,19.240391871309605,20.616716123536925,0.06061998,4,99.9769115120275,First,non,non, False
2, 19.26696792341572,19.26696792341572,20.616716123536925,0.18185994,4,99.96087038230242,First,non,non, False
3, 19.257367204011764,19.257367204011764,20.616716123536925,0.36371988,4,99.95060137457045,First,non,non, False
4, 19.227293241862718,19.227293241862718,20.616716123536925,0.6061998,4,99.94480048784979,First,non,non, False
5, 19.26071007583881,19.26071007583881,20.616716123536925,0.90929973,4,99.94222125061366,First,non,non, False
6, 19.229658329496452,19.229658329496452,20.616716123536925,1.2730196,4,99.94155966188022,First,non,non, False
7, 19.25831431707175,19.25831431707175,20.616716123536925,1.6973594,4,99.94155966188022,First,non,non, False
8, 19.259580330022494,19.259580330022494,20.616716123536925,2.1823192,4,99.94093642611685,First,non,non, False
9, 19.239310538080176,19.239310538080176,20.616716123536925,2.727899,4,99.93840513009329,First,non,non, False
10, 19.306596096975923,19.306596096975923,20.616716123536925,3.3340988,4,99.93270012579775,First,non,non, False
11, 19.23467003073634,19.23467003073634,20.616716123536925,4.0009184,4,99.92253658873344,First,non,non, False
12, 19.22271647529313,19.22271647529313,20.616716123536925,4.7283583,4,99.90662969440353,First,non,non, False
13, 19.280701792352392,19.280701792352392,20.616716123536925,5.516418,4,99.88371379479628,First,non,non, False
14, 19.217830997707708,19.217830997707708,20.616716123536925,6.3650975,4,99.85250406541483,First,non,non, False
15, 19.33302925424584,19.33302925424584,20.616716123536925,7.2743974,4,99.81172527000491,First,non,non, False
16, 19.341154313523816,19.341154313523816,20.616716123536925,8.244317,4,99.76010217231223,First,non,non, False
17, 19.262186325764578,19.262186325764578,20.616716123536925,9.211237,4,99.70904478092784,First,non,non, False
18, 19.27711070781006,19.27711070781006,20.616716123536925,10.175157,4,99.65853391936672,First,non,non, False
19, 19.213578386999597,19.213578386999597,20.616716123536925,11.136076,4,99.60860794059893,First,non,non, False
20, 19.311863610702495,19.311863610702495,20.616716123536925,12.097615,4,99.55854772643595,First,non,non, False
21, 19.238991306896644,19.238991306896644,20.616716123536925,13.059775,4,99.5083820416053,First,non,non, False
22, 19.274974908252773,19.274974908252773,20.616716123536925,14.022555,4,99.45810129786452,First,non,non, False
23, 19.292532676219842,19.292532676219842,20.616716123536925,14.985955,4,99.40769590697104,First,non,non, False
24, 19.31528545490206,19.31528545490206,20.616716123536925,15.949975,4,99.35718504540992,First,non,non, False
25, 19.332286419672943,19.332286419672943,20.616716123536925,16.914614,4,99.30654953669612,First,non,non, False
26, 19.345304761411015,19.345304761411015,20.616716123536925,17.879873,4,99.25580855731468,First,non,non, False
27, 19.30514857016056,19.30514857016056,20.616716123536925,18.842133,4,99.20562369599902,First,non,non, False
28, 19.25790769366839,19.25790769366839,20.616716123536925,19.805012,4,99.1553237757732,First,non,non, False
29, 19.228989618386848,19.228989618386848,20.616716123536925,20.76489,4,99.10557038537065,First,non,non, False
30, 19.255730310560185,19.255730310560185,20.616716123536925,21.72539,4,99.05571152430045,First,non,non, False
31, 19.233752756775388,19.233752756775388,20.616716123536925,22.686508,4,99.0057471925626,First,non,non, False
32, 19.22245839281239,19.22245839281239,20.616716123536925,23.648247,4,98.95564862542956,First,non,non, False
33, 19.253354156644136,19.253354156644136,20.616716123536925,24.610607,4,98.90544458762888,First,non,non, False
34, 19.21813410504994,19.21813410504994,20.616716123536925,25.569967,4,98.85580625613647,First,non,non, False
35, 19.255897247952692,19.255897247952692,20.616716123536925,26.529947,4,98.80604327749141,First,non,non, False
36, 19.312822888100047,19.312822888100047,20.616716123536925,27.490547,4,98.75616523993618,First,non,non, False
37, 20.87268526847743,19.310417590012662,20.616716123536925,28.450466,3.95,98.7061721434708,First,non,InsideOvertaking, False
38, 19.632871287736428,19.337596156725237,20.616716123536925,29.411005,3.9,98.65606398809524,First,non,InsideOvertaking, False
39, 21.037254475627453,19.266531469370534,20.616716123536925,30.372166,3.8500001,98.60584077380953,First,non,InsideOvertaking, False
40, 19.841823093184765,19.320662573645173,20.616716123536925,31.333946,3.8000002,98.55550250061366,First,non,InsideOvertaking, False
41, 20.113867080103173,19.327726340681327,20.616716123536925,32.29635,3.7500002,98.50504916850761,First,non,InsideOvertaking, False
42, 20.433144366549485,19.32176770114367,20.616716123536925,33.25937,3.7000003,98.4544711892489,First,non,InsideOvertaking, False
43, 19.905470160022492,19.263518001678335,20.616716123536925,34.22301,3.6500003,98.40378773932254,First,non,InsideOvertaking, False
44, 21.36037063829358,19.32215096290863,20.616716123536925,35.187275,3.6000004,98.3529796422435,First,non,InsideOvertaking, False
45, 21.346543733726126,19.280581498583842,20.616716123536925,36.15216,3.5500004,98.30206607449682,First,non,InsideOvertaking, False
46, 21.363453977787138,19.291871377985988,20.616716123536925,37.117664,3.5000005,98.25101827135494,First,non,InsideOvertaking, False
47, 20.16838892581286,19.245392659047262,20.616716123536925,38.08379,3.4500005,98.19986499754542,First,non,InsideOvertaking, False
48, 20.456168923325208,19.219585812009807,20.616716123536925,39.050537,3.4000006,98.14859666482573,First,non,InsideOvertaking, False
49, 19.745226696348293,19.311033425795003,20.616716123536925,40.017906,3.3500006,98.09720368495337,First,non,InsideOvertaking, False
50, 20.019468654163326,19.231416300129784,20.616716123536925,40.985893,3.3000007,98.04569564617084,First,non,InsideOvertaking, False
51, 21.358377129322555,19.302050744206003,20.616716123536925,41.954502,3.2500007,97.99408213672068,First,non,InsideOvertaking, False
52, 20.226402975653674,19.219428005429236,20.616716123536925,42.923733,3.2000008,97.94234398011783,First,non,InsideOvertaking, False
53, 20.626016351126545,19.256670441968357,20.616716123536925,43.893585,3.1500008,97.8904811763623,First,non,InsideOvertaking, False
54, 20.814133454248854,19.228856372007257,20.616716123536925,44.864056,3.1000009,97.83850331369662,First,non,InsideOvertaking, False
55, 21.2659038576523,19.269552520915727,20.616716123536925,45.835148,3.050001,97.78640080387825,First,non,InsideOvertaking, False
56, 20.285543237618658,19.31775688030252,20.616716123536925,46.80686,3.000001,97.73419282339225,First,non,InsideOvertaking, False
57, 20.482322155107422,19.33351286649608,20.616716123536925,47.779198,2.950001,97.68186019575356,First,non,InsideOvertaking, False
58, 20.35381242045835,19.265892007638445,20.616716123536925,48.75215,2.900001,97.62941250920471,First,non,InsideOvertaking, False
