turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.09593980767021,19.09593980767021,20.353392942956035,0.060361866,3,99.97681883133987,First,non,non, False
2, 19.16517573407509,19.16517573407509,20.353392942956035,0.1810856,3,99.96067432238833,First,non,non, False
3, 19.120863600498073,19.120863600498073,20.353392942956035,0.3621712,3,99.95029914361601,First,non,non, False
4, 19.168095277720326,19.168095277720326,20.353392942956035,0.6036187,3,99.9444240423835,First,non,non, False
5, 19.08932643345954,19.08932643345954,20.353392942956035,0.90542805,3,99.94177976605135,First,non,non, False
6, 19.09777929136041,19.09777929136041,20.353392942956035,1.2675992,3,99.94109706198014,First,non,non, False
7, 19.167090337026167,19.167090337026167,20.353392942956035,1.6901323,3,99.94109706198014,First,non,non, False
8, 19.12629196314355,19.12629196314355,20.353392942956035,2.1730273,3,99.94051051341192,First,non,non, False
9, 19.190284527142495,19.190284527142495,20.353392942956035,2.716284,3,99.93806816363605,First,non,non, False
10, 19.11896876899823,19.11896876899823,20.353392942956035,3.3199027,3,99.9325103755634,First,non,non, False
11, 19.14188032190396,19.14188032190396,20.353392942956035,3.9838831,3,99.92254866545393,First,non,non, False
12, 19.10317922003038,19.10317922003038,20.353392942956035,4.7082257,3,99.90692339621852,First,non,non, False
13, 19.20037663015177,19.20037663015177,20.353392942956035,5.49293,3,99.88436531521774,First,non,non, False
14, 19.12543489862664,19.12543489862664,20.353392942956035,6.337996,3,99.85359555426186,First,non,non, False
15, 19.114579840596345,19.114579840596345,20.353392942956035,7.243424,3,99.81334486071145,First,non,non, False
16, 19.15295762505504,19.15295762505504,20.353392942956035,8.209214,3,99.76235359747737,First,non,non, False
17, 19.096786102670993,19.096786102670993,20.353392942956035,9.172004,3,99.71192965171092,First,non,non, False
18, 19.197697701482802,19.197697701482802,20.353392942956035,10.131794,3,99.6620634078618,First,non,non, False
19, 19.182952596687567,19.182952596687567,20.353392942956035,11.088584,3,99.61275486593,First,non,non, False
20, 19.134448207190424,19.134448207190424,20.353392942956035,12.042374,3,99.56399441036523,First,non,non, False
21, 19.076611255907345,19.076611255907345,20.353392942956035,12.996526,3,99.51517626149867,First,non,non, False
22, 19.161908026418878,19.161908026418878,20.353392942956035,13.951039,3,99.46629080378,First,non,non, False
23, 19.16546508659041,19.16546508659041,20.353392942956035,14.905914,3,99.41732842165896,First,non,non, False
