turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.35994680866459,19.35994680866459,21.603684635986323,0,5,100,First,non,non, False
2, 20.982683616844163,19.333295196264405,21.603684635986323,0.034373194,4.95,99.9896665034649,First,non,InsideOvertaking, False
3, 20.627571751431994,19.263855860028738,21.603684635986323,0.14494473,4.8999996,99.98293443055138,First,non,InsideOvertaking, False
4, 19.893178838413636,19.373000768550135,21.603684635986323,0.31996942,4.8499994,99.9790387729738,First,non,InsideOvertaking, False
5, 20.73080318632987,19.314293877411558,21.603684635986323,0.5574652,4.799999,99.97720275308829,First,non,InsideOvertaking, False
6, 20.12366121869539,19.35950543887243,21.603684635986323,0.85669404,4.749999,99.97667313196747,First,non,InsideOvertaking, False
7, 21.023099751589935,19.25769803399986,21.603684635986323,1.2172971,4.699999,99.97664959325098,First,non,InsideOvertaking, False
8, 20.90120369826675,19.293863096705234,21.603684635986323,1.6390723,4.6499987,99.9763906673697,First,non,InsideOvertaking, False
9, 21.129428239303707,19.346918801405895,21.603684635986323,2.1218944,4.5999985,99.97513134603797,First,non,InsideOvertaking, False
10, 20.78754032728434,19.321002546008437,21.603684635986323,2.66568,4.5499983,99.97205954353721,First,non,InsideOvertaking, False
11, 19.62788861218022,19.28920455222754,21.603684635986323,3.2703712,4.499998,99.96644555965653,First,non,InsideOvertaking, False
12, 20.11658995765462,19.353202137323514,21.603684635986323,3.9359262,4.449998,99.9575008473938,First,non,InsideOvertaking, False
13, 20.525925954152665,19.254275054027858,21.603684635986323,4.6623135,4.3999977,99.94444862910515,First,non,InsideOvertaking, False
14, 19.757169846154298,19.265574241887286,21.603684635986323,5.4495087,4.3499975,99.92653566586321,First,non,InsideOvertaking, False
15, 20.36770040387047,19.357600531391096,21.603684635986323,6.297493,4.2999973,99.90299694938236,First,non,InsideOvertaking, False
16, 20.630664978101716,19.35768049644134,21.603684635986323,7.206251,4.249997,99.87303216330221,First,non,InsideOvertaking, False
17, 20.429160116579535,19.379427053035766,21.603684635986323,8.175771,4.199997,99.8358880686954,First,non,InsideOvertaking, False
18, 21.11230826104804,19.333746475713976,21.603684635986323,9.206041,4.1499968,99.79081142663453,First,non,InsideOvertaking, False
19, 20.83561723680007,19.270843090383288,21.603684635986323,10.297055,4.0999966,99.73700192075927,First,non,InsideOvertaking, False
20, 21.323410337818792,19.321468846923857,21.603684635986323,11.385066,4.0499964,99.68363965049714,First,non,InsideOvertaking, False
21, 20.67181761012215,19.331816900355673,21.603684635986323,12.470074,3.9999964,99.63073638520639,First,non,InsideOvertaking, False
22, 19.838934719830466,19.2626753654674,21.603684635986323,13.552078,3.9499965,99.57826858617054,First,non,InsideOvertaking, False
23, 20.521169145561526,19.313689032430535,21.603684635986323,14.63108,3.8999965,99.52625979210606,First,non,InsideOvertaking, False
24, 19.93447741076369,19.361388566881807,21.603684635986323,15.707078,3.8499966,99.47467469493824,First,non,InsideOvertaking, False
25, 20.11737357095945,19.352553869975548,21.603684635986323,16.780073,3.7999966,99.42352506402531,First,non,InsideOvertaking, False
26, 19.281417171870064,19.281417171870064,21.603684635986323,17.851233,3.7999966,99.37283443808377,First,non,non, False
27, 19.760324852800455,19.309841759509325,21.603684635986323,18.91822,3.7499967,99.32256750903888,First,non,InsideOvertaking, False
28, 20.460139804254617,19.29004872318492,21.603684635986323,19.982204,3.6999967,99.27273604624888,First,non,InsideOvertaking, False
29, 20.499375763468997,19.336572765259906,21.603684635986323,21.043186,3.6499968,99.22334004971377,First,non,InsideOvertaking, False
30, 20.28983841897255,19.374439583929536,21.603684635986323,22.101164,3.5999968,99.17436775007533,First,non,InsideOvertaking, False
31, 20.44037240823388,19.31159719066206,21.603684635986323,23.15614,3.5499969,99.12583091669178,First,non,InsideOvertaking, False
32, 19.706273404033468,19.28891538244333,21.603684635986323,24.20811,3.499997,99.07771778020489,First,non,InsideOvertaking, False
33, 21.438673521418046,19.36101065107684,21.603684635986323,25.26076,3.449997,99.02949871949383,First,non,InsideOvertaking, False
34, 20.907616873981965,19.379510223906436,21.603684635986323,26.310404,3.399997,98.98171512503767,First,non,InsideOvertaking, False
35, 19.360419872981474,19.360419872981474,21.603684635986323,27.358238,3.399997,98.9343669968364,First,non,non, False
36, 19.319629436698786,19.319629436698786,21.603684635986323,28.403072,3.399997,98.88743079617355,First,non,non, False
37, 19.322038333620952,19.322038333620952,21.603684635986323,29.444906,3.399997,98.84089475369088,First,non,non, False
38, 19.30263340822155,19.30263340822155,21.603684635986323,30.48374,3.399997,98.7947941774631,First,non,non, False
39, 19.357625805733207,19.357625805733207,21.603684635986323,31.519575,3.399997,98.74911729813198,First,non,non, False
40, 19.339588910403528,19.339588910403528,21.603684635986323,32.55241,3.399997,98.70384057698102,First,non,non, False
41, 19.260014639566943,19.260014639566943,21.603684635986323,33.582245,3.399997,98.65898166804762,First,non,non, False
42, 19.264741435290517,19.264741435290517,21.603684635986323,34.609077,3.399997,98.61453468665262,First,non,non, False
43, 19.27683269272288,19.27683269272288,21.603684635986323,35.63291,3.399997,98.57048786343779,First,non,non, False
44, 19.32329877413132,19.32329877413132,21.603684635986323,36.653748,3.399997,98.52685296776139,First,non,non, False
45, 19.27592742024385,19.27592742024385,21.603684635986323,37.67158,3.399997,98.48362411494426,First,non,non, False
46, 19.379158580248305,19.379158580248305,21.603684635986323,38.686417,3.399997,98.44079542030732,First,non,non, False
47, 19.30503156391101,19.30503156391101,21.603684635986323,39.69825,3.399997,98.39836099917144,First,non,non, False
48, 19.34452880445106,19.34452880445106,21.603684635986323,40.707085,3.399997,98.35633262089486,First,non,non, False
49, 19.33110183041132,19.33110183041132,21.603684635986323,41.712917,3.399997,98.31469851611932,First,non,non, False
50, 19.342459045550978,19.342459045550978,21.603684635986323,42.71575,3.399997,98.27347045420308,First,non,non, False
51, 19.30279307865937,19.30279307865937,21.603684635986323,43.715588,3.399997,98.23262489642966,First,non,non, False
52, 19.37165940843557,19.37165940843557,21.603684635986323,44.71242,3.399997,98.19216772747816,First,non,non, False
53, 19.298280537187306,19.298280537187306,21.603684635986323,45.706257,3.399997,98.15210483202773,First,non,non, False
54, 19.322973900563344,19.322973900563344,21.603684635986323,46.69709,3.399997,98.11243032539922,First,non,non, False
55, 19.255370844914932,19.255370844914932,21.603684635986323,47.684925,3.399997,98.07314420759265,First,non,non, False
56, 19.32186642814956,19.32186642814956,21.603684635986323,48.669758,3.399997,98.03422882457066,First,non,non, False
57, 19.316696990909612,19.316696990909612,21.603684635986323,49.651592,3.399997,97.9957018303706,First,non,non, False
58, 19.307262228128174,19.307262228128174,21.603684635986323,50.63043,3.399997,97.95756322499247,First,non,non, False
59, 19.347994579686798,19.347994579686798,21.603684635986323,51.606262,3.399997,97.91980123907804,First,non,non, False
60, 19.293631352897545,19.293631352897545,21.603684635986323,52.579098,3.399997,97.88240410326907,First,non,non, False
61, 19.324563954260782,19.324563954260782,21.603684635986323,53.54893,3.399997,97.8453894716029,First,non,non, False
62, 19.35382355323083,19.35382355323083,21.603684635986323,54.515766,3.399997,97.80874557472131,First,non,non, False
63, 19.335275169890345,19.335275169890345,21.603684635986323,55.4796,3.399997,97.7724724126243,First,non,non, False
64, 19.315982362752766,19.315982362752766,21.603684635986323,56.44411,3.399997,97.7361168650196,First,non,non, False
65, 19.264695564967624,19.264695564967624,21.603684635986323,57.40562,3.399997,97.70012616752034,First,non,non, False
66, 19.30840623519927,19.30840623519927,21.603684635986323,58.367805,3.399997,97.66405896919254,First,non,non, False
67, 19.29823461484871,19.29823461484871,21.603684635986323,59.330666,3.399997,97.62790350067792,First,non,non, False
68, 19.27249280634588,19.27249280634588,21.603684635986323,60.2942,3.399997,97.59166564665563,First,non,non, False
69, 19.28833073607057,19.28833073607057,21.603684635986323,61.25841,3.399997,97.55534540712564,First,non,non, False
