turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.270898900003893,19.270898900003893,20.777146852619413,0.06028953,8,99.98935746913484,First,non,non, False
2, 19.255115196710104,19.255115196710104,20.777146852619413,0.18086858,8,99.98240749156817,First,non,non, False
3, 19.29396993134721,19.29396993134721,20.777146852619413,0.3617372,8,99.97835233074447,First,non,non, False
4, 19.31941714919859,19.31941714919859,20.777146852619413,0.6028953,8,99.97643051086082,First,non,non, False
5, 19.32744127912859,19.32744127912859,20.777146852619413,0.904343,8,99.97585033882046,First,non,non, False
6, 19.33553903017279,19.33553903017279,20.777146852619413,1.2660801,8,99.9758322084442,First,non,non, False
7, 19.28425850980261,19.28425850980261,20.777146852619413,1.6881068,8,99.97559651355282,First,non,non, False
8, 19.255976851162718,19.255976851162718,20.777146852619413,2.170423,8,99.97435760450833,First,non,non, False
9, 19.301550588883483,19.301550588883483,20.777146852619413,2.713029,8,99.9713358751315,First,non,non, False
10, 19.25671091728613,19.25671091728613,20.777146852619413,3.3159242,8,99.9657577627019,First,non,non, False
11, 19.25183996881095,19.25183996881095,20.777146852619413,3.979109,8,99.95683157412277,First,non,non, False
12, 19.34302286633116,19.34302286633116,20.777146852619413,4.7025833,8,99.94378374667367,First,non,non, False
13, 19.345955523212258,19.345955523212258,20.777146852619413,5.486347,8,99.92583467417538,First,non,non, False
14, 19.25470322634175,19.25470322634175,20.777146852619413,6.3304005,8,99.9021987069899,First,non,non, False
15, 19.279948397592737,19.279948397592737,20.777146852619413,7.2347436,8,99.87209623893806,First,non,non, False
16, 19.35018249025718,19.35018249025718,20.777146852619413,8.199376,8,99.83473557692308,First,non,non, False
17, 19.288326479281867,19.288326479281867,20.777146852619413,9.161009,8,99.79776773972708,First,non,non, False
18, 21.273367267942344,19.2810801786354,20.777146852619413,10.121631,7.95,99.76075155486106,First,non,InsideOvertaking, False
19, 19.56673637122603,19.25828803214262,20.777146852619413,11.082542,7.8999996,99.72370515270129,First,non,InsideOvertaking, False
20, 21.38532590684317,19.344397323277054,20.777146852619413,12.043744,7.8499994,99.68662248978897,First,non,InsideOvertaking, False
21, 19.77469769206162,19.31572856097074,20.777146852619413,13.005236,7.799999,99.64950356612414,First,non,InsideOvertaking, False
22, 19.87633223485181,19.283232566893968,20.777146852619413,13.967017,7.749999,99.61234838170678,First,non,InsideOvertaking, False
23, 19.645190719071184,19.338824903393597,20.777146852619413,14.929089,7.699999,99.57515089307816,First,non,InsideOvertaking, False
24, 21.09782052202804,19.34425658473104,20.777146852619413,15.89145,7.6499987,99.53792923061452,First,non,InsideOvertaking, False
25, 20.22155717812157,19.31454839942502,20.777146852619413,16.854101,7.5999985,99.50065922048084,First,non,InsideOvertaking, False
26, 21.36504686304091,19.324292014419637,20.777146852619413,17.817041,7.5499983,99.4633589930534,First,non,InsideOvertaking, False
27, 20.052192545740088,19.322505511091823,20.777146852619413,18.780272,7.499998,99.42602250487344,First,non,InsideOvertaking, False
28, 21.290606513209752,19.357722415501833,20.777146852619413,19.743792,7.449998,99.38863766902345,First,non,InsideOvertaking, False
29, 19.700904605081572,19.26860405535245,20.777146852619413,20.707602,7.3999977,99.35122261587969,First,non,InsideOvertaking, False
30, 20.663175751821697,19.350898629799772,20.777146852619413,21.671701,7.3499975,99.31377130198341,First,non,InsideOvertaking, False
31, 19.803973300432617,19.284208525579935,20.777146852619413,22.636091,7.2999973,99.27629581425212,First,non,InsideOvertaking, False
32, 19.967255908754083,19.365681133875313,20.777146852619413,23.60077,7.249997,99.23876593539204,First,non,InsideOvertaking, False
33, 20.410733936392845,19.29352094935569,20.777146852619413,24.56574,7.199997,99.2012058392382,First,non,InsideOvertaking, False
34, 21.106622250604204,19.337122015531218,20.777146852619413,25.531,7.1499968,99.16360948233182,First,non,InsideOvertaking, False
35, 21.25872022084337,19.310654949072877,20.777146852619413,26.49655,7.0999966,99.12597082121418,First,non,InsideOvertaking, False
36, 19.856855156001423,19.310460930338547,20.777146852619413,27.462389,7.0499964,99.08830194280277,First,non,InsideOvertaking, False
37, 19.67753095716881,19.264291918633585,20.777146852619413,28.428518,6.999996,99.05059680363884,First,non,InsideOvertaking, False
38, 21.203475277008856,19.35701872800198,20.777146852619413,29.394938,6.949996,99.01285540372238,First,non,InsideOvertaking, False
39, 20.07210337155016,19.32596406438642,20.777146852619413,30.361647,6.899996,98.97507169959465,First,non,InsideOvertaking, False
40, 20.14554043124842,19.27250578631684,20.777146852619413,31.328646,6.8499956,98.93725777817315,First,non,InsideOvertaking, False
41, 19.540480634138508,19.323183093011703,20.777146852619413,32.295937,6.7999954,98.89940155254038,First,non,InsideOvertaking, False
42, 21.380899360097743,19.266318797861732,20.777146852619413,33.263515,6.749995,98.86150302269633,First,non,InsideOvertaking, False
43, 20.780153969823342,19.365112689270834,20.777146852619413,34.231384,6.699995,98.82358031901727,First,non,InsideOvertaking, False
44, 20.5549830112932,19.248870782503786,20.777146852619413,35.199543,6.649995,98.78560926766816,First,non,InsideOvertaking, False
45, 21.262854441344512,19.265322214364073,20.777146852619413,36.16799,6.5999947,98.74761404248406,First,non,InsideOvertaking, False
