turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.485014880479568,20.658668154307275,23.123883233797624,0.060417365,2,99.9937829374547,First,SpeedUp,non, False
2, 21.553476453783947,20.724496590176873,23.123883233797624,0.18125209,2,99.98971294394781,First,SpeedUp,non, False
3, 21.529920333539106,20.70184647455683,23.123883233797624,0.36250418,2,99.98734173033945,First,SpeedUp,non, False
4, 21.456253799968234,20.631013269200224,23.123883233797624,0.60417366,2,99.98623280457235,First,SpeedUp,non, False
5, 21.538170935903224,20.709779746060793,23.123883233797624,0.9062605,2,99.98590248625875,First,SpeedUp,non, False
6, 21.49793182012236,20.671088288579192,23.123883233797624,1.2687647,2,99.98589068917613,First,SpeedUp,non, False
7, 21.431483064449758,20.60719525427861,23.123883233797624,1.6916863,2,99.98573732710196,First,SpeedUp,non, False
8, 21.47009075444138,20.64431803311671,23.123883233797624,2.1750252,2,99.98500590797897,First,SpeedUp,non, False
9, 21.4641074055852,20.63856481306269,23.123883233797624,2.7187815,2,99.9832009543368,First,SpeedUp,non, False
10, 21.456751416994706,20.631491747110292,23.123883233797624,3.3229551,2,99.9799095682834,First,SpeedUp,non, False
11, 21.465142852256378,20.639560434861902,23.123883233797624,3.9875462,2,99.97462447526577,First,SpeedUp,non, False
12, 21.48653487207708,20.660129684689498,23.123883233797624,4.7125545,2,99.96692098030925,First,SpeedUp,non, False
13, 21.50728172291892,20.680078579729727,23.123883233797624,5.49798,2,99.95632720010872,First,SpeedUp,non, False
14, 21.455609694084405,20.63039393661962,23.123883233797624,6.3438234,2,99.94238304844166,First,SpeedUp,non, False
15, 21.46772326429724,20.642041600285808,23.123883233797624,7.250084,2,99.9246166420029,First,SpeedUp,non, False
16, 21.545515911557306,20.716842222651255,23.123883233797624,8.216762,2,99.9025914887352,First,SpeedUp,non, False
17, 21.485013799228387,20.65866711464268,23.123883233797624,9.243856,2,99.87583570533342,First,SpeedUp,non, False
