turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.47250447580328,18.47250447580328,19.947174532774902,0.06028659,11,99.98940076078583,First,non,non, False
2, 18.852899138904935,18.536554294925978,19.947174532774902,0.17000392,10.95,99.98247905431433,First,non,InsideOvertaking, False
3, 18.488544575928334,18.488544575928334,19.947174532774902,0.3508637,10.95,99.97844640793528,First,non,non, False
4, 19.28695192806032,18.51940642527769,19.947174532774902,0.5867695,10.9,99.97652638674884,First,non,InsideOvertaking, False
5, 18.864221652777484,18.460130840217715,19.947174532774902,0.88402665,10.849999,99.97594255585516,First,non,InsideOvertaking, False
6, 19.154208396613818,18.49267790344905,19.947174532774902,1.2422738,10.799999,99.97592449922958,First,non,InsideOvertaking, False
7, 19.82220672982454,18.526083503881225,19.947174532774902,1.6613075,10.749999,99.97568976309707,First,non,InsideOvertaking, False
8, 19.264324392320855,18.500947705840222,19.947174532774902,2.1410015,10.699999,99.97445589368259,First,non,InsideOvertaking, False
9, 20.427944202350446,18.496534865064817,19.947174532774902,2.681272,10.649999,99.97145849383668,First,non,InsideOvertaking, False
10, 18.944938675952397,18.50188634219636,19.947174532774902,3.2820609,10.599998,99.9658970531587,First,non,InsideOvertaking, False
11, 19.339999632972933,18.545160237518097,19.947174532774902,3.9433258,10.549998,99.95701319337442,First,non,InsideOvertaking, False
12, 19.420180808730233,18.496346808338043,19.947174532774902,4.665035,10.499998,99.94402446070879,First,non,InsideOvertaking, False
13, 20.189618041286213,18.542624122533358,19.947174532774902,5.447164,10.449998,99.92614840138675,First,non,InsideOvertaking, False
14, 19.176651416603473,18.530933859711617,19.947174532774902,6.289694,10.399998,99.90260858050847,First,non,InsideOvertaking, False
15, 18.84913594292284,18.520630090938077,19.947174532774902,7.1926093,10.3499975,99.8726345820493,First,non,InsideOvertaking, False
16, 19.591708326731858,18.553635745434892,19.947174532774902,8.155898,10.299997,99.83543793335902,First,non,InsideOvertaking, False
17, 20.247340558560794,18.47409734289487,19.947174532774902,9.17955,10.249997,99.79024219953774,First,non,InsideOvertaking, False
18, 19.777667678475723,18.50387705345427,19.947174532774902,10.200198,10.199997,99.74546778697997,First,non,InsideOvertaking, False
19, 18.51438782484932,18.51438782484932,19.947174532774902,11.21907,10.199997,99.70111469568567,First,non,non, False
20, 18.473750479138086,18.473750479138086,19.947174532774902,12.234942,10.199997,99.65717088790447,First,non,non, False
21, 18.480039620068098,18.480039620068098,19.947174532774902,13.247814,10.199997,99.61362432588598,First,non,non, False
22, 18.530910528982808,18.530910528982808,19.947174532774902,14.257687,10.199997,99.57049908513098,First,non,non, False
23, 19.60404540803835,18.52174572877249,19.947174532774902,15.263316,10.149997,99.52777109013867,First,non,InsideOvertaking, False
24, 19.143785267888994,18.522117993332298,19.947174532774902,16.265942,10.099997,99.48545839753467,First,non,InsideOvertaking, False
25, 20.391329226978176,18.462514811658284,19.947174532774902,17.268854,10.049996,99.44310357280432,First,non,InsideOvertaking, False
26, 19.99670893836482,18.525129171789906,19.947174532774902,18.268763,9.999996,99.40115201271186,First,non,InsideOvertaking, False
27, 20.566934811758344,18.552597624913396,19.947174532774902,19.268959,9.949996,99.35915832049307,First,non,InsideOvertaking, False
28, 19.123001753938237,18.51040115221039,19.947174532774902,20.266151,9.899996,99.31757391178736,First,non,InsideOvertaking, False
29, 19.59695077955351,18.581419180198218,19.947174532774902,21.26034,9.849996,99.27638072996918,First,non,InsideOvertaking, False
30, 19.46835912572388,18.53076097914867,19.947174532774902,22.251524,9.799995,99.23558479391372,First,non,InsideOvertaking, False
31, 20.026004989425665,18.564704993175756,19.947174532774902,23.242996,9.749995,99.19474672573189,First,non,InsideOvertaking, False
32, 19.670145601527608,18.518234706204357,19.947174532774902,24.231464,9.699995,99.15431794106317,First,non,InsideOvertaking, False
33, 20.415486370724444,18.55322122412839,19.947174532774902,25.220219,9.649995,99.11384100539291,First,non,InsideOvertaking, False
34, 19.852343520480794,18.503064068636604,19.947174532774902,26.20926,9.599995,99.07333999422188,First,non,InsideOvertaking, False
35, 18.762996284490413,18.510775102126633,19.947174532774902,27.1953,9.549994,99.03321817218799,First,non,InsideOvertaking, False
36, 18.91582866585152,18.579827622183714,19.947174532774902,28.178333,9.499994,98.99349359591679,First,non,InsideOvertaking, False
37, 19.28700693948012,18.541583083913356,19.947174532774902,29.158363,9.449994,98.95415422765794,First,non,InsideOvertaking, False
38, 20.12737154213651,18.577645913825165,19.947174532774902,30.138681,9.399994,98.91478476502311,First,non,InsideOvertaking, False
39, 19.480719416743806,18.56678029790128,19.947174532774902,31.115995,9.349994,98.8758065292758,First,non,InsideOvertaking, False
40, 20.28831746079164,18.499698534409852,19.947174532774902,32.093597,9.2999935,98.83678616140216,First,non,InsideOvertaking, False
41, 19.025005097187297,18.53103096008438,19.947174532774902,33.068195,9.249993,98.79815100154083,First,non,InsideOvertaking, False
42, 20.36316630040838,18.476508396014715,19.947174532774902,34.04308,9.199993,98.75947972842835,First,non,InsideOvertaking, False
43, 20.318375588963423,18.54689371176779,19.947174532774902,35.01825,9.149993,98.72077234206472,First,non,InsideOvertaking, False
44, 18.969487641831506,18.46269362659835,19.947174532774902,35.990417,9.099993,98.68245016371341,First,non,InsideOvertaking, False
45, 19.73348456004845,18.565395844693107,19.947174532774902,36.96287,9.049993,98.64408585323575,First,non,InsideOvertaking, False
46, 18.71293026435996,18.498201230731798,19.947174532774902,37.93232,8.999992,98.6061127696456,First,non,InsideOvertaking, False
47, 19.553096980682202,18.58182900254751,19.947174532774902,38.902058,8.949992,98.56809755392912,First,non,InsideOvertaking, False
48, 19.459046977981885,18.52593734815264,19.947174532774902,39.87208,8.899992,98.53005224383668,First,non,InsideOvertaking, False
49, 20.04284549408236,18.494881124292522,19.947174532774902,40.842392,8.849992,98.49197082049307,First,non,InsideOvertaking, False
50, 20.405600662527174,18.48402349987722,19.947174532774902,41.81299,8.799992,98.45384726502311,First,non,InsideOvertaking, False
51, 20.387471077448996,18.5726788003542,19.947174532774902,42.78387,8.749991,98.41569361517719,First,non,InsideOvertaking, False
52, 19.914737054203545,18.519594916889332,19.947174532774902,43.755043,8.699991,98.37749181432974,First,non,InsideOvertaking, False
53, 19.617477244370498,18.47607094640133,19.947174532774902,44.7265,8.649991,98.33925991910631,First,non,InsideOvertaking, False
54, 19.226764858853414,18.500903830645072,19.947174532774902,45.694954,8.599991,98.30141925077042,First,non,InsideOvertaking, False
55, 20.52383323949689,18.556141421052846,19.947174532774902,46.663696,8.549991,98.26352441255779,First,non,InsideOvertaking, False
56, 19.92224506169162,18.5526191912926,19.947174532774902,47.632725,8.49999,98.22560549884437,First,non,InsideOvertaking, False
57, 19.163860947760828,18.499313815615753,19.947174532774902,48.598747,8.44999,98.18806577426811,First,non,InsideOvertaking, False
58, 20.096984557979994,18.53891191626945,19.947174532774902,49.56506,8.39999,98.15048391756548,First,non,InsideOvertaking, False
59, 20.311813846478668,18.507913221791902,19.947174532774902,50.53166,8.34999,98.11287798536209,First,non,InsideOvertaking, False
60, 19.875042989041628,18.57676856645386,19.947174532774902,51.498543,8.29999,98.07521788328197,First,non,InsideOvertaking, False
61, 19.153500083744984,18.50865804426235,19.947174532774902,52.462425,8.2499895,98.03794900808937,First,non,InsideOvertaking, False
62, 18.90802297089499,18.57262628383539,19.947174532774902,53.4233,8.199989,98.0010653409091,First,non,InsideOvertaking, False
63, 19.396562358795073,18.46460145335122,19.947174532774902,54.384464,8.149989,97.96413352272727,First,non,InsideOvertaking, False
64, 18.91793350091692,18.583505584409895,19.947174532774902,55.342625,8.099989,97.92758089368259,First,non,InsideOvertaking, False
65, 19.188070372586548,18.53488041539402,19.947174532774902,56.29778,8.049989,97.89140745377505,First,non,InsideOvertaking, False
66, 19.047770890624943,18.47217926017021,19.947174532774902,57.24993,7.9999886,97.85559514637904,First,non,InsideOvertaking, False
67, 19.367917140852665,18.493033512892573,19.947174532774902,58.20237,7.9499884,97.81975876348228,First,non,InsideOvertaking, False
68, 20.484386679261334,18.479775001691056,19.947174532774902,59.155094,7.899988,97.78388626733437,First,non,InsideOvertaking, False
69, 20.203372339754686,18.50193181573831,19.947174532774902,60.10811,7.849988,97.7479716390601,First,non,InsideOvertaking, False
70, 19.52177202869281,18.51275083063724,19.947174532774902,61.06141,7.799988,97.71202691640985,First,non,InsideOvertaking, False
71, 20.350731049876178,18.473767848526165,19.947174532774902,62.014996,7.7499876,97.67604608050847,First,non,InsideOvertaking, False
72, 19.933217988657514,18.478315056907405,19.947174532774902,62.96887,7.6999874,97.64002913135593,First,non,InsideOvertaking, False
73, 19.63410515511725,18.479457253554987,19.947174532774902,63.923027,7.649987,97.60397005007704,First,non,InsideOvertaking, False
74, 19.262862196949,18.573237230423096,19.947174532774902,64.87747,7.599987,97.56788689329738,First,non,InsideOvertaking, False
75, 19.801846509093217,18.52408406395883,19.947174532774902,65.83221,7.549987,97.53175558551618,First,non,InsideOvertaking, False
