turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.391308653595846,18.391308653595846,19.810575327926163,0.06027777,12,99.9893988006257,First,non,non, False
2, 18.374176436854544,18.374176436854544,19.810575327926163,0.18083331,12,99.98246979410676,First,non,non, False
3, 18.327747941629017,18.327747941629017,19.810575327926163,0.36166662,12,99.97843038196585,First,non,non, False
4, 18.44497281166664,18.44497281166664,19.810575327926163,0.6027777,12,99.97651602569042,First,non,non, False
5, 18.36844076727994,18.36844076727994,19.810575327926163,0.9041666,12,99.97593810681482,First,non,non, False
6, 18.328020168790523,18.328020168790523,19.810575327926163,1.2658331,12,99.97592004684996,First,non,non, False
7, 18.401000896656473,18.401000896656473,19.810575327926163,1.6877775,12,99.97568526730674,First,non,non, False
8, 18.3490032911193,18.3490032911193,19.810575327926163,2.1699996,12,99.9744511697078,First,non,non, False
9, 18.350712732158442,18.350712732158442,19.810575327926163,2.7124996,12,99.97145321554062,First,non,non, False
10, 18.43423034864636,18.43423034864636,19.810575327926163,3.3152773,12,99.96589074636296,First,non,non, False
11, 18.430324431727,18.430324431727,19.810575327926163,3.9783328,12,99.95701728362717,First,non,non, False
12, 18.380223417663203,18.380223417663203,19.810575327926163,4.701666,12,99.94403216889101,First,non,non, False
13, 18.399863443286865,18.399863443286865,19.810575327926163,5.485277,12,99.92615882366539,First,non,non, False
14, 18.38535979048547,18.38535979048547,19.810575327926163,6.329166,12,99.90263872942609,First,non,non, False
15, 18.42721422458122,18.42721422458122,19.810575327926163,7.2333326,12,99.87267122773086,First,non,non, False
16, 18.38128135043907,18.38128135043907,19.810575327926163,8.197777,12,99.83547372010233,First,non,non, False
17, 18.442988323179957,18.442988323179957,19.810575327926163,9.159222,12,99.7986675117125,First,non,non, False
18, 18.38821202960315,18.38821202960315,19.810575327926163,10.117666,12,99.76224056258476,First,non,non, False
19, 18.445973609994795,18.445973609994795,19.810575327926163,11.073111,12,99.72618685273086,First,non,non, False
20, 18.338791965204774,18.338791965204774,19.810575327926163,12.025555,12,99.6905003621625,First,non,non, False
21, 18.434803074315838,18.434803074315838,19.810575327926163,12.974999,12,99.65518711086796,First,non,non, False
22, 18.388276341948494,18.388276341948494,19.810575327926163,13.921444,12,99.62023505887068,First,non,non, False
23, 18.352625544515526,18.352625544515526,19.810575327926163,14.864888,12,99.58565624614721,First,non,non, False
24, 18.334972395915948,18.334972395915948,19.810575327926163,15.805332,12,99.551438632721,First,non,non, False
25, 18.417108684230648,18.417108684230648,19.810575327926163,16.742777,12,99.51758221859204,First,non,non, False
26, 18.39654647938509,18.39654647938509,19.810575327926163,17.677221,12,99.48408700376032,First,non,non, False
27, 18.40928190692921,18.40928190692921,19.810575327926163,18.608665,12,99.45094696823757,First,non,non, False
28, 18.329382056421842,18.329382056421842,19.810575327926163,19.53711,12,99.41816813201208,First,non,non, False
29, 18.421133086277482,18.421133086277482,19.810575327926163,20.462553,12,99.38573845510726,First,non,non, False
30, 18.374205501525676,18.374205501525676,19.810575327926163,21.384998,12,99.35366997749969,First,non,non, False
31, 18.447903480256578,18.447903480256578,19.810575327926163,22.304443,12,99.32194463922451,First,non,non, False
32, 18.440016468417316,18.440016468417316,19.810575327926163,23.224165,12,99.29018920100789,First,non,non, False
33, 18.424240341405223,18.424240341405223,19.810575327926163,24.144165,12,99.25839764286155,First,non,non, False
34, 18.380762287165414,18.380762287165414,19.810575327926163,25.061165,12,99.22696126402417,First,non,non, False
35, 18.379668287631244,18.379668287631244,19.810575327926163,25.978443,12,99.19548876525705,First,non,non, False
36, 18.449850119869684,18.449850119869684,19.810575327926163,26.895998,12,99.16398616654851,First,non,non, False
