turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.114579082677263,19.114579082677263,20.633571613761923,0.060218886,12,99.98469555104961,First,non,non, False
2, 19.13842840227592,19.13842840227592,20.633571613761923,0.18065666,12,99.9743410066794,First,non,non, False
3, 19.058996560746884,19.058996560746884,20.633571613761923,0.3613133,12,99.96796725906489,First,non,non, False
4, 19.082698521070945,19.082698521070945,20.633571613761923,0.6021888,12,99.96461265505725,First,non,non, False
5, 19.13104178853949,19.13104178853949,20.633571613761923,0.90328324,12,99.96330808683206,First,non,non, False
6, 19.10489960373887,19.10489960373887,20.633571613761923,1.2645966,12,99.96311426526718,First,non,non, False
7, 19.043946285197233,19.043946285197233,20.633571613761923,1.6861289,12,99.96305462786259,First,non,non, False
8, 19.052746342746023,19.052746342746023,20.633571613761923,2.16788,12,99.96216752146947,First,non,non, False
9, 19.069972606278483,19.069972606278483,20.633571613761923,2.70985,12,99.9594987476145,First,non,non, False
10, 19.123520851994947,19.123520851994947,20.633571613761923,3.312039,12,99.95408665314885,First,non,non, False
11, 19.038724222471068,19.038724222471068,20.633571613761923,3.9744468,12,99.94495467557252,First,non,non, False
12, 19.07436436472851,19.07436436472851,20.633571613761923,4.6970735,12,99.93116352576335,First,non,non, False
13, 19.087399472165515,19.087399472165515,20.633571613761923,5.479919,12,99.9117291865458,First,non,non, False
14, 19.07534451549498,19.07534451549498,20.633571613761923,6.3229833,12,99.88571982347328,First,non,non, False
15, 19.071249960770214,19.071249960770214,20.633571613761923,7.2262664,12,99.85215141937023,First,non,non, False
16, 19.101529340916034,19.101529340916034,20.633571613761923,8.189769,12,99.81006977576335,First,non,non, False
17, 19.097035972130538,19.097035972130538,20.633571613761923,9.150271,12,99.76842795801527,First,non,non, False
18, 19.15013082003191,19.15013082003191,20.633571613761923,10.107774,12,99.7272408754771,First,non,non, False
19, 19.03881886232425,19.03881886232425,20.633571613761923,11.062276,12,99.68649361879771,First,non,non, False
20, 19.088378577118192,19.088378577118192,20.633571613761923,12.013778,12,99.6461861879771,First,non,non, False
21, 19.08076700899904,19.08076700899904,20.633571613761923,12.965499,12,99.6058489384542,First,non,non, False
22, 19.139435269921428,19.139435269921428,20.633571613761923,13.9174385,12,99.56547441555344,First,non,non, False
23, 19.038516847160782,19.038516847160782,20.633571613761923,14.866379,12,99.52553226383588,First,non,non, False
24, 19.02975098360831,19.02975098360831,20.633571613761923,15.815537,12,99.4855677480916,First,non,non, False
25, 19.119859610275217,19.119859610275217,20.633571613761923,16.764915,12,99.44557341364504,First,non,non, False
26, 19.0368622780591,19.0368622780591,20.633571613761923,17.714512,12,99.40553435114504,First,non,non, False
27, 19.084639418815566,19.084639418815566,20.633571613761923,18.664328,12,99.3654803792939,First,non,non, False
28, 20.307372134804073,19.025418275097532,20.633571613761923,19.613045,11.95,99.32538913406489,First,non,InsideOvertaking, False
29, 20.745126972733207,19.064944204795754,20.633571613761923,20.561981,11.9,99.28526061545801,First,non,InsideOvertaking, False
30, 19.765066368181213,19.04449363210941,20.633571613761923,21.511137,11.849999,99.24509482347328,First,non,InsideOvertaking, False
31, 19.36459738274702,19.060777945931267,20.633571613761923,22.460512,11.799999,99.20489921278626,First,non,InsideOvertaking, False
32, 19.756920252912927,19.103084847033784,20.633571613761923,23.410107,11.749999,99.16468123807252,First,non,InsideOvertaking, False
33, 20.893985716728995,19.096658505428447,20.633571613761923,24.35992,11.699999,99.12442598998092,First,non,InsideOvertaking, False
34, 20.75121876207209,19.131926761681182,20.633571613761923,25.309954,11.649999,99.08414837786259,First,non,InsideOvertaking, False
35, 21.015488947031614,19.031363108520644,20.633571613761923,26.260206,11.599998,99.04381858301527,First,non,InsideOvertaking, False
36, 20.498919750575894,19.07596027522402,20.633571613761923,27.210678,11.549998,99.00347387881679,First,non,InsideOvertaking, False
37, 20.334225083604984,19.14920836138311,20.633571613761923,28.16137,11.499998,98.96309190124046,First,non,InsideOvertaking, False
38, 19.435015114143372,19.103540504466686,20.633571613761923,29.11228,11.449998,98.92268010496183,First,non,InsideOvertaking, False
39, 20.44229122123833,19.095128856192115,20.633571613761923,30.063408,11.399998,98.88223103530534,First,non,InsideOvertaking, False
40, 20.645700877263092,19.140132553037144,20.633571613761923,31.014755,11.3499975,98.84175214694656,First,non,InsideOvertaking, False
41, 20.919784519589047,19.1202678075546,20.633571613761923,31.966322,11.299997,98.8012434398855,First,non,InsideOvertaking, False
42, 19.928256274317402,19.039838346822908,20.633571613761923,32.91811,11.249997,98.76069745944656,First,non,InsideOvertaking, False
43, 20.498067866832706,19.129189871062923,20.633571613761923,33.870117,11.199997,98.72012166030534,First,non,InsideOvertaking, False
44, 20.36523613031321,19.13144431077429,20.633571613761923,34.822342,11.149997,98.67952349713741,First,non,InsideOvertaking, False
45, 19.092912956152624,19.092912956152624,20.633571613761923,35.776096,11.149997,98.63888060591603,First,non,non, False
46, 19.087827513024653,19.087827513024653,20.633571613761923,36.730072,11.149997,98.59820789599236,First,non,non, False
47, 19.138410940200803,19.138410940200803,20.633571613761923,37.684265,11.149997,98.55750536736642,First,non,non, False
48, 19.136694078926592,19.136694078926592,20.633571613761923,38.638676,11.149997,98.51676556536259,First,non,non, False
49, 19.146022966481254,19.146022966481254,20.633571613761923,39.593307,11.149997,98.47599594465649,First,non,non, False
50, 19.14005689198306,19.14005689198306,20.633571613761923,40.548157,11.149997,98.43520395992367,First,non,non, False
51, 19.125628228539973,19.125628228539973,20.633571613761923,41.503227,11.149997,98.39436724713741,First,non,non, False
52, 19.11473633843864,19.11473633843864,20.633571613761923,42.458515,11.149997,98.35350817032443,First,non,non, False
53, 19.076576977227752,19.076576977227752,20.633571613761923,43.410805,11.149997,98.31308891937023,First,non,non, False
54, 19.06724935566895,19.06724935566895,20.633571613761923,44.36331,11.149997,98.27262494036259,First,non,non, False
55, 20.67855234964216,19.098670714789165,20.633571613761923,45.314724,11.099997,98.23213859732824,First,non,InsideOvertaking, False
56, 21.044210284233877,19.114761923271637,20.633571613761923,46.266357,11.049996,98.1916224355916,First,non,InsideOvertaking, False
57, 20.339591907677335,19.125431909519293,20.633571613761923,47.21821,10.999996,98.1510690004771,First,non,InsideOvertaking, False
58, 20.874681063564125,19.043807806805734,20.633571613761923,48.170277,10.949996,98.1104857466603,First,non,InsideOvertaking, False
59, 20.7008796985794,19.10104101293354,20.633571613761923,49.122566,10.899996,98.06986521946565,First,non,InsideOvertaking, False
60, 19.661617592983692,19.055708823257763,20.633571613761923,50.075073,10.849996,98.0292148735687,First,non,InsideOvertaking, False
61, 21.006812888885925,19.096032800125457,20.633571613761923,51.0278,10.799995,97.98854216364504,First,non,InsideOvertaking, False
62, 21.043818491252573,19.13778769097785,20.633571613761923,51.980747,10.749995,97.94781727099236,First,non,InsideOvertaking, False
63, 19.93234121491377,19.06323982750603,20.633571613761923,52.933914,10.699995,97.90707746898855,First,non,InsideOvertaking, False
64, 19.986271852645764,19.100758239684033,20.633571613761923,53.8873,10.649995,97.86630784828245,First,non,InsideOvertaking, False
65, 19.59120411424547,19.14028280276249,20.633571613761923,54.840904,10.599995,97.8254934995229,First,non,InsideOvertaking, False
66, 20.534016563887974,19.109224401370486,20.633571613761923,55.794727,10.549994,97.78465678673665,First,non,InsideOvertaking, False
67, 20.13145907835376,19.1009633736244,20.633571613761923,56.74877,10.499994,97.74378280057252,First,non,InsideOvertaking, False
68, 20.411725396055363,19.128733831702878,20.633571613761923,57.703033,10.449994,97.70287154103053,First,non,InsideOvertaking, False
69, 20.887530737433266,19.113490435337958,20.633571613761923,58.657516,10.399994,97.66193046278626,First,non,InsideOvertaking, False
70, 20.633375590548255,19.066728318964955,20.633571613761923,59.612217,10.349994,97.6209595658397,First,non,InsideOvertaking, False
71, 19.768175746615245,19.14340168998609,20.633571613761923,60.567135,10.2999935,97.57995885019083,First,non,InsideOvertaking, False
72, 19.536955715206854,19.081574905156163,20.633571613761923,61.522274,10.249993,97.5389283158397,First,non,InsideOvertaking, False
73, 21.136566848742813,19.052382847733888,20.633571613761923,62.47763,10.199993,97.49786050811069,First,non,InsideOvertaking, False
74, 20.385648137461093,19.143689147904,20.633571613761923,63.43321,10.149993,97.4567628816794,First,non,InsideOvertaking, False
75, 20.360979261974457,19.139453370178693,20.633571613761923,64.38901,10.099993,97.41562798187023,First,non,InsideOvertaking, False
76, 20.54094832665877,19.099313191524892,20.633571613761923,65.345024,10.049993,97.37446326335878,First,non,InsideOvertaking, False
77, 20.394463869921875,19.101822019152507,20.633571613761923,66.30126,9.999992,97.33326872614504,First,non,InsideOvertaking, False
78, 19.819185669257116,19.074271167882106,20.633571613761923,67.25771,9.949992,97.29203691555344,First,non,InsideOvertaking, False
79, 19.75553239748612,19.12119298754388,20.633571613761923,68.214386,9.899992,97.25078274093511,First,non,InsideOvertaking, False
80, 20.17734626279745,19.07794440850312,20.633571613761923,69.17128,9.849992,97.20948383826335,First,non,InsideOvertaking, False
81, 20.47029076650032,19.037052406437788,20.633571613761923,70.128395,9.799992,97.16816257156489,First,non,InsideOvertaking, False
82, 19.785935713899892,19.023835068454446,20.633571613761923,71.085724,9.749991,97.12679657681298,First,non,InsideOvertaking, False
83, 20.662883791794766,19.096134827345303,20.633571613761923,72.043274,9.699991,97.08540821803435,First,non,InsideOvertaking, False
84, 20.63812803164328,19.07011307138387,20.633571613761923,73.001045,9.649991,97.04399004055344,First,non,InsideOvertaking, False
85, 19.65192403267888,19.142223298303342,20.633571613761923,73.95903,9.599991,97.00253458969466,First,non,InsideOvertaking, False
86, 20.57362557839617,19.025894242878795,20.633571613761923,74.91724,9.549991,96.96104186545801,First,non,InsideOvertaking, False
87, 20.40210623474588,19.05126542089455,20.633571613761923,75.87566,9.49999,96.91952677719466,First,non,InsideOvertaking, False
88, 20.08650738301418,19.100475663064223,20.633571613761923,76.83431,9.44999,96.87796696087786,First,non,InsideOvertaking, False
89, 19.402862727549635,19.127846426394356,20.633571613761923,77.793175,9.39999,96.83638478053435,First,non,InsideOvertaking, False
90, 20.960176489279405,19.030869212540757,20.633571613761923,78.75226,9.34999,96.79476532681298,First,non,InsideOvertaking, False
91, 21.15122133872366,19.095740587516808,20.633571613761923,79.71156,9.29999,96.75311605438931,First,non,InsideOvertaking, False
92, 20.641854780283104,19.097011284732403,20.633571613761923,80.67109,9.2499895,96.71143696326335,First,non,InsideOvertaking, False
93, 20.92975840451319,19.040027480076326,20.633571613761923,81.63083,9.199989,96.66971314408397,First,non,InsideOvertaking, False
94, 20.407995745260692,19.12637923048209,20.633571613761923,82.59079,9.149989,96.62796696087786,First,non,InsideOvertaking, False
95, 19.58904347924836,19.115475297213216,20.633571613761923,83.55097,9.099989,96.58619095896947,First,non,InsideOvertaking, False
96, 20.54872277041301,19.029300686759022,20.633571613761923,84.51137,9.049989,96.54437022900764,First,non,InsideOvertaking, False
97, 20.6728287315039,19.053803308868723,20.633571613761923,85.471985,8.999989,96.50252713501908,First,non,InsideOvertaking, False
98, 19.66216273374626,19.02796021673582,20.633571613761923,86.43282,8.949988,96.46064676765268,First,non,InsideOvertaking, False
99, 21.112793716236613,19.080001187561308,20.633571613761923,87.39388,8.899988,96.41873658158397,First,non,InsideOvertaking, False
100, 20.025687996342818,19.12587375338735,20.633571613761923,88.355156,8.849988,96.37679657681298,First,non,InsideOvertaking, False
101, 20.55949088600049,19.141913168823898,20.633571613761923,89.31665,8.799988,96.33481929866412,First,non,InsideOvertaking, False
102, 19.541115030611376,19.047301268537446,20.633571613761923,90.278366,8.749988,96.29280474713741,First,non,InsideOvertaking, False
103, 19.972844962252353,19.070250435309507,20.633571613761923,91.2403,8.699987,96.25076783158397,First,non,InsideOvertaking, False
