turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.625266397557887,18.625266397557887,20.063049794563785,0.060253337,5,99.99337988214668,First,non,non, False
2, 20.29344106714503,18.617625637971887,20.063049794563785,0.16989759,4.95,99.98930889013343,First,non,InsideOvertaking, False
3, 19.77822467622121,18.61229734525683,20.063049794563785,0.34360474,4.8999996,99.9871687658274,First,non,InsideOvertaking, False
4, 20.413480564512156,18.663621669058134,20.063049794563785,0.5793746,4.8499994,99.98634125109574,First,non,InsideOvertaking, False
5, 19.45352079362217,18.579821215558944,20.063049794563785,0.8764632,4.799999,99.98621759946917,First,non,InsideOvertaking, False
6, 19.580008163904402,18.56325187857477,20.063049794563785,1.2345089,4.749999,99.98617004115125,First,non,InsideOvertaking, False
7, 19.273182604208372,18.583084543188104,20.063049794563785,1.653308,4.699999,99.9856088529999,First,non,InsideOvertaking, False
8, 19.607600138892366,18.68004411687513,20.063049794563785,2.1327345,4.6499987,99.98390626521866,First,non,InsideOvertaking, False
9, 19.651050043704444,18.583391200628736,20.063049794563785,2.6727047,4.5999985,99.98044401967468,First,non,InsideOvertaking, False
10, 18.94406493634211,18.677827308875234,20.063049794563785,3.27316,4.5499983,99.9746133698987,First,non,InsideOvertaking, False
11, 19.398141282695637,18.6191317249593,20.063049794563785,3.934058,4.499998,99.96580556942145,First,non,InsideOvertaking, False
12, 19.952746947897808,18.634284441518904,20.063049794563785,4.655367,4.449998,99.95340236011006,First,non,InsideOvertaking, False
13, 20.6554010500663,18.633731997187237,20.063049794563785,5.4370627,4.3999977,99.9367854838317,First,non,InsideOvertaking, False
14, 19.818057774656214,18.65927196155075,20.063049794563785,6.279126,4.3499975,99.91534619411708,First,non,InsideOvertaking, False
15, 19.42507157260125,18.563318067045078,20.063049794563785,7.1815424,4.2999973,99.88847574449693,First,non,InsideOvertaking, False
16, 19.52288465899366,18.578018473355463,20.063049794563785,8.144299,4.249997,99.85554636517483,First,non,InsideOvertaking, False
17, 20.231291572571596,18.564249077830134,20.063049794563785,9.167384,4.199997,99.81595882134508,First,non,InsideOvertaking, False
18, 18.661407429779214,18.661407429779214,20.063049794563785,10.188691,4.199997,99.7767136974043,First,non,non, False
19, 18.61877576276699,18.61877576276699,20.063049794563785,11.206998,4.199997,99.73781099335248,First,non,non, False
20, 18.665701640907614,18.665701640907614,20.063049794563785,12.222304,4.199997,99.69925070918964,First,non,non, False
21, 18.630698895028278,18.630698895028278,20.063049794563785,13.2346115,4.199997,99.66103284491575,First,non,non, False
22, 18.559882107681076,18.559882107681076,20.063049794563785,14.243918,4.199997,99.62315740053083,First,non,non, False
23, 18.5864356260534,18.5864356260534,20.063049794563785,15.250225,4.199997,99.58562437603487,First,non,non, False
24, 18.602920290521105,18.602920290521105,20.063049794563785,16.253532,4.199997,99.54842425976429,First,non,non, False
25, 18.625839264915705,18.625839264915705,20.063049794563785,17.25384,4.199997,99.5115570517191,First,non,non, False
26, 18.64172675945178,18.64172675945178,20.063049794563785,18.251146,4.199997,99.47503226356287,First,non,non, False
27, 18.57069246743005,18.57069246743005,20.063049794563785,19.245453,4.199997,99.43883087196843,First,non,non, False
28, 18.581530381072934,18.581530381072934,20.063049794563785,20.23676,4.199997,99.40297190026298,First,non,non, False
29, 18.56244139663786,18.56244139663786,20.063049794563785,21.225065,4.199997,99.36743632511931,First,non,non, False
30, 18.637249765744595,18.637249765744595,20.063049794563785,22.210373,4.199997,99.33222414653744,First,non,non, False
31, 18.642996511697678,18.642996511697678,20.063049794563785,23.19268,4.199997,99.29734487618097,First,non,non, False
32, 18.675541460506068,18.675541460506068,20.063049794563785,24.171988,4.199997,99.26278900238628,First,non,non, False
33, 18.67214065235218,18.67214065235218,20.063049794563785,25.148294,4.199997,99.22855652515341,First,non,non, False
34, 18.679494760735864,18.679494760735864,20.063049794563785,26.121601,4.199997,99.19464744448231,First,non,non, False
35, 18.596778422389562,18.596778422389562,20.063049794563785,27.091908,4.199997,99.16105224870945,First,non,non, False
36, 18.646835424310165,18.646835424310165,20.063049794563785,28.059214,4.199997,99.12778996116198,First,non,non, False
37, 18.572232544601075,18.572232544601075,20.063049794563785,29.02352,4.199997,99.09483204684912,First,non,non, False
38, 18.63066700527248,18.63066700527248,20.063049794563785,29.984827,4.199997,99.0621880174345,First,non,non, False
