turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.936179344011045,20.130941676933695,21.689038661916054,0.060257196,4,99.99208929818437,First,SpeedUp,non, False
2, 20.963162621746417,20.156887136294632,21.689038661916054,0.18077159,4,99.98680413102305,First,SpeedUp,non, False
3, 20.913819899433275,20.10944221099353,21.689038661916054,0.36154318,4,99.98361939158521,First,SpeedUp,non, False
4, 20.972944674379235,20.16629295613388,21.689038661916054,0.60257196,4,99.98200997293995,First,SpeedUp,non, False
5, 20.87204231262008,20.069271454442386,21.689038661916054,0.90385795,4,99.98143712901538,First,SpeedUp,non, False
6, 20.87404091888788,20.071193191238343,21.689038661916054,1.2654011,4,99.98138257245112,First,SpeedUp,non, False
7, 20.87789632011869,20.074900307806434,21.689038661916054,1.6872015,4,99.98130755717528,First,SpeedUp,non, False
8, 20.9619470109626,20.15571827977173,21.689038661916054,2.169259,4,99.98068697625699,First,SpeedUp,non, False
9, 20.984860042083007,20.177750040464428,21.689038661916054,2.7115738,4,99.97899572276538,First,SpeedUp,non, False
10, 20.914715932737362,20.110303781478233,21.689038661916054,3.3141458,4,99.97571550934009,First,SpeedUp,non, False
11, 20.93873559344189,20.13339960907874,21.689038661916054,3.976975,4,99.9703007703387,First,SpeedUp,non, False
12, 20.93274437446961,20.127638821605395,21.689038661916054,4.7000613,4,99.96222639883031,First,SpeedUp,non, False
13, 20.87335591987473,20.070534538341086,21.689038661916054,5.483405,4,99.95097410745461,First,SpeedUp,non, False
14, 20.889176311227693,20.08574645310355,21.689038661916054,6.327006,4,99.93601196971021,First,SpeedUp,non, False
15, 20.887304802912965,20.08394692587785,21.689038661916054,7.2308636,4,99.91680123952514,First,SpeedUp,non, False
16, 20.94020583824673,20.13481330600647,21.689038661916054,8.194979,4,99.89282362953911,First,SpeedUp,non, False
17, 20.93274308381862,20.12763758059483,21.689038661916054,9.219351,4,99.86355403282124,First,SpeedUp,non, False
18, 20.918990365972874,20.114413813435455,21.689038661916054,10.30398,4,99.82845370329959,First,SpeedUp,non, False
19, 20.89985296415198,20.096012465530748,21.689038661916054,11.38561,4,99.79365343488129,First,SpeedUp,non, False
20, 20.90034210306311,20.096482791406835,21.689038661916054,12.464239,4,99.75916004713687,First,SpeedUp,non, False
21, 20.966286057831574,20.159890440222668,21.689038661916054,13.539868,4,99.72496672049581,First,SpeedUp,non, False
22, 20.92852908778761,20.12358566133424,21.689038661916054,14.612498,4,99.69107345495812,First,SpeedUp,non, False
23, 20.92419511926394,20.119418383907632,21.689038661916054,15.682128,4,99.65746661138269,First,SpeedUp,non, False
24, 20.908265369633188,20.10410131695499,21.689038661916054,16.748758,4,99.62416664848115,First,SpeedUp,non, False
25, 20.992816532550393,20.185400512067684,21.689038661916054,17.812387,4,99.59115310754191,First,SpeedUp,non, False
