turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.026903036586926,19.026903036586926,20.756115394688482,0.06036416,2,99.98677842501753,First,non,non, False
2, 19.111579193073013,19.111579193073013,20.756115394688482,0.18109249,2,99.97795719823056,First,non,non, False
3, 19.098983198713334,19.098983198713334,20.756115394688482,0.36218497,2,99.97264666914857,First,non,non, False
4, 19.087831926874944,19.087831926874944,20.756115394688482,0.6036416,2,99.96996403074633,First,non,non, False
5, 19.100388322411987,19.100388322411987,20.756115394688482,0.9054624,2,99.96901963253329,First,non,non, False
6, 19.037844932101958,19.037844932101958,20.756115394688482,1.2676474,2,99.96892382401893,First,non,non, False
7, 19.142172742597747,19.142172742597747,20.756115394688482,1.6901965,2,99.968793798178,First,non,non, False
8, 19.04250600132797,19.04250600132797,20.756115394688482,2.1731098,2,99.96774674798529,First,non,non, False
9, 19.110439552901216,19.110439552901216,20.756115394688482,2.7163873,2,99.96487933601964,First,non,non, False
10, 19.135460160814652,19.135460160814652,20.756115394688482,3.3200288,2,99.95933612911703,First,non,non, False
11, 19.141366068095216,19.141366068095216,20.756115394688482,3.9840345,2,99.95020010292572,First,non,non, False
12, 19.118784352141194,19.118784352141194,20.756115394688482,4.7084045,2,99.93660213735109,First,non,non, False
13, 19.093176897955082,19.093176897955082,20.756115394688482,5.493139,2,99.91763889497197,First,non,non, False
14, 19.134901654931,19.134901654931,20.756115394688482,6.338237,2,99.89244809915908,First,non,non, False
15, 19.1097957346346,19.1097957346346,20.756115394688482,7.243699,2,99.86011272556063,First,non,non, False
16, 19.027549604532926,19.027549604532926,20.756115394688482,8.209526,2,99.81977734101262,First,non,non, False
17, 19.06414460573905,19.06414460573905,20.756115394688482,9.172353,2,99.77985256438333,First,non,non, False
18, 19.041511696891668,19.041511696891668,20.756115394688482,10.132179,2,99.74035208260337,First,non,non, False
19, 19.029740749962077,19.029740749962077,20.756115394688482,11.089005,2,99.70126220874212,First,non,non, False
20, 19.087629124656136,19.087629124656136,20.756115394688482,12.042832,2,99.66258294279959,First,non,non, False
21, 19.1225812972714,19.1225812972714,20.756115394688482,12.997023,2,99.62386261606518,First,non,non, False
22, 19.046748619420345,19.046748619420345,20.756115394688482,13.948214,2,99.58555289724949,First,non,non, False
23, 19.083646786666964,19.083646786666964,20.756115394688482,14.899769,2,99.54718158724597,First,non,non, False
24, 19.128916471702592,19.128916471702592,20.756115394688482,15.851687,2,99.50876237298529,First,non,non, False
25, 19.030853896030425,19.030853896030425,20.756115394688482,16.800606,2,99.47076061010863,First,non,non, False
26, 19.021599647914947,19.021599647914947,20.756115394688482,17.74989,2,99.43270409950946,First,non,non, False
27, 19.024531714966884,19.024531714966884,20.756115394688482,18.699537,2,99.39459968465313,First,non,non, False
28, 19.04342367637324,19.04342367637324,20.756115394688482,19.64955,2,99.35644736553961,First,non,non, False
29, 19.091033810115356,19.091033810115356,20.756115394688482,20.599926,2,99.31824029870359,First,non,non, False
30, 19.038247955235846,19.038247955235846,20.756115394688482,21.550665,2,99.27999217107569,First,non,non, False
31, 19.059237994751932,19.059237994751932,20.756115394688482,22.501768,2,99.24167560879468,First,non,non, False
32, 19.068305698853674,19.068305698853674,20.756115394688482,23.453236,2,99.20333167265242,First,non,non, False
33, 19.08820681362501,19.08820681362501,20.756115394688482,24.405067,2,99.16492614532237,First,non,non, False
34, 19.048627636799107,19.048627636799107,20.756115394688482,25.357264,2,99.12647271373511,First,non,non, False
35, 19.06861654982369,19.06861654982369,20.756115394688482,26.309824,2,99.08796453442538,First,non,non, False
36, 19.02162847767961,19.02162847767961,20.756115394688482,27.259384,2,99.04988064996498,First,non,non, False
37, 19.08191687075278,19.08191687075278,20.756115394688482,28.209309,2,99.01173517431675,First,non,non, False
38, 19.027743689952736,19.027743689952736,20.756115394688482,29.159597,2,98.97354179441136,First,non,non, False
39, 19.062828441844125,19.062828441844125,20.756115394688482,30.11025,2,98.9353073537141,First,non,non, False
40, 19.08353081005701,19.08353081005701,20.756115394688482,31.061268,2,98.89701132182903,First,non,non, False
41, 19.02360618692455,19.02360618692455,20.756115394688482,32.01265,2,98.85866738568676,First,non,non, False
42, 19.040375362305358,19.040375362305358,20.756115394688482,32.964394,2,98.82026870182202,First,non,non, False
43, 19.088774765519844,19.088774765519844,20.756115394688482,33.916504,2,98.78182895716539,First,non,non, False
44, 19.087576842539352,19.087576842539352,20.756115394688482,34.868977,2,98.7433481517169,First,non,non, False
45, 19.093629403888674,19.093629403888674,20.756115394688482,35.821815,2,98.70479891161528,First,non,non, False
46, 19.099928871905757,19.099928871905757,20.756115394688482,36.775017,2,98.6662086107218,First,non,non, False
47, 19.088361960348447,19.088361960348447,20.756115394688482,37.728584,2,98.62757040557113,First,non,non, False
48, 19.078150537490394,19.078150537490394,20.756115394688482,38.682514,2,98.58887745269797,First,non,non, False
49, 19.13593611331054,19.13593611331054,20.756115394688482,39.63681,2,98.55013659556764,First,non,non, False
50, 19.131589025891554,19.131589025891554,20.756115394688482,40.59147,2,98.51135467764541,First,non,non, False
51, 19.040881127048852,19.040881127048852,20.756115394688482,41.54313,2,98.4729765241766,First,non,non, False
52, 19.057232720829592,19.057232720829592,20.756115394688482,42.49515,2,98.43454362298529,First,non,non, False
53, 19.040629531973913,19.040629531973913,20.756115394688482,43.44754,2,98.3960628175368,First,non,non, False
54, 19.14188549443852,19.14188549443852,20.756115394688482,44.40029,2,98.35753410783113,First,non,non, False
55, 19.049674032082862,19.049674032082862,20.756115394688482,45.350044,2,98.31941600604415,First,non,non, False
56, 19.03200930227477,19.03200930227477,20.756115394688482,46.30016,2,98.2812431565347,First,non,non, False
57, 19.047289492431766,19.047289492431766,20.756115394688482,47.25064,2,98.24302240276805,First,non,non, False
58, 19.112909941048667,19.112909941048667,20.756115394688482,48.201485,2,98.20475374474422,First,non,non, False
59, 19.044802578189337,19.044802578189337,20.756115394688482,49.15269,2,98.16644402592853,First,non,non, False
60, 19.054179461284928,19.054179461284928,20.756115394688482,50.104263,2,98.12807271592503,First,non,non, False
61, 19.12244085874014,19.12244085874014,20.756115394688482,51.0562,2,98.08965350166434,First,non,non, False
62, 19.03511694717726,19.03511694717726,20.756115394688482,52.005135,2,98.05164489532237,First,non,non, False
63, 19.117858279052843,19.117858279052843,20.756115394688482,52.954433,2,98.0135883847232,First,non,non, False
64, 19.02274417199984,19.02274417199984,20.756115394688482,53.9041,2,97.97548396986686,First,non,non, False
65, 19.10309263653026,19.10309263653026,20.756115394688482,54.854126,2,97.93732480728802,First,non,non, False
66, 19.02778786200396,19.02778786200396,20.756115394688482,55.80452,2,97.899117740452,First,non,non, False
67, 19.044246207276007,19.044246207276007,20.756115394688482,56.755276,2,97.86085592589349,First,non,non, False
68, 19.10552107522379,19.10552107522379,20.756115394688482,57.706398,2,97.82255989400842,First,non,non, False
69, 19.019863480104426,19.019863480104426,20.756115394688482,58.65452,2,97.78466078311143,First,non,non, False
70, 19.053060494360935,19.053060494360935,20.756115394688482,59.603004,2,97.74671376795726,First,non,non, False
71, 19.036716143094,19.036716143094,20.756115394688482,60.551853,2,97.70871884854591,First,non,non, False
72, 19.128149146884574,19.128149146884574,20.756115394688482,61.50107,2,97.67066233794675,First,non,non, False
73, 19.06054413943054,19.06054413943054,20.756115394688482,62.450645,2,97.63257845348635,First,non,non, False
74, 19.11473436324178,19.11473436324178,20.756115394688482,63.40059,2,97.59442613437282,First,non,non, False
75, 19.13461862901105,19.13461862901105,20.756115394688482,64.3509,2,97.55622591100212,First,non,non, False
76, 19.12085988648849,19.12085988648849,20.756115394688482,65.30157,2,97.51799147030485,First,non,non, False
77, 19.105244640763328,19.105244640763328,20.756115394688482,66.2526,2,97.47970228188508,First,non,non, False
78, 19.145552263133844,19.145552263133844,20.756115394688482,67.204,2,97.44135150227751,First,non,non, False
79, 19.07352914724096,19.07352914724096,20.756115394688482,68.15576,2,97.40295966187807,First,non,non, False
80, 19.10546274297162,19.10546274297162,20.756115394688482,69.10789,2,97.36451307375614,First,non,non, False
81, 19.089615769395678,19.089615769395678,20.756115394688482,70.06038,2,97.32601858137703,First,non,non, False
82, 19.12369887226466,19.12369887226466,20.756115394688482,71.01324,2,97.28746934127541,First,non,non, False
83, 19.05797431630953,19.05797431630953,20.756115394688482,71.96645,2,97.24887904038192,First,non,non, False
84, 19.07233844950722,19.07233844950722,20.756115394688482,72.92004,2,97.21024083523126,First,non,non, False
85, 19.08560272064843,19.08560272064843,20.756115394688482,73.873985,2,97.1715478823581,First,non,non, False
86, 19.09306436013263,19.09306436013263,20.756115394688482,74.8283,2,97.13280702522776,First,non,non, False
87, 19.109965365630917,19.109965365630917,20.756115394688482,75.782974,2,97.09401826384023,First,non,non, False
88, 19.01775587904102,19.01775587904102,20.756115394688482,76.73465,2,97.0556264234408,First,non,non, False
89, 19.10934035711138,19.10934035711138,20.756115394688482,77.68669,2,97.0172003657148,First,non,non, False
90, 19.1434771873235,19.1434771873235,20.756115394688482,78.6391,2,96.97871271680098,First,non,non, False
91, 19.123085344881932,19.123085344881932,20.756115394688482,79.591866,2,96.94019085056063,First,non,non, False
92, 19.06335499302981,19.06335499302981,20.756115394688482,80.545,2,96.90160739313245,First,non,non, False
93, 19.07875020446858,19.07875020446858,20.756115394688482,81.4985,2,96.8629760314471,First,non,non, False
94, 19.018947207944358,19.018947207944358,20.756115394688482,82.449,2,96.82475527768045,First,non,non, False
95, 19.03290699550566,19.03290699550566,20.756115394688482,83.39986,2,96.78647977619131,First,non,non, False
96, 19.074379363084844,19.074379363084844,20.756115394688482,84.35108,2,96.7481632139103,First,non,non, False
97, 19.144655550437744,19.144655550437744,20.756115394688482,85.30267,2,96.70978506044149,First,non,non, False
98, 19.099030570944972,19.099030570944972,20.756115394688482,86.25462,2,96.6713658461808,First,non,non, False
99, 19.05879604762297,19.05879604762297,20.756115394688482,87.20694,2,96.63290557112825,First,non,non, False
100, 19.128121121469476,19.128121121469476,20.756115394688482,88.15962,2,96.59437686142257,First,non,non, False
101, 19.079175816235242,19.079175816235242,20.756115394688482,89.11267,2,96.55580709092503,First,non,non, False
102, 19.11635885049794,19.11635885049794,20.756115394688482,90.06608,2,96.51719625963561,First,non,non, False
103, 19.064403127833945,19.064403127833945,20.756115394688482,91.01649,2,96.47898234933427,First,non,non, False
104, 19.03752542320069,19.03752542320069,20.756115394688482,91.96726,2,96.44073422170638,First,non,non, False
105, 19.09051780285133,19.09051780285133,20.756115394688482,92.9184,2,96.40241765942538,First,non,non, False
106, 19.140415100691477,19.140415100691477,20.756115394688482,93.8699,2,96.36406687981781,First,non,non, False
107, 19.060187865265174,19.060187865265174,20.756115394688482,94.82177,2,96.32565450902243,First,non,non, False
108, 19.047558451794877,19.047558451794877,20.756115394688482,95.774,2,96.28719423396987,First,non,non, False
109, 19.07753935725013,19.07753935725013,20.756115394688482,96.7266,2,96.24868605466014,First,non,non, False
110, 19.055731408270983,19.055731408270983,20.756115394688482,97.67956,2,96.21012997109321,First,non,non, False
111, 19.140342261076594,19.140342261076594,20.756115394688482,98.63288,2,96.1715259832691,First,non,non, False
112, 19.077439420581683,19.077439420581683,20.756115394688482,99.58657,2,96.13286040425719,First,non,non, False
113, 19.058564886454416,19.058564886454416,20.756115394688482,100.53726,2,96.09462596355992,First,non,non, False
114, 19.14456547880895,19.14456547880895,20.756115394688482,101.48831,2,96.05632308820954,First,non,non, False
115, 19.112763228977126,19.112763228977126,20.756115394688482,102.43973,2,96.01797915206728,First,non,non, False
116, 19.125693693470087,19.125693693470087,20.756115394688482,103.39151,2,95.97958046820253,First,non,non, False
117, 19.07702252721408,19.07702252721408,20.756115394688482,104.34365,2,95.94114072354591,First,non,non, False
118, 19.06010514117523,19.06010514117523,20.756115394688482,105.29616,2,95.90264623116678,First,non,non, False
119, 19.051482481459267,19.051482481459267,20.756115394688482,106.24903,2,95.86409699106518,First,non,non, False
120, 19.096130504546707,19.096130504546707,20.756115394688482,107.20227,2,95.82549300324108,First,non,non, False
121, 19.036137752125256,19.036137752125256,20.756115394688482,108.152504,2,95.7873133102663,First,non,non, False
122, 19.057321771321533,19.057321771321533,20.756115394688482,109.1031,2,95.74908571303435,First,non,non, False
123, 19.043318683539244,19.043318683539244,20.756115394688482,110.05407,2,95.71078968114927,First,non,non, False
124, 19.133558935580933,19.133558935580933,20.756115394688482,111.0054,2,95.67245943193764,First,non,non, False
125, 19.07092510197212,19.07092510197212,20.756115394688482,111.95709,2,95.6340675915382,First,non,non, False
126, 19.044336770521394,19.044336770521394,20.756115394688482,112.90915,2,95.5956415338122,First,non,non, False
127, 19.04559486554937,19.04559486554937,20.756115394688482,113.86157,2,95.5571538848984,First,non,non, False
128, 19.09745185216232,19.09745185216232,20.756115394688482,114.81436,2,95.51861833172741,First,non,non, False
129, 19.047340440729883,19.047340440729883,20.756115394688482,115.764145,2,95.48050022994045,First,non,non, False
130, 19.10615268363471,19.10615268363471,20.756115394688482,116.714294,2,95.44232738043098,First,non,non, False
131, 19.129304584764473,19.129304584764473,20.756115394688482,117.66481,2,95.40409978319903,First,non,non, False
132, 19.06426447777688,19.06426447777688,20.756115394688482,118.61569,2,95.36582428170989,First,non,non, False
