turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.500040696998447,20.500040696998447,22.146717707758498,0.06028953,5,99.97443939169538,First,non,non, False
2, 20.509058532090414,20.509058532090414,22.146717707758498,0.18086858,5,99.95653644711331,First,non,non, False
3, 20.508379820765963,20.508379820765963,22.146717707758498,0.3617372,5,99.94492372630332,First,non,non, False
4, 20.49114682070103,20.49114682070103,22.146717707758498,0.6028953,5,99.9382653456215,First,non,non, False
5, 20.48052565909992,20.48052565909992,22.146717707758498,0.904343,5,99.9351728275797,First,non,non, False
6, 20.52646609594169,20.52646609594169,22.146717707758498,1.2660801,5,99.93429976976519,First,non,non, False
7, 20.48294300652342,20.48294300652342,22.146717707758498,1.6881068,5,99.93428925099633,First,non,non, False
8, 20.452085228030096,20.452085228030096,22.146717707758498,2.170423,5,99.9337738313227,First,non,non, False
9, 20.511032508280547,20.511032508280547,22.146717707758498,2.713029,5,99.93140710833154,First,non,non, False
10, 20.519065158004672,20.519065158004672,22.146717707758498,3.3159242,5,99.92581112330353,First,non,non, False
11, 20.424103673128226,20.424103673128226,22.146717707758498,3.979109,5,99.91564999259478,First,non,non, False
12, 20.421564140144387,20.421564140144387,22.146717707758498,4.7025833,5,99.899545757486,First,non,non, False
13, 20.48041444621783,20.48041444621783,22.146717707758498,5.486347,5,99.87614149679555,First,non,non, False
14, 20.420605612018107,20.420605612018107,22.146717707758498,6.3304005,5,99.84408028934187,First,non,non, False
15, 20.46934760836144,20.46934760836144,22.146717707758498,7.2347436,5,99.80200521394335,First,non,non, False
16, 20.486550885552603,20.486550885552603,22.146717707758498,8.199376,5,99.7485488306495,First,non,non, False
17, 20.434669642863092,20.434669642863092,22.146717707758498,9.2242985,5,99.68237525581645,First,non,non, False
18, 20.538705567073833,20.538705567073833,22.146717707758498,10.30951,5,99.60209601195605,First,non,non, False
19, 20.53593127768241,20.53593127768241,22.146717707758498,11.391722,5,99.52254256314627,First,non,non, False
20, 20.455968354869192,20.455968354869192,22.146717707758498,12.470933,5,99.44372542815596,First,non,non, False
21, 20.518713821006646,20.518713821006646,22.146717707758498,13.547145,5,99.36563408821628,First,non,non, False
22, 20.463934595939147,20.463934595939147,22.146717707758498,14.620357,5,99.28826854332722,First,non,non, False
23, 21.71704365485926,20.423915678478988,22.146717707758498,15.692693,4.95,99.21082936705622,First,non,InsideOvertaking, False
24, 21.288690016025996,20.50989062880329,22.146717707758498,16.762026,4.8999996,99.13411598583585,First,non,InsideOvertaking, False
25, 22.62031073865228,20.456898610892463,22.146717707758498,17.831648,4.8499994,99.05732897323351,First,non,InsideOvertaking, False
26, 20.850439076506678,20.46310264115128,22.146717707758498,18.898268,4.799999,98.98126775568181,First,non,InsideOvertaking, False
27, 22.445427579025477,20.444371664303556,22.146717707758498,19.965178,4.749999,98.90513290674816,First,non,InsideOvertaking, False
28, 21.08726568168155,20.4232525766415,22.146717707758498,21.029083,4.699999,98.8297133340963,First,non,InsideOvertaking, False
