turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.78980743853882,20.951737921671942,22.504921246477494,0.06029394,3,99.98472287419527,First,SpeedUp,non, False
2, 21.70124234122744,20.866579174257154,22.504921246477494,0.18088181,3,99.9740246948766,First,SpeedUp,non, False
3, 21.71472972802515,20.8795478154088,22.504921246477494,0.36176363,3,99.96708816724785,First,SpeedUp,non, False
4, 21.71666669921805,20.881410287709663,22.504921246477494,0.60293937,3,99.96310647465128,First,SpeedUp,non, False
5, 21.729913008334908,20.894147123398948,22.504921246477494,0.90440905,3,99.96125184415236,First,SpeedUp,non, False
6, 21.80494464923599,20.966292931957682,22.504921246477494,1.2661726,3,99.96073841537017,First,SpeedUp,non, False
7, 21.762673725084714,20.925647812581456,22.504921246477494,1.6882303,3,99.96072793723175,First,SpeedUp,non, False
8, 21.809289695022198,20.970470860598265,22.504921246477494,2.1705818,3,99.9604240712178,First,SpeedUp,non, False
9, 21.781809669369025,20.944047759008676,22.504921246477494,2.7132273,3,99.95899904439378,First,SpeedUp,non, False
10, 21.806266262866572,20.96756371429478,22.504921246477494,3.3161666,3,99.95565651824035,First,SpeedUp,non, False
11, 21.697620250948926,20.8630963951432,22.504921246477494,3.9794,3,99.94957919796137,First,SpeedUp,non, False
12, 21.77804500794561,20.940427892255393,22.504921246477494,4.702927,3,99.93994978876073,First,SpeedUp,non, False
13, 21.749759750456402,20.913230529285002,22.504921246477494,5.486748,3,99.92596147398068,First,SpeedUp,non, False
14, 21.71388811293499,20.878738570129794,22.504921246477494,6.3308635,3,99.90678648068669,First,SpeedUp,non, False
15, 21.80308251684229,20.964502420040663,22.504921246477494,7.2352724,3,99.88163894849785,First,SpeedUp,non, False
16, 21.81849437734618,20.97932151667902,22.504921246477494,8.199975,3,99.8496806263412,First,SpeedUp,non, False
17, 21.724868392499978,20.88929653124998,22.504921246477494,9.224972,3,99.81011517569742,First,SpeedUp,non, False
18, 21.742679072694152,20.90642218528284,22.504921246477494,10.310263,3,99.76211482363198,First,SpeedUp,non, False
19, 21.789933153353942,20.951858801301867,22.504921246477494,11.455848,3,99.70489370976395,First,SpeedUp,non, False
20, 21.70775673774402,20.87284301706156,22.504921246477494,12.598433,3,99.64813363398605,First,SpeedUp,non, False
21, 21.73280268156853,20.896925655354355,22.504921246477494,13.738017,3,99.59186603071352,First,SpeedUp,non, False
22, 21.80469813444176,20.966055898501693,22.504921246477494,14.874602,3,99.53605946553111,First,SpeedUp,non, False
23, 21.80466171955088,20.966020884183536,22.504921246477494,16.008186,3,99.48073489471567,First,SpeedUp,non, False
24, 21.79109927120057,20.952980068462086,22.504921246477494,17.138771,3,99.42588184012875,First,SpeedUp,non, False
25, 21.711896032557817,20.87682310822867,22.504921246477494,18.266356,3,99.37148982363198,First,SpeedUp,non, False
26, 21.74347770430208,20.90719010029046,22.504921246477494,19.39094,3,99.31756932336373,First,SpeedUp,non, False
27, 21.81260493296952,20.973658589393768,22.504921246477494,20.512524,3,99.26410986118562,First,SpeedUp,non, False
28, 21.772253046432056,20.93485869849236,22.504921246477494,21.63111,3,99.21111143709764,First,SpeedUp,non, False
29, 21.790487548992896,20.95239187403163,22.504921246477494,22.746695,3,99.15857405109978,First,SpeedUp,non, False
30, 21.806027230382337,20.967333875367633,22.504921246477494,23.85928,3,99.10650818133047,First,SpeedUp,non, False
31, 21.79186874779785,20.953719949805624,22.504921246477494,24.968864,3,99.05488239337446,First,SpeedUp,non, False
32, 21.763968126393234,20.926892429224264,22.504921246477494,26.075449,3,99.00371764350858,First,SpeedUp,non, False
33, 21.716762610039254,20.881502509653128,22.504921246477494,27.179033,3,98.95301393173283,First,SpeedUp,non, False
34, 21.7365680752375,20.900546226189903,22.504921246477494,28.279617,3,98.90275030177038,First,SpeedUp,non, False
35, 21.74487268348895,20.908531426431683,22.504921246477494,29.377203,3,98.85294770989806,First,SpeedUp,non, False
36, 21.725692275430255,20.890088726375243,22.504921246477494,30.471788,3,98.80358519983905,First,SpeedUp,non, False
37, 21.783809040180213,20.94597023094251,22.504921246477494,31.563374,3,98.75466277159335,First,SpeedUp,non, False
38, 21.762268063312696,20.925257753185285,22.504921246477494,32.65196,3,98.70618042516094,First,SpeedUp,non, False
39, 21.7511621693122,20.914579008954036,22.504921246477494,33.737545,3,98.65814863868026,First,SpeedUp,non, False
40, 21.753955202606495,20.917264617890858,22.504921246477494,34.823425,3,98.6100644615075,First,SpeedUp,non, False
41, 21.729637844986787,20.893882543256524,22.504921246477494,35.9096,3,98.56194884991953,First,SpeedUp,non, False
42, 21.788805655623506,20.950774668868753,22.504921246477494,36.996067,3,98.51378084763948,First,SpeedUp,non, False
43, 21.717870352777616,20.882567646901553,22.504921246477494,38.079533,3,98.46605292717274,First,SpeedUp,non, False
44, 21.757605382424952,20.920774406177838,22.504921246477494,39.163292,3,98.41828309415236,First,SpeedUp,non, False
45, 21.817867785557073,20.978719024574108,22.504921246477494,40.247345,3,98.37046087043991,First,SpeedUp,non, False
46, 21.767075231017603,20.929880029824616,22.504921246477494,41.33169,3,98.32261769045064,First,SpeedUp,non, False
47, 21.723053680390247,20.887551615759854,22.504921246477494,42.416336,3,98.2747116416309,First,SpeedUp,non, False
48, 21.813593456184254,20.974609092484858,22.504921246477494,43.501274,3,98.22677415839593,First,SpeedUp,non, False
49, 21.71961136743349,20.884241699455277,22.504921246477494,44.586506,3,98.1787947626073,First,SpeedUp,non, False
50, 21.75380929097633,20.917124318246472,22.504921246477494,45.67203,3,98.1307629761266,First,SpeedUp,non, False
51, 21.721275049684152,20.88584139392707,22.504921246477494,46.75785,3,98.08268927709227,First,SpeedUp,non, False
52, 21.709547640564406,20.874565039004235,22.504921246477494,47.840668,3,98.03505565987125,First,SpeedUp,non, False
53, 21.711097316335472,20.87605511186103,22.504921246477494,48.92378,3,97.98738013009657,First,SpeedUp,non, False
54, 21.829848964779583,20.990239389211137,22.504921246477494,50.007183,3,97.93966268776823,First,SpeedUp,non, False
55, 21.78558069848903,20.947673748547146,22.504921246477494,51.09088,3,97.89191381102468,First,SpeedUp,non, False
56, 21.823309384636765,20.983951331381505,22.504921246477494,52.174873,3,97.84410206545064,First,SpeedUp,non, False
57, 21.695970978214497,20.861510555975478,22.504921246477494,53.259163,3,97.79625888546137,First,SpeedUp,non, False
58, 21.799874754134038,20.96141803282119,22.504921246477494,54.343746,3,97.74836331478004,First,SpeedUp,non, False
59, 21.79601109874186,20.957702979559482,22.504921246477494,55.428623,3,97.70043630968347,First,SpeedUp,non, False
60, 21.759024317303098,20.922138766637595,22.504921246477494,56.513794,3,97.65245691389485,First,SpeedUp,non, False
61, 21.75098531763865,20.914408959267934,22.504921246477494,57.59926,3,97.60443560555257,First,SpeedUp,non, False
62, 21.705506402233137,20.870679232916476,22.504921246477494,58.68172,3,97.55686485716201,First,SpeedUp,non, False
63, 21.830091810270424,20.990472894490793,22.504921246477494,59.764477,3,97.5092417180794,First,SpeedUp,non, False
64, 21.798895928996053,20.960476854803897,22.504921246477494,60.847527,3,97.46156618830472,First,SpeedUp,non, False
65, 21.764509520689554,20.927413000663034,22.504921246477494,61.93087,3,97.4138592241148,First,SpeedUp,non, False
66, 21.74284025709364,20.906577170282347,22.504921246477494,63.01451,3,97.36611034737125,First,SpeedUp,non, False
67, 21.82652359962546,20.987041922716788,22.504921246477494,64.09844,3,97.31830907993562,First,SpeedUp,non, False
68, 21.69530607336273,20.86087122438724,22.504921246477494,65.18267,3,97.27048685622317,First,SpeedUp,non, False
69, 21.832896770776234,20.993169971900222,22.504921246477494,66.26719,3,97.22259128554184,First,SpeedUp,non, False
70, 21.82851882848915,20.988960412008797,22.504921246477494,67.352005,3,97.17467475858369,First,SpeedUp,non, False
71, 21.80697792193927,20.968248001864684,22.504921246477494,68.43711,3,97.12670584093347,First,SpeedUp,non, False
72, 21.764203475951792,20.92711872687672,22.504921246477494,69.522514,3,97.07869501072962,First,SpeedUp,non, False
73, 21.73151137845406,20.895684017744287,22.504921246477494,70.60821,3,97.03065274611052,First,SpeedUp,non, False
74, 21.760281514268677,20.923347609873726,22.504921246477494,71.6942,3,96.98254761266094,First,SpeedUp,non, False
75, 21.773404446191726,20.93596581364589,22.504921246477494,72.78049,3,96.93441104479614,First,SpeedUp,non, False
76, 21.789283483400368,20.9512341186542,22.504921246477494,73.867065,3,96.88623256437768,First,SpeedUp,non, False
77, 21.81567273257151,20.976608396703373,22.504921246477494,74.95394,3,96.83800169326716,First,SpeedUp,non, False
78, 21.771326534456414,20.933967821592706,22.504921246477494,76.04111,3,96.789728909603,First,SpeedUp,non, False
79, 21.824528721219984,20.98512377040383,22.504921246477494,77.12857,3,96.74141421338518,First,SpeedUp,non, False
80, 21.83251490883611,20.992802796957797,22.504921246477494,78.216324,3,96.69306808275215,First,SpeedUp,non, False
81, 21.761585356750164,20.924601304567464,22.504921246477494,79.304375,3,96.64466956142704,First,SpeedUp,non, False
82, 21.716425680224827,20.881178538677716,22.504921246477494,80.38942,3,96.59671112191523,First,SpeedUp,non, False
83, 21.813318701812133,20.974344905588588,22.504921246477494,81.47476,3,96.54871076984978,First,SpeedUp,non, False
84, 21.757836012051477,20.92099616543411,22.504921246477494,82.5604,3,96.50066850523068,First,SpeedUp,non, False
85, 21.763378900534434,20.926325865898495,22.504921246477494,83.64633,3,96.45258432805794,First,SpeedUp,non, False
86, 21.69499399511316,20.860571149147265,22.504921246477494,84.72926,3,96.40492975456009,First,SpeedUp,non, False
87, 21.707636310008244,20.87272722116177,22.504921246477494,85.812485,3,96.35724374664699,First,SpeedUp,non, False
88, 21.786035417033858,20.94811097791717,22.504921246477494,86.896,3,96.30950534804184,First,SpeedUp,non, False
89, 21.749555374092598,20.913034013550575,22.504921246477494,87.97981,3,96.26173551502146,First,SpeedUp,non, False
90, 21.734338947154534,20.898402833802436,22.504921246477494,89.06392,3,96.21391329130901,First,SpeedUp,non, False
91, 21.711532334334695,20.876473398398744,22.504921246477494,90.148315,3,96.16604915504291,First,SpeedUp,non, False
92, 21.82975243698919,20.990146574028067,22.504921246477494,91.23301,3,96.11814310622317,First,SpeedUp,non, False
93, 21.731115835418304,20.895303687902214,22.504921246477494,92.318,3,96.07019514484978,First,SpeedUp,non, False
94, 21.736444822782868,20.900427714214295,22.504921246477494,93.40328,3,96.02220527092274,First,SpeedUp,non, False
95, 21.69730314091633,20.862791481650316,22.504921246477494,94.485565,3,95.97464500067059,First,SpeedUp,non, False
96, 21.814094179292503,20.97509055701202,22.504921246477494,95.56814,3,95.9270428178648,First,SpeedUp,non, False
97, 21.7398106090685,20.90366404718125,22.504921246477494,96.65101,3,95.87940920064378,First,SpeedUp,non, False
98, 21.706611526274802,20.87174185218731,22.504921246477494,97.73417,3,95.83172319273068,First,SpeedUp,non, False
99, 21.770463923674257,20.933138388148322,22.504921246477494,98.81763,3,95.78400575040236,First,SpeedUp,non, False
100, 21.742497552482963,20.906247646618233,22.504921246477494,99.901375,3,95.73623591738198,First,SpeedUp,non, False
101, 21.706112651180568,20.8712621645967,22.504921246477494,100.98542,3,95.68842417180794,First,SpeedUp,non, False
102, 21.70460605843331,20.869813517724335,22.504921246477494,102.16405,3,95.64057051368026,First,SpeedUp,non, False
103, 21.73130644297211,20.89548696439626,22.504921246477494,103.342995,3,95.59267494299893,First,SpeedUp,non, False
104, 21.804937733900417,20.966286282596553,22.504921246477494,104.52226,3,95.54473745976395,First,SpeedUp,non, False
105, 21.70595051451907,20.871106263960645,22.504921246477494,105.70185,3,95.4967475858369,First,SpeedUp,non, False
106, 21.730635541700998,20.89484186702019,22.504921246477494,106.88176,3,95.44871579935622,First,SpeedUp,non, False
107, 21.785411618223534,20.94751117136878,22.504921246477494,108.06199,3,95.4006525784603,First,SpeedUp,non, False
108, 21.830503546787828,20.990868794988295,22.504921246477494,109.24254,3,95.35253696687232,First,SpeedUp,non, False
109, 21.762150896606954,20.925145092891302,22.504921246477494,110.4234,3,95.30437944273068,First,SpeedUp,non, False
110, 21.80219390757966,20.963647988057364,22.504921246477494,111.60458,3,95.25618000603541,First,SpeedUp,non, False
111, 21.814059613677625,20.97505732084387,22.504921246477494,112.78609,3,95.20793865678648,First,SpeedUp,non, False
112, 21.827150550519395,20.9876447601148,22.504921246477494,113.96791,3,95.15966587312232,First,SpeedUp,non, False
113, 21.805475297666614,20.966803170833284,22.504921246477494,115.150055,3,95.11133022062768,First,SpeedUp,non, False
114, 21.752787153297824,20.9161414935556,22.504921246477494,116.33252,3,95.0629631337178,First,SpeedUp,non, False
115, 21.82562381386993,20.986176744105702,22.504921246477494,117.515305,3,95.01454365611588,First,SpeedUp,non, False
116, 21.800243285527635,20.961772389930417,22.504921246477494,118.69841,3,94.9660822659603,First,SpeedUp,non, False
117, 21.749066095045745,20.9125635529286,22.504921246477494,119.87825,3,94.91807143575643,First,SpeedUp,non, False
118, 21.757086849261114,20.920275816597226,22.504921246477494,121.05841,3,94.87000821486052,First,SpeedUp,non, False
119, 21.73796598129036,20.901890366625345,22.504921246477494,122.23889,3,94.82190308141094,First,SpeedUp,non, False
120, 21.707721691089397,20.872809318355188,22.504921246477494,123.416115,3,94.77424850791309,First,SpeedUp,non, False
121, 21.714161834327857,20.879001763776785,22.504921246477494,124.59365,3,94.72654154372317,First,SpeedUp,non, False
122, 21.787582950748796,20.94959899110461,22.504921246477494,125.77151,3,94.6787821888412,First,SpeedUp,non, False
123, 21.717208550272687,20.881931298339122,22.504921246477494,126.949684,3,94.63099139954399,First,SpeedUp,non, False
124, 21.806176730063214,20.96747762506078,22.504921246477494,128.12819,3,94.58314821955472,First,SpeedUp,non, False
125, 21.719159454907714,20.883807168180493,22.504921246477494,129.307,3,94.53528408328863,First,SpeedUp,non, False
126, 21.717935112495578,20.88262991586113,22.504921246477494,130.48615,3,94.48734660005364,First,SpeedUp,non, False
127, 21.741671788893317,20.905453643166652,22.504921246477494,131.6656,3,94.43938816054184,First,SpeedUp,non, False
128, 21.6957409781019,20.861289402021058,22.504921246477494,132.8418,3,94.39185932470494,First,SpeedUp,non, False
