turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.356675734252963,19.356675734252963,20.992513265604074,0.06034431,2,99.98035372362553,First,non,non, False
2, 20.29695036052647,19.3341937936039,20.992513265604074,0.17018849,1.95,99.96683516002886,First,non,InsideOvertaking, False
3, 19.270198342586756,19.270198342586756,20.992513265604074,0.3512214,1.95,99.95827955187868,First,non,non, False
4, 19.35644856076813,19.35644856076813,20.992513265604074,0.5925987,1.95,99.95357133219848,First,non,non, False
5, 19.313383077185314,19.313383077185314,20.992513265604074,0.89432025,1.95,99.95156858203602,First,non,non, False
6, 19.310932799945377,19.310932799945377,20.992513265604074,1.256386,1.95,99.95113816643092,First,non,non, False
7, 19.356033111824978,19.356033111824978,20.992513265604074,1.6787962,1.95,99.95112059844705,First,non,non, False
8, 19.384568897636466,19.384568897636466,20.992513265604074,2.1615505,1.95,99.95040909509984,First,non,non, False
9, 19.31722781378036,19.31722781378036,20.992513265604074,2.7046494,1.95,99.94785295344512,First,non,non, False
10, 19.27919290181858,19.27919290181858,20.992513265604074,3.3080926,1.95,99.94230147053862,First,non,non, False
11, 19.309816573819628,19.309816573819628,20.992513265604074,3.97188,1.95,99.93263907940391,First,non,non, False
12, 19.38599002879579,19.38599002879579,20.992513265604074,4.6960115,1.95,99.9177062931048,First,non,non, False
13, 19.304187703650108,19.304187703650108,20.992513265604074,5.480488,1.95,99.89639632865678,First,non,non, False
14, 19.30974152489583,19.30974152489583,20.992513265604074,6.3253083,1.95,99.86754091513174,First,non,non, False
15, 19.262309204363078,19.262309204363078,20.992513265604074,7.230473,1.95,99.83002448555321,First,non,non, False
16, 19.358208778053786,19.358208778053786,20.992513265604074,8.195982,1.95,99.78270512096891,First,non,non, False
17, 19.342349602127033,19.342349602127033,20.992513265604074,9.221835,1.95,99.72442333444269,First,non,non, False
18, 19.354336144626075,19.354336144626075,20.992513265604074,10.244688,1.95,99.66673007537648,First,non,non, False
19, 19.319503822106558,19.319503822106558,20.992513265604074,11.264542,1.95,99.60960777578643,First,non,non, False
20, 19.266204440087648,19.266204440087648,20.992513265604074,12.281395,1.95,99.55303886768863,First,non,non, False
21, 19.279105568880954,19.279105568880954,20.992513265604074,13.295248,1.95,99.49703213507502,First,non,non, False
22, 19.32087173084144,19.32087173084144,20.992513265604074,14.306101,1.95,99.44158757794563,First,non,non, False
