turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.11720864869778,20.11720864869778,21.851034309942133,0.06028953,6,99.98042324301012,First,non,non, False
2, 20.130403637184045,20.130403637184045,21.851034309942133,0.18086858,6,99.96693742158796,First,non,non, False
3, 20.211519446936197,20.211519446936197,21.851034309942133,0.3617372,6,99.95840486098665,First,non,non, False
4, 20.148718532159208,20.148718532159208,21.851034309942133,0.6028953,6,99.95371414049198,First,non,non, False
5, 20.172752458265297,20.172752458265297,21.851034309942133,0.904343,6,99.95170133132449,First,non,non, False
6, 20.23598301688775,20.23598301688775,21.851034309942133,1.2660801,6,99.95126376411416,First,non,non, False
7, 20.199870394723455,20.199870394723455,21.851034309942133,1.6881068,6,99.95125501276996,First,non,non, False
8, 20.17042467049318,20.17042467049318,21.851034309942133,2.170423,6,99.95055490523345,First,non,non, False
9, 20.196126398385704,20.196126398385704,21.851034309942133,2.713029,6,99.94801701541357,First,non,non, False
10, 20.163138032064698,20.163138032064698,21.851034309942133,3.3159242,6,99.9425211712519,First,non,non, False
11, 20.246206791692824,20.246206791692824,21.851034309942133,3.979109,6,99.93293844934581,First,non,non, False
12, 20.206881069698003,20.206881069698003,21.851034309942133,4.7025833,6,99.91813992629268,First,non,non, False
13, 20.193326250260462,20.193326250260462,21.851034309942133,5.486347,6,99.89697917600144,First,non,non, False
14, 20.13245075643834,20.13245075643834,21.851034309942133,6.3304005,6,99.86833602641366,First,non,non, False
15, 20.119513807546152,20.119513807546152,21.851034309942133,7.2347436,6,99.83108155412671,First,non,non, False
16, 20.217499797403793,20.217499797403793,21.851034309942133,8.199376,6,99.78408683573797,First,non,non, False
17, 20.13288915899486,20.13288915899486,21.851034309942133,9.2242985,6,99.72620544515637,First,non,non, False
18, 20.15531704114444,20.15531704114444,21.851034309942133,10.246221,6,99.6689016432924,First,non,non, False
19, 20.496937930547617,20.18160262225738,21.851034309942133,11.267208,5.95,99.611536582019,First,non,InsideOvertaking, False
20, 21.86352221317068,20.199557160394885,21.851034309942133,12.288486,5.8999996,99.55411901268035,First,non,InsideOvertaking, False
21, 20.354327841289326,20.140071316609134,21.851034309942133,13.30676,5.8499994,99.49727028071511,First,non,InsideOvertaking, False
22, 21.074495928918456,20.175468363715446,21.851034309942133,14.325324,5.799999,99.44036028934043,First,non,InsideOvertaking, False
23, 22.17090008977977,20.125943089334594,21.851034309942133,15.344178,5.749999,99.38339778990053,First,non,InsideOvertaking, False
24, 20.673183973818723,20.124697432821073,21.851034309942133,16.363321,5.699999,99.32638278239537,First,non,InsideOvertaking, False
25, 20.151231644270045,20.151231644270045,21.851034309942133,17.380692,5.699999,99.26992786091944,First,non,non, False
26, 20.24692314835282,20.24692314835282,21.851034309942133,18.395061,5.699999,99.21403302547272,First,non,non, False
27, 20.149265954999702,20.149265954999702,21.851034309942133,19.406431,5.699999,99.1587070273994,First,non,non, False
28, 20.151004838813837,20.151004838813837,21.851034309942133,20.4148,5.699999,99.1039236126669,First,non,non, False
29, 20.149973671251022,20.149973671251022,21.851034309942133,21.42017,5.699999,99.04970028396362,First,non,non, False
30, 20.229545373070692,20.229545373070692,21.851034309942133,22.425829,5.699999,98.99542444719509,First,non,non, False
31, 20.14707765284314,20.14707765284314,21.851034309942133,23.431778,5.699999,98.94109610236131,First,non,non, False
32, 20.246129552568302,20.246129552568302,21.851034309942133,24.438017,5.699999,98.8867064981181,First,non,non, False
33, 20.21235828322792,20.21235828322792,21.851034309942133,25.444544,5.699999,98.83227313715386,First,non,non, False
34, 20.150605786285308,20.150605786285308,21.851034309942133,26.45136,5.699999,98.77777851678017,First,non,non, False
35, 20.162806621804524,20.162806621804524,21.851034309942133,27.458467,5.699999,98.72324013968546,First,non,non, False
36, 20.213622137302412,20.213622137302412,21.851034309942133,28.465864,5.699999,98.66864050318128,First,non,non, False
37, 20.19215735756843,20.19215735756843,21.851034309942133,29.47355,5.699999,98.61398835861188,First,non,non, False
38, 20.246316668949717,20.246316668949717,21.851034309942133,30.481525,5.699999,98.55928370597724,First,non,non, False
39, 20.11845874846914,20.11845874846914,21.851034309942133,31.486502,5.699999,98.5051303880276,First,non,non, False
40, 20.196302641235572,20.196302641235572,21.851034309942133,32.491768,5.699999,98.45091581066852,First,non,non, False
41, 20.201719975072553,20.201719975072553,21.851034309942133,33.497322,5.699999,98.3966574765884,First,non,non, False
42, 20.23092099156245,20.23092099156245,21.851034309942133,34.503166,5.699999,98.34234663444305,First,non,non, False
43, 20.158909198348457,20.158909198348457,21.851034309942133,35.5093,5.699999,98.28799203557666,First,non,non, False
44, 20.183534371555073,20.183534371555073,21.851034309942133,36.515724,5.699999,98.23356742595662,First,non,non, False
45, 20.2208659093828,20.2208659093828,21.851034309942133,37.522438,5.699999,98.17909905961555,First,non,non, False
46, 20.206130586600377,20.206130586600377,21.851034309942133,38.52944,5.699999,98.12456943386503,First,non,non, False
47, 20.14749065644525,20.14749065644525,21.851034309942133,39.53673,5.699999,98.06998730004929,First,non,non, False
48, 20.14373337404367,20.14373337404367,21.851034309942133,40.541023,5.699999,98.01596525226275,First,non,non, False
49, 20.197989702359063,20.197989702359063,21.851034309942133,41.545605,5.699999,97.96188194506676,First,non,non, False
50, 20.19621015016288,20.19621015016288,21.851034309942133,42.550476,5.699999,97.90774612980553,First,non,non, False
51, 20.171862924852157,20.171862924852157,21.851034309942133,43.555637,5.699999,97.85356655782329,First,non,non, False
52, 20.235689046611867,20.235689046611867,21.851034309942133,44.56109,5.699999,97.79931697508736,First,non,non, False
53, 20.217174627068985,20.217174627068985,21.851034309942133,45.56683,5.699999,97.74503238697464,First,non,non, False
54, 20.135966886875284,20.135966886875284,21.851034309942133,46.572857,5.699999,97.69068653945246,First,non,non, False
55, 20.199005150037024,20.199005150037024,21.851034309942133,47.579174,5.699999,97.63628818386503,First,non,non, False
56, 20.225326502835582,20.225326502835582,21.851034309942133,48.58578,5.699999,97.58182856886818,First,non,non, False
57, 20.228251712209932,20.228251712209932,21.851034309942133,49.592678,5.699999,97.52732519715028,First,non,non, False
58, 20.199510326841285,20.199510326841285,21.851034309942133,50.599865,5.699999,97.47276931736714,First,non,non, False
59, 20.196460874291937,20.196460874291937,21.851034309942133,51.60734,5.699999,97.41815217817457,First,non,non, False
60, 20.11854746810864,20.11854746810864,21.851034309942133,52.611816,5.699999,97.3640951250112,First,non,non, False
61, 20.238009207550384,20.238009207550384,21.851034309942133,53.61658,5.699999,97.30997681243839,First,non,non, False
62, 20.12968930708281,20.12968930708281,21.851034309942133,54.621635,5.699999,97.25581474314454,First,non,non, False
63, 20.14374422907221,20.14374422907221,21.851034309942133,55.62698,5.699999,97.20159141444125,First,non,non, False
64, 20.232620585482323,20.232620585482323,21.851034309942133,56.632614,5.699999,97.14731557767273,First,non,non, False
65, 20.115610976912095,20.115610976912095,21.851034309942133,57.63854,5.699999,97.09299598418316,First,non,non, False
66, 20.23046903334812,20.23046903334812,21.851034309942133,58.644753,5.699999,97.03860637993995,First,non,non, False
67, 20.24380459987755,20.24380459987755,21.851034309942133,59.651257,5.699999,96.98417301897571,First,non,non, False
68, 20.23028501200176,20.23028501200176,21.851034309942133,60.65805,5.699999,96.92968714994623,First,non,non, False
69, 20.14749035315123,20.14749035315123,21.851034309942133,61.665134,5.699999,96.8751487728515,First,non,non, False
70, 20.121965458931097,20.121965458931097,21.851034309942133,62.669216,5.699999,96.82116173044179,First,non,non, False
71, 20.2316499698999,20.2316499698999,21.851034309942133,63.673588,5.699999,96.76712217996683,First,non,non, False
72, 20.20274631808938,20.20274631808938,21.851034309942133,64.678246,5.699999,96.71303012142666,First,non,non, False
73, 20.185537778235204,20.185537778235204,21.851034309942133,65.6832,5.699999,96.65887680347701,First,non,non, False
74, 20.1927378021182,20.1927378021182,21.851034309942133,66.68844,5.699999,96.60467097746213,First,non,non, False
75, 20.13684653154161,20.13684653154161,21.851034309942133,67.69397,5.699999,96.55042139472623,First,non,non, False
76, 20.17110662183478,20.17110662183478,21.851034309942133,68.69979,5.699999,96.49611055258087,First,non,non, False
77, 20.172692305192523,20.172692305192523,21.851034309942133,69.7059,5.699999,96.44174720237028,First,non,non, False
78, 20.23083039627252,20.23083039627252,21.851034309942133,70.7123,5.699999,96.38734009543866,First,non,non, False
79, 20.20791751918726,20.20791751918726,21.851034309942133,71.718994,5.699999,96.33287172909759,First,non,non, False
80, 20.19798121945668,20.19798121945668,21.851034309942133,72.725975,5.699999,96.27835085469128,First,non,non, False
81, 20.23406347123813,20.23406347123813,21.851034309942133,73.733246,5.699999,96.22376872087553,First,non,non, False
82, 20.144951696339547,20.144951696339547,21.851034309942133,74.73751,5.699999,96.16975542443319,First,non,non, False
83, 20.165473032859346,20.165473032859346,21.851034309942133,75.742065,5.699999,96.11567211723721,First,non,non, False
84, 20.178968822249026,20.178968822249026,21.851034309942133,76.74691,5.699999,96.06154505332019,First,non,non, False
85, 20.186164846880988,20.186164846880988,21.851034309942133,77.752045,5.699999,96.00736548133793,First,non,non, False
86, 20.2260776250458,20.2260776250458,21.851034309942133,78.75747,5.699999,95.95313340129043,First,non,non, False
87, 20.18433020622304,20.18433020622304,21.851034309942133,79.76318,5.699999,95.8988400618335,First,non,non, False
88, 20.19062514540447,20.19062514540447,21.851034309942133,80.76919,5.699999,95.84449421431131,First,non,non, False
89, 20.17927067910792,20.17927067910792,21.851034309942133,81.77548,5.699999,95.7901046100681,First,non,non, False
90, 20.235253423957193,20.235253423957193,21.851034309942133,82.78207,5.699999,95.73566249775965,First,non,non, False
91, 20.24017744573452,20.24017744573452,21.851034309942133,83.78894,5.699999,95.68115037469755,First,non,non, False
92, 20.155623826486337,20.155623826486337,21.851034309942133,84.796104,5.699999,95.62660324625863,First,non,non, False
93, 20.169022303997856,20.169022303997856,21.851034309942133,85.80356,5.699999,95.57198610706604,First,non,non, False
94, 20.1945477641027,20.1945477641027,21.851034309942133,86.8113,5.699999,95.51732521115242,First,non,non, False
95, 20.16977812161578,20.16977812161578,21.851034309942133,87.819336,5.699999,95.46262055851778,First,non,non, False
96, 20.19292105602325,20.19292105602325,21.851034309942133,88.82766,5.699999,95.40784589512948,First,non,non, False
97, 20.229028646046405,20.229028646046405,21.851034309942133,89.83627,5.699999,95.35302747502016,First,non,non, False
98, 20.124350511252157,20.124350511252157,21.851034309942133,90.84188,5.699999,95.29875163825163,First,non,non, False
99, 20.13063976874966,20.13063976874966,21.851034309942133,91.84778,5.699999,95.24443204476208,First,non,non, False
100, 20.134117601229676,20.134117601229676,21.851034309942133,92.853966,5.699999,95.19005119186306,First,non,non, False
101, 20.228381071736585,20.228381071736585,21.851034309942133,93.86044,5.699999,95.13562658224303,First,non,non, False
102, 20.14554900248091,20.14554900248091,21.851034309942133,94.86721,5.699999,95.08114946455775,First,non,non, False
103, 20.14603326204136,20.14603326204136,21.851034309942133,95.87427,5.699999,95.02661108746302,First,non,non, False
104, 20.20446049419207,20.20446049419207,21.851034309942133,96.881615,5.699999,94.97202020230307,First,non,non, False
105, 20.246384297072808,20.246384297072808,21.851034309942133,97.88925,5.699999,94.91737680907787,First,non,non, False
106, 20.13310848940963,20.13310848940963,21.851034309942133,98.89389,5.699999,94.86328475053767,First,non,non, False
107, 20.183712333624708,20.183712333624708,21.851034309942133,99.89882,5.699999,94.80914018393224,First,non,non, False
108, 20.141129774800863,20.141129774800863,21.851034309942133,100.90404,5.699999,94.75494310926157,First,non,non, False
109, 20.177732895390456,20.177732895390456,21.851034309942133,101.976006,5.699999,94.70069352652567,First,non,non, False
110, 20.16428956019439,20.16428956019439,21.851034309942133,103.04828,5.699999,94.64640018706874,First,non,non, False
111, 20.20027019866846,20.20027019866846,21.851034309942133,104.120865,5.699999,94.59203683685814,First,non,non, False
112, 20.171753403831662,20.171753403831662,21.851034309942133,105.193756,5.699999,94.53762972992651,First,non,non, False
113, 20.220200006647275,20.220200006647275,21.851034309942133,106.26696,5.699999,94.48316136358544,First,non,non, False
114, 20.2300820289763,20.2300820289763,21.851034309942133,107.34047,5.699999,94.42864924052334,First,non,non, False
115, 20.171567071099467,20.171567071099467,21.851034309942133,108.41429,5.699999,94.3740758580518,First,non,non, False
116, 20.203478824263584,20.203478824263584,21.851034309942133,109.48842,5.699999,94.31945871885921,First,non,non, False
117, 20.227800318890512,20.227800318890512,21.851034309942133,110.56286,5.699999,94.26477156891298,First,non,non, False
118, 20.2380038689972,20.2380038689972,21.851034309942133,111.6376,5.699999,94.21004941358993,First,non,non, False
119, 20.227457711150453,20.227457711150453,21.851034309942133,112.712654,5.699999,94.15526599885742,First,non,non, False
120, 20.23897368455489,20.23897368455489,21.851034309942133,113.78802,5.699999,94.10043007605968,First,non,non, False
121, 20.14749698730386,20.14749698730386,21.851034309942133,114.86018,5.699999,94.04614548794694,First,non,non, False
122, 20.177870337796957,20.177870337796957,21.851034309942133,115.932655,5.699999,93.99180839176897,First,non,non, False
123, 20.239477700198556,20.239477700198556,21.851034309942133,117.00544,5.699999,93.93741003618156,First,non,non, False
124, 20.13846403841162,20.13846403841162,21.851034309942133,118.07853,5.699999,93.88296792387311,First,non,non, False
125, 20.226106576874866,20.226106576874866,21.851034309942133,119.15193,5.699999,93.82847330349941,First,non,non, False
126, 20.17885350185514,20.17885350185514,21.851034309942133,120.22564,5.699999,93.77392617506048,First,non,non, False
127, 20.124727380308563,20.124727380308563,21.851034309942133,121.29615,5.699999,93.71993038130657,First,non,non, False
128, 20.132080995160567,20.132080995160567,21.851034309942133,122.36697,5.699999,93.6658733281432,First,non,non, False
129, 20.203491803059972,20.203491803059972,21.851034309942133,123.438095,5.699999,93.6117725182588,First,non,non, False
130, 20.23572190433877,20.23572190433877,21.851034309942133,124.50953,5.699999,93.55761044896497,First,non,non, False
131, 20.196030531219414,20.196030531219414,21.851034309942133,125.581276,5.699999,93.50340462295009,First,non,non, False
132, 20.161263661744144,20.161263661744144,21.851034309942133,126.65333,5.699999,93.44913753752576,First,non,non, False
133, 20.11889759495661,20.11889759495661,21.851034309942133,127.72569,5.699999,93.3948179440362,First,non,non, False
134, 20.170938407932905,20.170938407932905,21.851034309942133,128.79837,5.699999,93.3404458424814,First,non,non, False
135, 20.138039602275537,20.138039602275537,21.851034309942133,129.87135,5.699999,93.28602123286136,First,non,non, False
136, 20.140066008282314,20.140066008282314,21.851034309942133,130.94464,5.699999,93.23154411517609,First,non,non, False
137, 20.24706362928275,20.24706362928275,21.851034309942133,132.01823,5.699999,93.17701448942557,First,non,non, False
138, 20.20673104627351,20.20673104627351,21.851034309942133,133.09213,5.699999,93.1224236042656,First,non,non, False
139, 20.118619268968068,20.118619268968068,21.851034309942133,134.16284,5.699999,93.06839280513486,First,non,non, False
140, 20.138344540835334,20.138344540835334,21.851034309942133,135.23386,5.699999,93.01430949793888,First,non,non, False
141, 20.157003373184008,20.157003373184008,21.851034309942133,136.30518,5.699999,92.96017368267766,First,non,non, False
142, 20.195034760013097,20.195034760013097,21.851034309942133,137.3768,5.699999,92.90597660800698,First,non,non, False
143, 20.233444819449574,20.233444819449574,21.851034309942133,138.44875,5.699999,92.85173577661529,First,non,non, False
144, 20.166119722816465,20.166119722816465,21.851034309942133,139.521,5.699999,92.79743368581414,First,non,non, False
145, 20.18697543300713,20.18697543300713,21.851034309942133,140.59355,5.699999,92.74307908694776,First,non,non, False
146, 20.156403050409477,20.156403050409477,21.851034309942133,141.66641,5.699999,92.68867198001612,First,non,non, False
147, 20.14501440348507,20.14501440348507,21.851034309942133,142.7396,5.699999,92.63421236501927,First,non,non, False
148, 20.184708656972308,20.184708656972308,21.851034309942133,143.81308,5.699999,92.57970024195716,First,non,non, False
149, 20.162750458386657,20.162750458386657,21.851034309942133,144.88687,5.699999,92.52513561082982,First,non,non, False
150, 20.227818046497557,20.227818046497557,21.851034309942133,145.96097,5.699999,92.47052722298145,First,non,non, False
151, 20.129363105388656,20.129363105388656,21.851034309942133,147.03188,5.699999,92.41646141847387,First,non,non, False
152, 20.241219787073454,20.241219787073454,21.851034309942133,148.10309,5.699999,92.36233435455685,First,non,non, False
153, 20.12221996047955,20.12221996047955,21.851034309942133,149.1746,5.699999,92.3081635339188,First,non,non, False
154, 20.1321229437607,20.1321229437607,21.851034309942133,150.24643,5.699999,92.25394020521551,First,non,non, False
155, 20.13423171624368,20.13423171624368,21.851034309942133,151.31857,5.699999,92.19965561710278,First,non,non, False
156, 20.12253279730619,20.12253279730619,21.851034309942133,152.39102,5.699999,92.14532727226901,First,non,non, False
157, 20.17693677704769,20.17693677704769,21.851034309942133,153.46378,5.699999,92.0909376680258,First,non,non, False
158, 20.190125755502084,20.190125755502084,21.851034309942133,154.53683,5.699999,92.03649555571735,First,non,non, False
159, 20.20694278596947,20.20694278596947,21.851034309942133,155.61021,5.699999,91.98200968668787,First,non,non, False
160, 20.217347694808087,20.217347694808087,21.851034309942133,156.6839,5.699999,91.92746255824895,First,non,non, False
161, 20.129237902341814,20.129237902341814,21.851034309942133,157.75438,5.699999,91.87346676449502,First,non,non, False
162, 20.229465637719965,20.229465637719965,21.851034309942133,158.82516,5.699999,91.81941846267587,First,non,non, False
163, 20.175942503338458,20.175942503338458,21.851034309942133,159.89627,5.699999,91.76531765279147,First,non,non, False
164, 20.168131628908338,20.168131628908338,21.851034309942133,160.96768,5.699999,91.71116433484183,First,non,non, False
165, 20.138496514641464,20.138496514641464,21.851034309942133,162.0394,5.699999,91.65695850882695,First,non,non, False
166, 20.165878057707367,20.165878057707367,21.851034309942133,163.11142,5.699999,91.60270017474684,First,non,non, False
167, 20.139536361103545,20.139536361103545,21.851034309942133,164.18376,5.699999,91.54838933260149,First,non,non, False
168, 20.219856752856078,20.219856752856078,21.851034309942133,165.25641,5.699999,91.49401723104668,First,non,non, False
169, 20.223809517777834,20.223809517777834,21.851034309942133,166.32936,5.699999,91.43959262142666,First,non,non, False
170, 20.227523239462077,20.227523239462077,21.851034309942133,167.40262,5.699999,91.38512425508557,First,non,non, False
171, 20.158406507003946,20.158406507003946,21.851034309942133,168.47618,5.699999,91.33059462933507,First,non,non, False
172, 20.15136561037994,20.15136561037994,21.851034309942133,169.55006,5.699999,91.27601249551931,First,non,non, False
173, 20.21901680784919,20.21901680784919,21.851034309942133,170.62425,5.699999,91.22137785363832,First,non,non, False
