turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 17.952016473522566,17.952016473522566,19.567815508360596,0.060339905,2,99.99345671159173,First,non,non, False
2, 17.979729769387937,17.979729769387937,19.567815508360596,0.18101972,2,99.98943774704867,First,non,non, False
3, 18.014378020611513,18.014378020611513,19.567815508360596,0.36203945,2,99.98732002568524,First,non,non, False
4, 17.955638746989177,17.955638746989177,19.567815508360596,0.60339904,2,99.9865011734247,First,non,non, False
5, 17.970835588939583,17.970835588939583,19.567815508360596,0.90509856,2,99.98637881619037,First,non,non, False
6, 18.037322483034178,18.037322483034178,19.567815508360596,1.267138,2,99.98634116781058,First,non,non, False
7, 17.952763542586357,17.952763542586357,19.567815508360596,1.6895174,2,99.98577644211366,First,non,non, False
8, 17.99367673028657,17.99367673028657,19.567815508360596,2.1722367,2,99.98406344083301,First,non,non, False
9, 17.989142013517025,17.989142013517025,19.567815508360596,2.7152958,2,99.98061861408182,First,non,non, False
10, 18.02437031801794,18.02437031801794,19.567815508360596,3.3186948,2,99.97482076359347,First,non,non, False
11, 17.95395415396568,17.95395415396568,19.567815508360596,3.9824338,2,99.96604869110138,First,non,non, False
12, 17.997008117164782,17.997008117164782,19.567815508360596,4.7065125,2,99.95370943462375,First,non,non, False
13, 17.97807088658349,17.97807088658349,19.567815508360596,5.490931,2,99.93718179589398,First,non,non, False
14, 17.962246525005824,17.962246525005824,19.567815508360596,6.3356895,2,99.91586340083538,First,non,non, False
15, 17.93652183560101,17.93652183560101,19.567815508360596,7.240788,2,99.88914246327627,First,non,non, False
16, 17.945528191347275,17.945528191347275,19.567815508360596,8.142886,2,99.86271330066056,First,non,non, False
17, 17.943013433604882,17.943013433604882,19.567815508360596,9.041985,2,99.83655708879837,First,non,non, False
18, 18.012884915980404,18.012884915980404,19.567815508360596,9.941423,2,99.81037264065134,First,non,non, False
19, 18.043896224011714,18.043896224011714,19.567815508360596,10.841202,2,99.78415995621945,First,non,non, False
20, 17.999254969382623,17.999254969382623,19.567815508360596,11.74132,2,99.75790962340778,First,non,non, False
21, 17.996089430334187,17.996089430334187,19.567815508360596,12.638438,2,99.7319510655395,First,non,non, False
22, 17.981433240851324,17.981433240851324,19.567815508360596,13.535896,2,99.7059454471965,First,non,non, False
23, 18.050971278086013,18.050971278086013,19.567815508360596,14.433695,2,99.67992100466358,First,non,non, False
24, 17.957176285887783,17.957176285887783,19.567815508360596,15.331833,2,99.65385891375088,First,non,non, False
25, 17.977126895366336,17.977126895366336,19.567815508360596,16.23031,2,99.62775917445838,First,non,non, False
26, 17.951856739365365,17.951856739365365,19.567815508360596,17.125788,2,99.60194179801434,First,non,non, False
27, 18.013250144301274,18.013250144301274,19.567815508360596,18.021606,2,99.57609618528545,First,non,non, False
28, 17.943317033052477,17.943317033052477,19.567815508360596,18.917765,2,99.55022233627172,First,non,non, False
29, 17.992918558055962,17.992918558055962,19.567815508360596,19.814262,2,99.5243108388782,First,non,non, False
30, 18.02606700749402,18.02606700749402,19.567815508360596,20.7111,2,99.49836169310487,First,non,non, False
31, 17.95113603741429,17.95113603741429,19.567815508360596,21.608276,2,99.47239372314165,First,non,non, False
32, 17.974458198784937,17.974458198784937,19.567815508360596,22.505795,2,99.44639751689358,First,non,non, False
33, 17.990459748677516,17.990459748677516,19.567815508360596,23.403652,2,99.42035425017077,First,non,non, False
34, 18.03185841969757,18.03185841969757,19.567815508360596,24.30185,2,99.39429215925807,First,non,non, False
