turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 20.124482417443048,19.350463862926006,21.070819935025746,0.06022642,1,99.99604605614486,First,SpeedUp,non, False
2, 20.11697965494322,19.343249668214632,21.070819935025746,0.18067926,1,99.99360921304948,First,SpeedUp,non, False
3, 20.066945343294357,19.29513975316765,21.070819935025746,0.36135852,1,99.99231967740369,First,SpeedUp,non, False
4, 20.067629444120392,19.295797542423454,21.070819935025746,0.6022642,1,99.99182661965676,First,SpeedUp,non, False
5, 20.04828596978021,19.277198047865586,21.070819935025746,0.90339637,1,99.99175076461877,First,SpeedUp,non, False
6, 20.15400273614633,19.378848784756087,21.070819935025746,1.2647549,1,99.99172231897953,First,SpeedUp,non, False
7, 20.087671464137905,19.315068715517217,21.070819935025746,1.6863399,1,99.99138097130859,First,SpeedUp,non, False
8, 20.141799723724155,19.367115118965533,21.070819935025746,2.1681511,1,99.9903664101755,First,SpeedUp,non, False
9, 20.08729807449235,19.314709687011874,21.070819935025746,2.7101889,1,99.98829936039031,First,SpeedUp,non, False
10, 20.048752577583016,19.277646709214437,21.070819935025746,3.312453,1,99.98482899240236,First,SpeedUp,non, False
11, 20.10760896880765,19.334239393084278,21.070819935025746,3.9749436,1,99.97956654914192,First,SpeedUp,non, False
12, 20.133110040096017,19.358759653938478,21.070819935025746,4.6976604,1,99.97216120105833,First,SpeedUp,non, False
13, 20.11916559299115,19.345351531722258,21.070819935025746,5.480604,1,99.96224315484136,First,SpeedUp,non, False
14, 20.149694759404415,19.374706499427322,21.070819935025746,6.323774,1,99.9494331353011,First,SpeedUp,non, False
15, 20.0351963621385,19.264611886671634,21.070819935025746,7.22717,1,99.93338031288685,First,SpeedUp,non, False
16, 20.112246282899065,19.338698348941406,21.070819935025746,8.190793,1,99.91371489428842,First,SpeedUp,non, False
17, 20.119582695426242,19.345752591756,21.070819935025746,9.214643,1,99.89006708619559,First,SpeedUp,non, False
18, 20.070117954439457,19.29819034080717,21.070819935025746,10.235492,1,99.86662787945724,First,SpeedUp,non, False
19, 20.035288625017994,19.26470060097884,21.070819935025746,11.253341,1,99.84339727407335,First,SpeedUp,non, False
20, 20.07722171520615,19.305020880005912,21.070819935025746,12.26819,1,99.82036578816418,First,SpeedUp,non, False
21, 20.14792327537545,19.373003149399473,21.070819935025746,13.28004,1,99.79753342172972,First,SpeedUp,non, False
22, 20.110082237652154,19.336617536203995,21.070819935025746,14.288889,1,99.77490965664975,First,SpeedUp,non, False
23, 20.124908080778457,19.35087315459467,21.070819935025746,15.294738,1,99.75249449292424,First,SpeedUp,non, False
24, 20.080731187668324,19.308395372758003,21.070819935025746,16.297586,1,99.73026896679369,First,SpeedUp,non, False
25, 20.14588072222174,19.37103915598244,21.070819935025746,17.300663,1,99.70804344066315,First,SpeedUp,non, False
26, 20.14927550772125,19.374303372808892,21.070819935025746,18.303965,1,99.68578946889336,First,SpeedUp,non, False
27, 20.030853258588625,19.260435825565985,21.070819935025746,19.304266,1,99.66374409847803,First,SpeedUp,non, False
28, 20.082026166265788,19.309640544486335,21.070819935025746,20.304794,1,99.64167028242348,First,SpeedUp,non, False
29, 20.140128339605113,19.36550801885107,21.070819935025746,21.30555,1,99.6195964663689,First,SpeedUp,non, False
30, 20.144479677118024,19.36969199722887,21.070819935025746,22.30653,1,99.59750368655484,First,SpeedUp,non, False
31, 20.107867202137903,19.334487694363368,21.070819935025746,23.307737,1,99.57540142486103,First,SpeedUp,non, False
32, 20.108783648351107,19.335368892645295,21.070819935025746,24.309172,1,99.55327071752797,First,SpeedUp,non, False
33, 20.14853826899185,19.37359448941524,21.070819935025746,25.310833,1,99.53113052831516,First,SpeedUp,non, False
