turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.654962709551704,19.654962709551704,21.322675653193613,0.06028953,5,99.98678454695813,First,non,non, False
2, 19.652452494925548,19.652452494925548,21.322675653193613,0.18086858,5,99.9779582924951,First,non,non, False
3, 19.669880621161774,19.669880621161774,21.322675653193613,0.3617372,5,99.9726529683562,First,non,non, False
4, 19.752863762197432,19.752863762197432,21.322675653193613,0.6028953,5,99.9699592857393,First,non,non, False
5, 19.728487602547236,19.728487602547236,21.322675653193613,0.904343,5,99.96900897638966,First,non,non, False
6, 19.697276479956713,19.697276479956713,21.322675653193613,1.2660801,5,99.96889958826308,First,non,non, False
7, 19.743053323401117,19.743053323401117,21.322675653193613,1.6881068,5,99.9687833633786,First,non,non, False
8, 19.68506067170822,19.68506067170822,21.322675653193613,2.170423,5,99.96774417617614,First,non,non, False
9, 19.67367655852961,19.67367655852961,21.322675653193613,2.713029,5,99.96491375840101,First,non,non, False
10, 19.708503106102576,19.708503106102576,21.322675653193613,3.3159242,5,99.95940333152478,First,non,non, False
11, 19.64973090798586,19.64973090798586,21.322675653193613,3.979109,5,99.95033779053486,First,non,non, False
12, 19.732743987776303,19.732743987776303,21.322675653193613,4.7025833,5,99.93682152014492,First,non,non, False
13, 19.755471239424235,19.755471239424235,21.322675653193613,5.486347,5,99.91797941534234,First,non,non, False
14, 19.730848047459343,19.730848047459343,21.322675653193613,6.3304005,5,99.8929158608408,First,non,non, False
15, 19.67735776411521,19.67735776411521,21.322675653193613,7.2347436,5,99.8607625883856,First,non,non, False
16, 19.676823892965107,19.676823892965107,21.322675653193613,8.199376,5,99.82063081944833,First,non,non, False
17, 19.641716866890967,19.641716866890967,21.322675653193613,9.2242985,5,99.77162493874265,First,non,non, False
18, 19.71547801385885,19.71547801385885,21.322675653193613,10.246221,5,99.72309763109072,First,non,non, False
19, 19.658668249710033,19.658668249710033,21.322675653193613,11.265142,5,99.67502838621884,First,non,non, False
20, 19.699603295278624,19.699603295278624,21.322675653193613,12.281064,5,99.62740353061118,First,non,non, False
21, 19.64851823057891,19.64851823057891,21.322675653193613,13.293986,5,99.58024357454144,First,non,non, False
22, 19.66298136592299,19.66298136592299,21.322675653193613,14.303908,5,99.53354168125175,First,non,non, False
23, 19.638194212495524,19.638194212495524,21.322675653193613,15.31083,5,99.48727050371045,First,non,non, False
24, 19.703987250000026,19.703987250000026,21.322675653193613,16.314753,5,99.44146422570708,First,non,non, False
25, 19.738555029157343,19.738555029157343,21.322675653193613,17.315674,5,99.39609550021002,First,non,non, False
26, 19.724647954806713,19.724647954806713,21.322675653193613,18.313597,5,99.35119167425091,First,non,non, False
27, 20.331617328153772,19.7073162086282,21.322675653193613,19.310555,4.95,99.30622631747059,First,non,InsideOvertaking, False
28, 20.460260254245327,19.71541418666694,21.322675653193613,20.307802,4.8999996,99.26121994014281,First,non,InsideOvertaking, False
29, 21.243796066424284,19.721197524557574,21.322675653193613,21.30534,4.8499994,99.21617254226757,First,non,InsideOvertaking, False
30, 21.27119721796546,19.660737411982623,21.322675653193613,22.303167,4.799999,99.17108412384486,First,non,InsideOvertaking, False
31, 19.98034248358072,19.661428784369505,21.322675653193613,23.297993,4.749999,99.12644009468636,First,non,InsideOvertaking, False
32, 21.196829949951574,19.631805095744514,21.322675653193613,24.293106,4.699999,99.08174820822248,First,non,InsideOvertaking, False
33, 21.49555503795337,19.70344394470502,21.322675653193613,25.28851,4.6499987,99.03701530121114,First,non,InsideOvertaking, False
34, 20.835212322904965,19.74973618032939,21.322675653193613,26.284203,4.5999985,98.99223453689443,First,non,InsideOvertaking, False
35, 20.864386797070647,19.682364595458484,21.322675653193613,27.280186,4.5499983,98.94742642554607,First,non,InsideOvertaking, False
36, 20.911681591513258,19.632353680661854,21.322675653193613,28.276459,4.499998,98.9025567833765,First,non,InsideOvertaking, False
37, 20.69596666874367,19.701394255649678,21.322675653193613,29.273022,4.449998,98.8576597941753,First,non,InsideOvertaking, False
38, 21.501930511089014,19.687675728749515,21.322675653193613,30.269875,4.3999977,98.81272178442663,First,non,InsideOvertaking, False
39, 19.73634388087715,19.73634388087715,21.322675653193613,31.264982,4.3999977,98.76821449042635,First,non,non, False
40, 19.73074783186623,19.73074783186623,21.322675653193613,32.257088,4.3999977,98.72415158569028,First,non,non, False
41, 19.66593230570842,19.66593230570842,21.322675653193613,33.246193,4.3999977,98.68052623346051,First,non,non, False
42, 19.653946465487998,19.653946465487998,21.322675653193613,34.2323,4.3999977,98.63733843373704,First,non,non, False
43, 19.735054719447405,19.735054719447405,21.322675653193613,35.218697,4.3999977,98.5941027767082,First,non,non, False
44, 19.73443929310577,19.73443929310577,21.322675653193613,36.205383,4.3999977,98.5508260991319,First,non,non, False
45, 19.73657571295112,19.73657571295112,21.322675653193613,37.19236,4.3999977,98.50750840100812,First,non,non, False
46, 19.630984058878422,19.630984058878422,21.322675653193613,38.176334,4.3999977,98.46463509214855,First,non,non, False
47, 19.757026639276102,19.757026639276102,21.322675653193613,39.1606,4.3999977,98.4217070892257,First,non,non, False
48, 19.64760435125913,19.64760435125913,21.322675653193613,40.141865,4.3999977,98.37921663880915,First,non,non, False
49, 19.677616635558497,19.677616635558497,21.322675653193613,41.12342,4.3999977,98.33669200460305,First,non,non, False
50, 19.72087082420675,19.72087082420675,21.322675653193613,42.105267,4.3999977,98.29411951309157,First,non,non, False
51, 19.686465010976203,19.686465010976203,21.322675653193613,43.0874,4.3999977,98.2514991642747,First,non,non, False
52, 19.71443106551251,19.71443106551251,21.322675653193613,44.06982,4.3999977,98.2088446316683,First,non,non, False
53, 19.639655369542798,19.639655369542798,21.322675653193613,45.049244,4.3999977,98.16661397805237,First,non,non, False
54, 20.732287834031094,19.677716163402682,21.322675653193613,46.02768,4.3499975,98.12434230388897,First,non,InsideOvertaking, False
55, 21.027405141847908,19.72524407958145,21.322675653193613,47.006405,4.2999973,98.08204328269392,First,non,InsideOvertaking, False
56, 20.86031877374731,19.63497942361082,21.322675653193613,47.98542,4.249997,98.03968273067768,First,non,InsideOvertaking, False
57, 19.960601288138932,19.68099178024616,21.322675653193613,48.964725,4.199997,97.99729483162979,First,non,InsideOvertaking, False
58, 20.184766641077225,19.754284223508233,21.322675653193613,49.94432,4.1499968,97.95486591203444,First,non,InsideOvertaking, False
59, 21.147073022712508,19.68024314479955,21.322675653193613,50.924206,4.0999966,97.9123822983758,First,non,InsideOvertaking, False
60, 21.02630819186808,19.694051618283144,21.322675653193613,51.90438,4.0499964,97.8698645009276,First,non,InsideOvertaking, False
61, 21.18782429621527,19.678104352113003,21.322675653193613,52.884846,3.9999964,97.82730568293195,First,non,InsideOvertaking, False
62, 21.449009535423052,19.692203567230088,21.322675653193613,53.8656,3.9499965,97.78470584438882,First,non,InsideOvertaking, False
63, 20.161317211158345,19.72447619863311,21.322675653193613,54.846645,3.8999965,97.74207182205615,First,non,InsideOvertaking, False
64, 21.89672030201661,19.73651440535458,21.322675653193613,55.82798,3.8499966,97.69938310566017,First,non,InsideOvertaking, False
65, 20.811412827611917,19.656267968486357,21.322675653193613,56.809605,3.7999966,97.65665336871675,First,non,InsideOvertaking, False
66, 20.539501901989805,19.71102934313259,21.322675653193613,57.79152,3.7499967,97.61389628474167,First,non,InsideOvertaking, False
67, 21.427693712252346,19.737052462507584,21.322675653193613,58.773724,3.6999967,97.5710776699454,First,non,InsideOvertaking, False
