turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.913531636412703,18.913531636412703,20.5747229608212,0.060354374,1,99.98683520871286,First,non,non, False
2, 18.891849136999284,18.891849136999284,20.5747229608212,0.18106312,1,99.97804913852072,First,non,non, False
3, 18.936193636728945,18.936193636728945,20.5747229608212,0.36212623,1,99.97275295811784,First,non,non, False
4, 18.83878846754511,18.83878846754511,20.5747229608212,0.60354376,1,99.97008101124793,First,non,non, False
5, 18.847567394150747,18.847567394150747,20.5747229608212,0.90531564,1,99.96913356069966,First,non,non, False
6, 18.828470492801422,18.828470492801422,20.5747229608212,1.2674419,1,99.96904495021673,First,non,non, False
7, 18.887572212192392,18.887572212192392,20.5747229608212,1.6899225,1,99.96890862639684,First,non,non, False
8, 18.846808784052513,18.846808784052513,20.5747229608212,2.1727574,1,99.96786574917465,First,non,non, False
9, 18.858078088672052,18.858078088672052,20.5747229608212,2.7159467,1,99.96502339752986,First,non,non, False
10, 18.81665120189371,18.81665120189371,20.5747229608212,3.3194904,1,99.95950228282416,First,non,non, False
11, 18.890330965963315,18.890330965963315,20.5747229608212,3.9833884,1,99.95040948403725,First,non,non, False
12, 18.89636084033905,18.89636084033905,20.5747229608212,4.707641,1,99.9368725287218,First,non,non, False
13, 18.830228746700662,18.830228746700662,20.5747229608212,5.492248,1,99.9179984958575,First,non,non, False
14, 18.846673961108067,18.846673961108067,20.5747229608212,6.337209,1,99.89292172918805,First,non,non, False
15, 18.825163731734083,18.825163731734083,20.5747229608212,7.242525,1,99.86074249150212,First,non,non, False
16, 18.92503177650338,18.92503177650338,20.5747229608212,8.208195,1,99.82058149416143,First,non,non, False
17, 18.86774456615344,18.86774456615344,20.5747229608212,9.170865,1,99.7808431006624,First,non,non, False
18, 18.880773744070517,18.880773744070517,20.5747229608212,10.130535,1,99.74151367862304,First,non,non, False
19, 18.88647791379237,18.88647791379237,20.5747229608212,11.087205,1,99.70260686042536,First,non,non, False
20, 18.828277341367713,18.828277341367713,20.5747229608212,12.0408745,1,99.66410901368735,First,non,non, False
21, 20.1753453754418,18.86076430533302,20.5747229608212,12.9935875,0.95,99.6255566374214,First,non,InsideOvertaking, False
22, 19.78065438790838,18.867241411395884,20.5747229608212,13.946655,0.9,99.58695654781847,First,non,InsideOvertaking, False
23, 19.83080845003691,18.84426787290209,20.5747229608212,14.900078,0.84999996,99.54831556106959,First,non,InsideOvertaking, False
24, 19.370689969246737,18.88713117831961,20.5747229608212,15.853856,0.79999995,99.50961322860175,First,non,InsideOvertaking, False
25, 20.170782910423217,18.923687117295426,20.5747229608212,16.80799,0.74999994,99.47087681517894,First,non,InsideOvertaking, False
26, 20.749181055334276,18.901946209740824,20.5747229608212,17.762476,0.6999999,99.43207905603717,First,non,InsideOvertaking, False
27, 20.769468763886177,18.93303716020472,20.5747229608212,18.717318,0.6499999,99.39324039974943,First,non,InsideOvertaking, False
28, 18.891615667986784,18.891615667986784,20.5747229608212,19.670467,0.6499999,99.35481071492138,First,non,non, False
29, 18.85391236989118,18.85391236989118,20.5747229608212,20.620619,0.6499999,99.31679000155302,First,non,non, False
30, 18.840759730611524,18.840759730611524,20.5747229608212,21.56777,0.6499999,99.27917144345332,First,non,non, False
31, 18.866354790123047,18.866354790123047,20.5747229608212,22.51192,0.6499999,99.24196185681332,First,non,non, False
32, 18.82867893181091,18.82867893181091,20.5747229608212,23.453072,0.6499999,99.205154425442,First,non,non, False
33, 18.82019390830265,18.82019390830265,20.5747229608212,24.391222,0.6499999,99.16874914933938,First,non,non, False
34, 18.85265573500334,18.85265573500334,20.5747229608212,25.329727,0.6499999,99.13228252751779,First,non,non, False
35, 20.979456679680847,18.93129291247041,20.5747229608212,26.267254,0.5999999,99.09578864093223,First,non,InsideOvertaking, False
36, 20.555422791780593,18.852070621426993,20.5747229608212,27.205135,0.5499999,99.05923340862772,First,non,InsideOvertaking, False
37, 19.436179013506372,18.9088025455685,20.5747229608212,28.143372,0.49999988,99.02263727917723,First,non,InsideOvertaking, False
38, 19.840131316854713,18.895363158909248,20.5747229608212,29.083294,0.49999988,99.00064824702837,First,Overtaking,non, False
39, 19.824941337111078,18.88089651153436,20.5747229608212,30.023571,0.49999988,98.97863195011553,First,Overtaking,non, False
40, 19.769885371440346,18.828462258514612,20.5747229608212,30.964203,0.49999988,98.9565883884387,First,Overtaking,non, False
41, 19.83765858561526,18.893008176776437,20.5747229608212,31.905188,0.49999988,98.93451756199791,First,Overtaking,non, False
42, 19.83688215204298,18.892268716231406,20.5747229608212,32.846527,0.49999988,98.91241947079313,First,Overtaking,non, False
43, 19.879544268613515,18.93289930344144,20.5747229608212,33.788223,0.49999988,98.89028729863337,First,Overtaking,non, False
44, 19.87105173631818,18.924811177445886,20.5747229608212,34.73027,0.49999988,98.86812786170964,First,Overtaking,non, False
45, 19.771782260375083,18.83026881940484,20.5747229608212,35.672672,0.49999988,98.84594116002192,First,Overtaking,non, False
46, 19.760862957783367,18.819869483603206,20.5747229608212,36.61543,0.49999988,98.82372719357024,First,Overtaking,non, False
47, 19.784912437057105,18.842773749578196,20.5747229608212,37.55854,0.49999988,98.80148596235456,First,Overtaking,non, False
48, 19.853395185334726,18.9079954146045,20.5747229608212,38.502007,0.49999988,98.77921746637492,First,Overtaking,non, False
49, 19.87357465659908,18.92721395866579,20.5747229608212,39.445827,0.49999988,98.7569148894403,First,Overtaking,non, False
50, 19.880108840704274,18.933436991146927,20.5747229608212,40.390003,0.49999988,98.7345850477417,First,Overtaking,non, False
51, 19.83789801220668,18.893236202101598,20.5747229608212,41.334534,0.49999988,98.71222794127912,First,Overtaking,non, False
52, 19.821555356572976,18.87767176816474,20.5747229608212,42.27942,0.49999988,98.68984357005257,First,Overtaking,non, False
53, 19.862533331983688,18.916698411413034,20.5747229608212,43.224655,0.49999988,98.66741830168004,First,Overtaking,non, False
54, 19.769353944390524,18.827956137514782,20.5747229608212,44.170246,0.49999988,98.64497940092552,First,Overtaking,non, False
55, 19.887258949899866,18.94024661895225,20.5747229608212,45.11619,0.49999988,98.62250641921604,First,Overtaking,non, False
56, 19.778154234685868,18.83633736636749,20.5747229608212,46.062492,0.49999988,98.60001298893357,First,Overtaking,non, False
57, 19.78198722069864,18.839987829236797,20.5747229608212,47.009148,0.49999988,98.57747866150513,First,Overtaking,non, False
58, 19.805624607566507,18.862499626253815,20.5747229608212,47.956158,0.49999988,98.55492388550371,First,Overtaking,non, False
59, 19.76614602486471,18.824900976061627,20.5747229608212,48.903522,0.49999988,98.53233502854731,First,Overtaking,non, False
60, 19.846146966091105,18.901092348658196,20.5747229608212,49.851242,0.49999988,98.50971890682693,First,Overtaking,non, False
61, 19.838469294501145,18.89378028047728,20.5747229608212,50.799316,0.49999988,98.48708233653358,First,Overtaking,non, False
62, 19.790880656618768,18.84845776820835,20.5747229608212,51.747746,0.49999988,98.46440486909424,First,Overtaking,non, False
63, 19.7858555089144,18.843671913251807,20.5747229608212,52.696526,0.49999988,98.44170695308193,First,Overtaking,non, False
64, 19.826173904374077,18.88207038511817,20.5747229608212,53.64566,0.49999988,98.41896813992365,First,Overtaking,non, False
65, 19.756928502419516,18.81612238325668,20.5747229608212,54.59515,0.49999988,98.39620887819238,First,Overtaking,non, False
66, 19.85343596972077,18.908034256876924,20.5747229608212,55.544994,0.49999988,98.37342916788813,First,Overtaking,non, False
67, 19.840628230211397,18.89583640972514,20.5747229608212,56.495193,0.49999988,98.35060856043792,First,Overtaking,non, False
68, 19.864781958402205,18.91883996038305,20.5747229608212,57.445747,0.49999988,98.32776068822372,First,Overtaking,non, False
69, 19.820861800692196,18.87701123875447,20.5747229608212,58.396656,0.49999988,98.30488555124555,First,Overtaking,non, False
70, 19.874345527849336,18.927948121761272,20.5747229608212,59.34792,0.49999988,98.2819899656944,First,Overtaking,non, False
71, 18.837938781831042,18.837938781831042,20.5747229608212,60.29618,0.49999988,98.24422145139282,First,non,non, False
72, 18.813416261431914,18.813416261431914,20.5747229608212,61.241444,0.49999988,98.20686190855093,First,non,non, False
73, 18.91646464372344,18.91646464372344,20.5747229608212,62.18706,0.49999988,98.16945465237208,First,non,non, False
74, 18.85385633708168,18.85385633708168,20.5747229608212,63.129677,0.49999988,98.13244273527093,First,non,non, False
75, 18.85053417269938,18.85053417269938,20.5747229608212,64.06929,0.49999988,98.09583978962945,First,non,non, False
76, 18.812416317773994,18.812416317773994,20.5747229608212,65.00926,0.49999988,98.05919594684201,First,non,non, False
77, 19.81989358794124,18.87608913137261,20.5747229608212,65.949585,0.49999988,98.03716601754718,First,Overtaking,non, False
78, 19.822560096300574,18.878628663143402,20.5747229608212,66.89027,0.49999988,98.01512245587035,First,Overtaking,non, False
79, 19.76499347928598,18.823803313605694,20.5747229608212,67.8313,0.49999988,97.99304481323855,First,Overtaking,non, False
80, 19.87528484135427,18.928842706051682,20.5747229608212,68.77269,0.49999988,97.97094672203377,First,Overtaking,non, False
81, 19.78698382829149,18.84474650313475,20.5747229608212,69.71443,0.49999988,97.94880091749204,First,Overtaking,non, False
82, 19.781370293719398,18.83940027973276,20.5747229608212,70.65653,0.49999988,97.9266414805683,First,Overtaking,non, False
83, 19.865541747942327,18.91956356946888,20.5747229608212,71.59898,0.49999988,97.90445477888059,First,Overtaking,non, False
84, 19.803554389072108,18.860527989592484,20.5747229608212,72.541794,0.49999988,97.8822408124289,First,Overtaking,non, False
85, 19.86406527036714,18.918157400349656,20.5747229608212,73.484955,0.49999988,97.85999276502224,First,Overtaking,non, False
86, 19.80503738445896,18.86194036615139,20.5747229608212,74.42847,0.49999988,97.8377106366606,First,Overtaking,non, False
87, 19.770223666023686,18.82878444383208,20.5747229608212,75.37234,0.49999988,97.81540805972598,First,Overtaking,non, False
88, 19.84328441738782,18.898366111797923,20.5747229608212,76.31656,0.49999988,97.79307140183639,First,Overtaking,non, False
89, 19.880294547342377,18.933613854611785,20.5747229608212,77.26114,0.49999988,97.77072111156481,First,Overtaking,non, False
90, 19.85945860176586,18.913770096919865,20.5747229608212,78.20607,0.49999988,97.74832310795625,First,Overtaking,non, False
91, 19.879162975045574,18.93253616671007,20.5747229608212,79.15136,0.49999988,97.72590465577473,First,Overtaking,non, False
92, 19.866595966526646,18.920567587168232,20.5747229608212,80.097,0.49999988,97.70346575502022,First,Overtaking,non, False
93, 19.873882852627176,18.927507478692547,20.5747229608212,81.043,0.49999988,97.68097914092874,First,Overtaking,non, False
94, 19.804184359993368,18.861127961898443,20.5747229608212,81.98935,0.49999988,97.65847889445527,First,Overtaking,non, False
95, 19.79326705731643,18.850730530777554,20.5747229608212,82.93605,0.49999988,97.63595138321783,First,Overtaking,non, False
96, 19.801264613712146,18.858347251154424,20.5747229608212,83.88311,0.49999988,97.61338297483441,First,Overtaking,non, False
97, 19.76541544361848,18.82420518439855,20.5747229608212,84.83052,0.49999988,97.59079411787802,First,Overtaking,non, False
98, 19.812632396931132,18.869173711362983,20.5747229608212,85.77829,0.49999988,97.56817117996664,First,Overtaking,non, False
99, 19.753274567731545,18.812642445458614,20.5747229608212,86.72641,0.49999988,97.5455277934823,First,Overtaking,non, False
100, 19.7765354731389,18.834795688703714,20.5747229608212,87.67489,0.49999988,97.52285714223396,First,Overtaking,non, False
101, 19.774903167909336,18.833241112294605,20.5747229608212,88.62372,0.49999988,97.50014559383966,First,Overtaking,non, False
102, 19.787394188296737,18.84513732218737,20.5747229608212,89.57291,0.49999988,97.47740678068138,First,Overtaking,non, False
103, 19.78776014277228,18.845485850259315,20.5747229608212,90.522446,0.49999988,97.45464751895011,First,Overtaking,non, False
104, 18.819441019881154,18.819441019881154,20.5747229608212,91.46899,0.49999988,97.41711757133335,First,non,non, False
105, 18.927825996277903,18.927825996277903,20.5747229608212,92.41253,0.49999988,97.37998296279429,First,non,non, False
106, 18.84516928896721,18.84516928896721,20.5747229608212,93.353065,0.49999988,97.34325732571492,First,non,non, False
107, 18.814448258534597,18.814448258534597,20.5747229608212,94.29396,0.49999988,97.30648397529858,First,non,non, False
108, 18.882809338585858,18.882809338585858,20.5747229608212,95.23521,0.49999988,97.26966291154527,First,non,non, False
