시니어_0224,스피드,스태미너,파워,근성,지능,마,장,단거리,마일,중거리,장거리,도주,선행,선입,추입,더트 단거리,더트 마일,더트 중거리,더트 장거리,잔디 단거리,잔디 마일,잔디 중거리,잔디 장거리
후르 알-리야흐,1194,160,513,136,60,A,F,S,F,G,B,A,D,D,G,도주,,,도주,,,,
포츈 투유,1196,141,484,142,80,A,F,S,S,G,G,A,G,G,A,,도주,,,,,,추입
더 라스트 일루전,1200,99,445,107,179,F,S,S,C,E,G,A,C,F,F,,,,,도주,,,
박 섬광석화,1200,155,520,132,60,G,A,S,S,G,G,A,G,G,A,,,,,,,,추입
마운틴스 섀플리,1131,161,532,96,100,S,F,F,S,B,G,B,A,F,G,,선행,도주,,,,,
유피아 데저트로즈,1046,181,560,104,100,S,F,G,A,S,G,G,A,A,G,,선입,선입,,,,,
치쿠모 코토리,1129,184,467,126,115,C,C,G,A,S,G,A,A,G,G,,,,,,,선행,추입
블랙 팁 마블,1031,190,568,115,105,F,S,G,A,S,G,G,G,A,A,,,,,,추입,추입,
온 세마치,1102,217,522,133,25,G,S,G,S,A,G,G,A,A,G,도주,,,,,선입,,
굿나잇 스이밍,1056,162,542,126,100,F,S,G,B,S,F,F,G,B,A,,,,,,,추입,
이터니티 블랙홀,1004,201,542,99,106,S,G,G,G,A,S,G,G,A,A,,,,추입,,,,도주
페니 레인,1094,206,492,105,100,D,C,G,G,A,S,A,G,G,A,,,,도주,,,,추입
트윈 페르소나,1054,191,515,137,103,F,A,G,G,A,S,G,D,D,S,,,,,,,추입,추입
미티어 더스트,1023,241,527,130,95,F,S,G,G,A,S,G,G,A,A,,,,,추입,,,추입
데네브 네오스,1032,194,550,100,100,F,S,G,G,A,S,G,G,A,A,,,,,,,추입,추입
페트리코어 선샤워,1046,190,553,126,80,F,S,G,G,A,S,G,E,A,C,,,,,,,추입,추입
