turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.791176187448354,20.953054026392646,22.572618672725753,0.060257196,4,99.98472287419527,First,SpeedUp,non, False
2, 21.771874292077534,20.934494511613014,22.572618672725753,0.18077159,4,99.9740142167382,First,SpeedUp,non, False
3, 21.694590053841353,20.860182744078223,22.572618672725753,0.36154318,4,99.96707768910944,First,SpeedUp,non, False
4, 21.765397565036103,20.92826688945779,22.572618672725753,0.60257196,4,99.96307504023605,First,SpeedUp,non, False
5, 21.764091283571396,20.92701084958788,22.572618672725753,0.90385795,4,99.96123088787553,First,SpeedUp,non, False
6, 21.707748875230358,20.872835456952266,22.572618672725753,1.2654011,4,99.96070698095494,First,SpeedUp,non, False
7, 21.80424722055788,20.9656223274595,22.572618672725753,1.6872015,4,99.96069650281652,First,SpeedUp,non, False
8, 21.830142635362865,20.990521764771984,22.572618672725753,2.169259,4,99.96039263680257,First,SpeedUp,non, False
9, 21.756870188468522,20.92006748891204,22.572618672725753,2.7115738,4,99.95898856625536,First,SpeedUp,non, False
10, 21.762596743448665,20.925573791777563,22.572618672725753,3.3141458,4,99.95565651824035,First,SpeedUp,non, False
11, 21.774114912370212,20.936648954202127,22.572618672725753,3.976975,4,99.9496001542382,First,SpeedUp,non, False
12, 21.695652601854917,20.861204424860496,22.572618672725753,4.7000613,4,99.94000217945279,First,SpeedUp,non, False
13, 21.73543012332611,20.89945204165972,22.572618672725753,5.483405,4,99.92604529908797,First,SpeedUp,non, False
14, 21.7015182447176,20.866844466074614,22.572618672725753,6.327006,4,99.90692269648605,First,SpeedUp,non, False
15, 21.784688561974267,20.946815924975255,22.572618672725753,7.2308636,4,99.88182755498927,First,SpeedUp,non, False
16, 21.724015233525947,20.88847618608264,22.572618672725753,8.194979,4,99.84994257980149,First,SpeedUp,non, False
17, 21.726284511872255,20.89065818449255,22.572618672725753,9.219351,4,99.81046095426503,First,SpeedUp,non, False
18, 21.699154271338532,20.86457141474859,22.572618672725753,10.30398,4,99.76256538358369,First,SpeedUp,non, False
19, 21.699906965732193,20.865295159357878,22.572618672725753,11.448867,4,99.70543857296137,First,SpeedUp,non, False
20, 21.792854128011566,20.95466743078035,22.572618672725753,12.590754,4,99.648793756706,First,SpeedUp,non, False
21, 21.83289933867459,20.99317244103326,22.572618672725753,13.72964,4,99.59263093481759,First,SpeedUp,non, False
22, 21.826662611115882,20.987175587611425,22.572618672725753,14.865527,4,99.53695010729614,First,SpeedUp,non, False
23, 21.784789661449306,20.94691313600895,22.572618672725753,15.998414,4,99.4817303178648,First,SpeedUp,non, False
24, 21.812770129245344,20.973817431966676,22.572618672725753,17.128302,4,99.42698204466201,First,SpeedUp,non, False
25, 21.800965429279444,20.96246675892254,22.572618672725753,18.255188,4,99.37269480954936,First,SpeedUp,non, False
26, 21.766898070353445,20.929709683032158,22.572618672725753,19.379074,4,99.31888956880364,First,SpeedUp,non, False
27, 21.729051400177884,20.893318654017197,22.572618672725753,20.49996,4,99.26553488800965,First,SpeedUp,non, False
28, 21.780618547554372,20.942902449571513,22.572618672725753,21.617847,4,99.2126517234442,First,SpeedUp,non, False
29, 21.699777873154503,20.865171031879328,22.572618672725753,22.732735,4,99.16021911883047,First,SpeedUp,non, False
30, 21.723895535662674,20.888361091983338,22.572618672725753,23.844622,4,99.10825803044527,First,SpeedUp,non, False
31, 21.71086809366623,20.875834705448298,22.572618672725753,24.953508,4,99.0567475020118,First,SpeedUp,non, False
32, 21.791722267331387,20.953579103203257,22.572618672725753,26.059395,4,99.00568753353004,First,SpeedUp,non, False
33, 21.76836649386325,20.931121628714664,22.572618672725753,27.162281,4,98.955078125,First,SpeedUp,non, False
34, 21.725904641478447,20.890292924498507,22.572618672725753,28.262167,4,98.90492975456009,First,SpeedUp,non, False
35, 21.8291847883966,20.989600758073653,22.572618672725753,29.359055,4,98.85522146593347,First,SpeedUp,non, False
36, 21.822936393271203,20.983592685837696,22.572618672725753,30.452942,4,98.80595325912017,First,SpeedUp,non, False
37, 21.819407604121412,20.980199619347513,22.572618672725753,31.543829,4,98.75714609039699,First,SpeedUp,non, False
38, 21.702318217569644,20.86761367074004,22.572618672725753,32.631714,4,98.7087580472103,First,SpeedUp,non, False
39, 21.740070185775178,20.90391364016844,22.572618672725753,33.716602,4,98.66083104211373,First,SpeedUp,non, False
40, 21.782846654772943,20.9450448603586,22.572618672725753,34.801746,4,98.61286212446352,First,SpeedUp,non, False
41, 21.754755267231978,20.918033910799977,22.572618672725753,35.887146,4,98.56485129425965,First,SpeedUp,non, False
