turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.79676691675105,20.95842972764524,22.546933861343923,0.060257196,3,99.98472287419527,First,SpeedUp,non, False
2, 21.720968272753616,20.885546416109246,22.546933861343923,0.18077159,3,99.9740142167382,First,SpeedUp,non, False
3, 21.694369186189416,20.859970371335976,22.546933861343923,0.36154318,3,99.96707768910944,First,SpeedUp,non, False
4, 21.80419576631911,20.965572852229915,22.546933861343923,0.60257196,3,99.96307504023605,First,SpeedUp,non, False
5, 21.718528921851757,20.88320088639592,22.546933861343923,0.90385795,3,99.96123088787553,First,SpeedUp,non, False
6, 21.75184500254078,20.915235579366133,22.546933861343923,1.2654011,3,99.96070698095494,First,SpeedUp,non, False
7, 21.748618294777977,20.912132975748055,22.546933861343923,1.6872015,3,99.96069650281652,First,SpeedUp,non, False
8, 21.832904034650014,20.993176956394244,22.546933861343923,2.169259,3,99.96039263680257,First,SpeedUp,non, False
9, 21.828033006005377,20.98849327500517,22.546933861343923,2.7115738,3,99.95898856625536,First,SpeedUp,non, False
10, 21.767547839654604,20.93033446120635,22.546933861343923,3.3141458,3,99.95565651824035,First,SpeedUp,non, False
11, 21.718545112919372,20.883216454730164,22.546933861343923,3.976975,3,99.9496001542382,First,SpeedUp,non, False
12, 21.80266182171863,20.964097905498683,22.546933861343923,4.7000613,3,99.94000217945279,First,SpeedUp,non, False
13, 21.77200118684744,20.934616525814846,22.546933861343923,5.483405,3,99.92604529908797,First,SpeedUp,non, False
14, 21.78721936748936,20.949249391816693,22.546933861343923,6.327006,3,99.90692269648605,First,SpeedUp,non, False
15, 21.82346649245936,20.98410239659554,22.546933861343923,7.2308636,3,99.88182755498927,First,SpeedUp,non, False
16, 21.784482447390907,20.946617737875872,22.546933861343923,8.194979,3,99.84994257980149,First,SpeedUp,non, False
17, 21.722466643633435,20.886987157339842,22.546933861343923,9.219351,3,99.81046095426503,First,SpeedUp,non, False
18, 21.758832818520382,20.921954633192673,22.546933861343923,10.30398,3,99.76256538358369,First,SpeedUp,non, False
19, 21.715806191141958,20.880582876098035,22.546933861343923,11.448867,3,99.70543857296137,First,SpeedUp,non, False
20, 21.737643569624634,20.901580355408303,22.546933861343923,12.590754,3,99.648793756706,First,SpeedUp,non, False
