turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.58206611925566,18.58206611925566,20.07714477754439,0.060253337,4,99.99337988214668,First,non,non, False
2, 18.608802699169704,18.608802699169704,20.07714477754439,0.18076001,4,99.98930889013343,First,non,non, False
3, 18.61488164584162,18.61488164584162,20.07714477754439,0.36152002,4,99.9871687658274,First,non,non, False
4, 18.56680568886863,18.56680568886863,20.07714477754439,0.60253334,4,99.98634125109574,First,non,non, False
5, 18.66915826895317,18.66915826895317,20.07714477754439,0.9038,4,99.98621759946917,First,non,non, False
6, 18.613616098096163,18.613616098096163,20.07714477754439,1.2653201,4,99.98617004115125,First,non,non, False
7, 18.567097549509455,18.567097549509455,20.07714477754439,1.6870935,4,99.9856088529999,First,non,non, False
8, 18.64929460192277,18.64929460192277,20.07714477754439,2.1691203,4,99.98390626521866,First,non,non, False
9, 18.629764497431953,18.629764497431953,20.07714477754439,2.7114003,4,99.98044401967468,First,non,non, False
10, 18.67436625797424,18.67436625797424,20.07714477754439,3.3139336,4,99.9746133698987,First,non,non, False
11, 18.616056876065688,18.616056876065688,20.07714477754439,3.9767203,4,99.96580556942145,First,non,non, False
12, 18.628094710639434,18.628094710639434,20.07714477754439,4.6997604,4,99.95340236011006,First,non,non, False
13, 18.678286623315298,18.678286623315298,20.07714477754439,5.4830537,4,99.9367854838317,First,non,non, False
14, 18.6672458219596,18.6672458219596,20.07714477754439,6.3266006,4,99.91534619411708,First,non,non, False
15, 18.606220899714096,18.606220899714096,20.07714477754439,7.2304006,4,99.88847574449693,First,non,non, False
16, 18.62826206845513,18.62826206845513,20.07714477754439,8.194454,4,99.85554636517483,First,non,non, False
17, 18.599724562640812,18.599724562640812,20.07714477754439,9.155508,4,99.82293087075095,First,non,non, False
18, 19.753649908126228,18.569501626510217,20.07714477754439,10.115514,3.95,99.7902963529999,First,non,InsideOvertaking, False
19, 20.437283555255878,18.627786341734183,20.07714477754439,11.075773,3.9,99.7576333002581,First,non,InsideOvertaking, False
20, 20.36712759344839,18.603585276352895,20.07714477754439,12.036286,3.8500001,99.72494171252556,First,non,InsideOvertaking, False
21, 18.957127920755255,18.576759031706544,20.07714477754439,12.993795,3.8000002,99.69256400969124,First,non,InsideOvertaking, False
22, 19.6508787631334,18.56257433033255,20.07714477754439,13.951558,3.7500002,99.66016728352976,First,non,InsideOvertaking, False
23, 20.455731818242988,18.66160269263532,20.07714477754439,14.9095745,3.7000003,99.62773251071394,First,non,InsideOvertaking, False
24, 19.377395550585963,18.659808167029624,20.07714477754439,15.867845,3.6500003,99.59527871457095,First,non,InsideOvertaking, False
25, 20.41510176456184,18.658099612013157,20.07714477754439,16.826368,3.6000004,99.56279638343723,First,non,InsideOvertaking, False
26, 18.79038831082852,18.592050551789686,20.07714477754439,17.781887,3.5500004,99.53062793720171,First,non,InsideOvertaking, False
27, 19.12655900187306,18.639440421474426,20.07714477754439,18.734402,3.5000005,99.49877337586442,First,non,InsideOvertaking, False
28, 20.49493750530639,18.62978770974331,20.07714477754439,19.68717,3.4500005,99.46689027953637,First,non,InsideOvertaking, False
29, 19.533632424416627,18.64318473727386,20.07714477754439,20.640192,3.4000006,99.4349786482176,First,non,InsideOvertaking, False
30, 19.618128825913544,18.63924639169111,20.07714477754439,21.593468,3.3500006,99.40304799357163,First,non,InsideOvertaking, False
31, 20.43150857051353,18.577802495522494,20.07714477754439,22.546997,3.3000007,99.37108880393494,First,non,InsideOvertaking, False
32, 18.985591155411004,18.61022061498723,20.07714477754439,23.497522,3.2500007,99.33943398753287,First,non,InsideOvertaking, False
33, 20.016537485765898,18.588258553336498,20.07714477754439,24.448301,3.2000008,99.30776014780363,First,non,InsideOvertaking, False
34, 20.143059408655464,18.67714521739175,20.07714477754439,25.399334,3.1500008,99.27605777308366,First,non,InsideOvertaking, False
35, 19.755684732563584,18.615061017933677,20.07714477754439,26.35062,3.1000009,99.24432686337295,First,non,InsideOvertaking, False
36, 19.078248191277975,18.670134098201213,20.07714477754439,27.30216,3.050001,99.21256741867147,First,non,InsideOvertaking, False
37, 19.106149986674836,18.654956103797293,20.07714477754439,28.253954,3.000001,99.18078895064284,First,non,InsideOvertaking, False
38, 19.567642735707658,18.587584371497442,20.07714477754439,29.206001,2.950001,99.14898194762345,First,non,InsideOvertaking, False
39, 19.28533273179277,18.61138494855254,20.07714477754439,30.158302,2.900001,99.11714640961333,First,non,InsideOvertaking, False
40, 19.451421528046605,18.631511618615924,20.07714477754439,31.110857,2.850001,99.08529184827603,First,non,InsideOvertaking, False
41, 19.556591724997382,18.67350873755877,20.07714477754439,32.063667,2.8000011,99.0533992402844,First,non,InsideOvertaking, False
42, 20.22930206470006,18.618887484754314,20.07714477754439,33.01673,2.7500012,99.02148760896561,First,non,InsideOvertaking, False
43, 19.537343955696187,18.58791025718746,20.07714477754439,33.970047,2.7000012,98.98954744265608,First,non,InsideOvertaking, False
44, 20.59047114719264,18.57051346774251,20.07714477754439,34.92362,2.6500013,98.9575787413558,First,non,InsideOvertaking, False
45, 18.911651757136006,18.58780852969986,20.07714477754439,35.874184,2.6000013,98.92592392495374,First,non,InsideOvertaking, False
46, 20.61370131032811,18.61760704194199,20.07714477754439,36.825005,2.5500014,98.89424057356092,First,non,InsideOvertaking, False
47, 20.45279239280296,18.590019754516444,20.07714477754439,37.776077,2.5000014,98.86253819884095,First,non,InsideOvertaking, False
48, 20.659143456765722,18.61953195870037,20.07714477754439,38.727406,2.4500015,98.83080728913022,First,non,InsideOvertaking, False
49, 19.851848265683913,18.681859474891173,20.07714477754439,39.678986,2.4000015,98.79904784442876,First,non,InsideOvertaking, False
50, 19.405137976087026,18.620769376930202,20.07714477754439,40.63082,2.3500016,98.76725986473653,First,non,InsideOvertaking, False
51, 19.57877894331426,18.584600668244473,20.07714477754439,41.58291,2.3000016,98.73544335005357,First,non,InsideOvertaking, False
52, 20.44114549386736,18.568309837264994,20.07714477754439,42.53525,2.2500017,98.70360781204344,First,non,InsideOvertaking, False
53, 18.922966116311635,18.622163665248408,20.07714477754439,43.48459,2.2000017,98.67207664726794,First,non,InsideOvertaking, False
54, 20.65299894908683,18.680316292880967,20.07714477754439,44.43418,2.1500018,98.64052645916529,First,non,InsideOvertaking, False
55, 19.983123401528278,18.588995346082534,20.07714477754439,45.384026,2.1000018,98.60894773607188,First,non,InsideOvertaking, False
56, 19.02620673258484,18.646099774989185,20.07714477754439,46.334126,2.0500019,98.57734047798773,First,non,InsideOvertaking, False
57, 19.653126380111893,18.66354012513088,20.07714477754439,47.284477,2.000002,98.54570468491282,First,non,InsideOvertaking, False
58, 20.553594633124153,18.63950444099687,20.07714477754439,48.235085,1.950002,98.51404986851077,First,non,InsideOvertaking, False
59, 20.62800798981962,18.62048989052843,20.07714477754439,49.185944,1.900002,98.48236651711795,First,non,InsideOvertaking, False
60, 19.23665411203705,18.651280661943165,20.07714477754439,50.13706,1.850002,98.45065463073439,First,non,InsideOvertaking, False
61, 18.983670264223893,18.664508937186483,20.07714477754439,51.085167,1.8000021,98.41924711758547,First,non,InsideOvertaking, False
62, 20.11058625760208,18.614552699085746,20.07714477754439,52.03353,1.7500021,98.38782058110938,First,non,InsideOvertaking, False
63, 19.422453771864426,18.626850212992284,20.07714477754439,52.982147,1.7000022,98.35636550964254,First,non,InsideOvertaking, False
64, 19.319099195301945,18.576309338467706,20.07714477754439,53.93102,1.6500022,98.32489141484854,First,non,InsideOvertaking, False
65, 19.51051103277292,18.581896877854273,20.07714477754439,54.880142,1.6000023,98.29337927340022,First,non,InsideOvertaking, False
66, 18.961531992632743,18.631664500469306,20.07714477754439,55.826263,1.5500023,98.26219052851368,First,non,InsideOvertaking, False
67, 18.93572453400078,18.615172151430833,20.07714477754439,56.76938,1.5000024,98.2312966451982,First,non,InsideOvertaking, False
68, 19.313317232874315,18.615859112767456,20.07714477754439,57.71275,1.4500024,98.20038373855556,First,non,InsideOvertaking, False
69, 20.206597022668337,18.664830272771894,20.07714477754439,58.656372,1.4000025,98.16944229692217,First,non,InsideOvertaking, False
70, 19.404041704475944,18.61054657581111,20.07714477754439,59.60025,1.3500025,98.13847232029804,First,non,InsideOvertaking, False
71, 20.44182642729927,18.616523461220233,20.07714477754439,60.54438,1.3000026,98.10748332034674,First,non,InsideOvertaking, False
72, 20.18744335364337,18.570672500192885,20.07714477754439,61.488766,1.2500026,98.0764657854047,First,non,InsideOvertaking, False
73, 19.03630912218757,18.584303756715915,20.07714477754439,62.433403,1.2000027,98.0454197154719,First,non,InsideOvertaking, False
74, 20.522211908106016,18.591141889749334,20.07714477754439,63.378296,1.1500027,98.01434511054836,First,non,InsideOvertaking, False
75, 20.56704272813612,18.625184533602727,20.07714477754439,64.32344,1.1000028,97.98325148229765,First,non,InsideOvertaking, False
76, 20.562541867473442,18.641069560766315,20.07714477754439,65.26884,1.0500028,97.9521293190562,First,non,InsideOvertaking, False
77, 19.010783383219856,18.563731378097398,20.07714477754439,66.21449,1.0000029,97.920978620824,First,non,InsideOvertaking, False
78, 19.090245054054378,18.58339259133702,20.07714477754439,67.1604,0.95000285,97.88980889926464,First,non,InsideOvertaking, False
79, 19.290540316535402,18.574178753299236,20.07714477754439,68.10656,0.90000284,97.85860113105093,First,non,InsideOvertaking, False
80, 19.241217959085606,18.582014674680764,20.07714477754439,69.05297,0.8500028,97.82737433951007,First,non,InsideOvertaking, False
81, 20.348796285451797,18.621891957310638,20.07714477754439,69.99964,0.8000028,97.79611901297848,First,non,InsideOvertaking, False
82, 20.553982532287637,18.570478489119502,20.07714477754439,70.94656,0.7500028,97.7648446631197,First,non,InsideOvertaking, False
83, 20.379950118348816,18.58081607707929,20.07714477754439,71.89374,0.7000028,97.73354177827018,First,non,InsideOvertaking, False
84, 19.30762716823039,18.58311886342687,20.07714477754439,72.84116,0.6500028,97.70220084676633,First,non,InsideOvertaking, False
85, 20.42566295266911,18.62537405254259,20.07714477754439,73.78885,0.60000277,97.6708504035989,First,non,InsideOvertaking, False
86, 18.567063274303507,18.567063274303507,20.07714477754439,74.73485,0.60000277,97.63979482200253,First,non,non, False
87, 18.63938959508988,18.63938959508988,20.07714477754439,75.67785,0.60000277,97.60905312530437,First,non,non, False
88, 18.59800408370991,18.59800408370991,20.07714477754439,76.61785,0.60000277,97.57861580184085,First,non,non, False
89, 18.66070620964469,18.66070620964469,20.07714477754439,77.554855,0.60000277,97.54848285161196,First,non,non, False
90, 18.624421437197533,18.624421437197533,20.07714477754439,78.48885,0.60000277,97.5186542746177,First,non,non, False
91, 18.62743846557739,18.62743846557739,20.07714477754439,79.41985,0.60000277,97.48913007085808,First,non,non, False
92, 18.663723818269926,18.663723818269926,20.07714477754439,80.351105,0.60000277,97.45956782044414,First,non,non, False
93, 18.610116155268198,18.610116155268198,20.07714477754439,81.27936,0.60000277,97.43030994326483,First,non,non, False
94, 18.58544870226035,18.58544870226035,20.07714477754439,82.20786,0.60000277,97.40102353109476,First,non,non, False
95, 18.579305014608632,18.579305014608632,20.07714477754439,83.13662,0.60000277,97.37171809559754,First,non,non, False
96, 18.587209405653642,18.587209405653642,20.07714477754439,84.065636,0.60000277,97.34238412510958,First,non,non, False
97, 18.658751456067943,18.658751456067943,20.07714477754439,84.9949,0.60000277,97.31303113129444,First,non,non, False
98, 18.67152537964066,18.67152537964066,20.07714477754439,85.92442,0.60000277,97.28364960248855,First,non,non, False
99, 18.657912993363468,18.657912993363468,20.07714477754439,86.854195,0.60000277,97.25423002702834,First,non,non, False
100, 18.61678581512134,18.61678581512134,20.07714477754439,87.784225,0.60000277,97.22480093990454,First,non,non, False
101, 18.66110822706487,18.66110822706487,20.07714477754439,88.71451,0.60000277,97.19534331779,First,non,non, False
102, 18.679059906519154,18.679059906519154,20.07714477754439,89.64504,0.60000277,97.16585716068472,First,non,non, False
103, 18.565215241599706,18.565215241599706,20.07714477754439,90.57258,0.60000277,97.13667537681407,First,non,non, False
104, 18.577724369688447,18.577724369688447,20.07714477754439,91.50037,0.60000277,97.10746505795267,First,non,non, False
105, 18.588783869424777,18.588783869424777,20.07714477754439,92.428406,0.60000277,97.07822620410052,First,non,non, False
106, 18.61973111568425,18.61973111568425,20.07714477754439,93.3567,0.60000277,97.0489683269212,First,non,non, False
107, 18.65290921580789,18.65290921580789,20.07714477754439,94.28525,0.60000277,97.01968191475115,First,non,non, False
108, 18.643495910735805,18.643495910735805,20.07714477754439,95.21405,0.60000277,96.99036696759033,First,non,non, False
109, 18.585434157730823,18.585434157730823,20.07714477754439,96.143105,0.60000277,96.96103299710236,First,non,non, False
110, 18.585161597374615,18.585161597374615,20.07714477754439,97.07241,0.60000277,96.93167049162365,First,non,non, False
111, 18.637711052613867,18.637711052613867,20.07714477754439,98.00197,0.60000277,96.90227945115419,First,non,non, False
112, 18.635690343378062,18.635690343378062,20.07714477754439,98.931786,0.60000277,96.87286938735755,First,non,non, False
113, 18.588499290787144,18.588499290787144,20.07714477754439,99.8586,0.60000277,96.84375418513197,First,non,non, False
114, 18.614769546106526,18.614769546106526,20.07714477754439,100.78567,0.60000277,96.81461995957923,First,non,non, False
115, 18.568397658353074,18.568397658353074,20.07714477754439,101.71299,0.60000277,96.78544768737216,First,non,non, False
116, 18.56719026468755,18.56719026468755,20.07714477754439,102.640564,0.60000277,96.75625639183792,First,non,non, False
117, 18.659958225547975,18.659958225547975,20.07714477754439,103.56839,0.60000277,96.72704607297652,First,non,non, False
118, 18.594756536738128,18.594756536738128,20.07714477754439,104.49647,0.60000277,96.69780721912437,First,non,non, False
119, 18.617378205675745,18.617378205675745,20.07714477754439,105.424805,0.60000277,96.66853983028149,First,non,non, False
120, 18.582387958974913,18.582387958974913,20.07714477754439,106.35339,0.60000277,96.63925341811142,First,non,non, False
121, 18.663850419825067,18.663850419825067,20.07714477754439,107.282234,0.60000277,96.60993847095062,First,non,non, False
122, 18.912235152428508,18.5691424040466,20.07714477754439,108.209984,0.55000275,96.58059498879906,First,non,InsideOvertaking, False
123, 20.496076218705245,18.600359938119308,20.07714477754439,109.137985,0.50000274,96.55122297165676,First,non,InsideOvertaking, False
124, 19.58067081979962,18.653018793608926,20.07714477754439,110.06624,0.45000273,96.5218319311873,First,non,InsideOvertaking, False
125, 19.566582658466135,18.634840627110606,20.07714477754439,110.99609,0.45000273,96.50418779524203,First,Overtaking,non, False
126, 19.553879427108324,18.622742311531738,20.07714477754439,111.9262,0.45000273,96.48652463596962,First,Overtaking,non, False
127, 19.496497193860314,18.56809256558125,20.07714477754439,112.85656,0.45000273,96.46883294170644,First,Overtaking,non, False
128, 19.547027566306497,18.61621672981571,20.07714477754439,113.78717,0.45000273,96.45114124744326,First,Overtaking,non, False
129, 19.534518479423802,18.604303313736953,20.07714477754439,114.71804,0.45000273,96.4334400415165,First,Overtaking,non, False
130, 19.592292141252138,18.65932584881156,20.07714477754439,115.64916,0.45000273,96.415710300599,First,Overtaking,non, False
131, 19.492974054010887,18.564737194296082,20.07714477754439,116.580536,0.45000273,96.39797104801792,First,Overtaking,non, False
132, 19.494349510554706,18.566047152909242,20.07714477754439,117.51216,0.45000273,96.38021277210967,First,Overtaking,non, False
133, 19.501734521782186,18.573080496935415,20.07714477754439,118.44404,0.45000273,96.36244498453785,First,Overtaking,non, False
134, 18.649838962113805,18.649838962113805,20.07714477754439,119.376175,0.45000273,96.33279712915164,First,non,non, False
135, 18.59312362425187,18.59312362425187,20.07714477754439,120.305305,0.45000273,96.3034536470001,First,non,non, False
136, 18.621622345976306,18.621622345976306,20.07714477754439,121.234695,0.45000273,96.27408162985779,First,non,non, False
137, 18.561691224937952,18.561691224937952,20.07714477754439,122.16108,0.45000273,96.24500447428655,First,non,non, False
138, 18.565592106170143,18.565592106170143,20.07714477754439,123.08772,0.45000273,96.21590829538813,First,non,non, False
139, 19.492537814560063,18.56432172815244,20.07714477754439,124.01462,0.45000273,96.19843536938735,First,Overtaking,non, False
140, 19.564562990555345,18.632917133862232,20.07714477754439,124.941765,0.45000273,96.1809434200594,First,Overtaking,non, False
