turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.810351303737118,19.048414715131845,20.448147645041992,0.060257196,2,99.99604057790472,First,SpeedUp,non, False
2, 19.76986378011296,19.00948440395477,20.448147645041992,0.18077159,2,99.99360035853185,First,SpeedUp,non, False
3, 19.852149493150087,19.088605281875083,20.448147645041992,0.36154318,2,99.9923090362178,First,SpeedUp,non, False
4, 19.76365175779877,19.00351130557574,20.448147645041992,0.60257196,2,99.99181529533301,First,SpeedUp,non, False
5, 19.810983141329455,19.04902225127832,20.448147645041992,0.90385795,2,99.9917393351969,First,SpeedUp,non, False
6, 19.85574776640578,19.092065160005557,20.448147645041992,1.2654011,2,99.99172034516286,First,SpeedUp,non, False
7, 19.835101048812426,19.072212546935024,20.448147645041992,1.6872015,2,99.99137852455033,First,SpeedUp,non, False
8, 19.832098583661598,19.069325561213073,20.448147645041992,2.169259,2,99.9903530627127,First,SpeedUp,non, False
9, 19.80981679456278,19.047900764002673,20.448147645041992,2.7115738,2,99.98828314900341,First,SpeedUp,non, False
10, 19.79766506578046,19.03621640940429,20.448147645041992,3.3141458,2,99.98478898274186,First,SpeedUp,non, False
11, 19.81160922346218,19.049624253329018,20.448147645041992,3.976975,2,99.9795192482985,First,SpeedUp,non, False
12, 19.813752110244817,19.051684721389247,20.448147645041992,4.7000613,2,99.9720846499757,First,SpeedUp,non, False
13, 19.762627700352155,19.002526634953995,20.448147645041992,5.483405,2,99.96213387214391,First,SpeedUp,non, False
14, 19.745803452024944,18.98634947310091,20.448147645041992,6.327006,2,99.94928711412251,First,SpeedUp,non, False
15, 19.754323969912928,18.99454227876243,20.448147645041992,7.2308636,2,99.93318356526495,First,SpeedUp,non, False
16, 19.759879551573427,18.999884184205218,20.448147645041992,8.194979,2,99.91346241492465,First,SpeedUp,non, False
17, 19.827941959049813,19.065328806778666,20.448147645041992,9.219351,2,99.88974386242101,First,SpeedUp,non, False
18, 19.822821630887415,19.060405414314822,20.448147645041992,10.240723,2,99.86623420029169,First,SpeedUp,non, False
19, 19.802796830133214,19.041150798205013,20.448147645041992,11.259095,2,99.84293342853671,First,SpeedUp,non, False
20, 19.803429329327564,19.04175897050727,20.448147645041992,12.274467,2,99.81983205213905,First,SpeedUp,non, False
21, 19.844495494142546,19.081245667444755,20.448147645041992,13.2868395,2,99.79693956611571,First,SpeedUp,non, False
22, 19.835166687719664,19.072275661268907,20.448147645041992,14.296212,2,99.77424647544969,First,SpeedUp,non, False
23, 19.834717184575826,19.071843446707526,20.448147645041992,15.302585,2,99.751762275158,First,SpeedUp,non, False
24, 19.806108605625617,19.04433519771694,20.448147645041992,16.305958,2,99.72946797520662,First,SpeedUp,non, False
25, 19.833878433529275,19.07103695531661,20.448147645041992,17.30633,2,99.70739206064658,First,SpeedUp,non, False
26, 19.75274511424063,18.993024148308297,20.448147645041992,18.303701,2,99.68550604642684,First,SpeedUp,non, False
27, 19.773906706312726,19.013371832993005,20.448147645041992,19.298073,2,99.66381942756442,First,SpeedUp,non, False
28, 19.814687079905507,19.05258373067837,20.448147645041992,20.289446,2,99.64234169907633,First,SpeedUp,non, False
29, 19.818685338608596,19.056428210200572,20.448147645041992,21.277819,2,99.62105387092855,First,SpeedUp,non, False
30, 19.79180039961261,19.030577307319817,20.448147645041992,22.266449,2,99.59974705274672,First,SpeedUp,non, False
31, 19.818346669180745,19.056102566519947,20.448147645041992,23.255335,2,99.57842124453087,First,SpeedUp,non, False
32, 19.760950274419287,19.00091372540316,20.448147645041992,24.241222,2,99.55729483167234,First,SpeedUp,non, False
33, 19.770189203666977,19.009797311218247,20.448147645041992,25.227365,2,99.53614942877978,First,SpeedUp,non, False
34, 19.782630633175216,19.02176022420694,20.448147645041992,26.213766,2,99.51499453087021,First,SpeedUp,non, False
35, 19.81749632152598,19.05528492454421,20.448147645041992,27.200424,2,99.4938206429266,First,SpeedUp,non, False
36, 19.825929524093866,19.063393773167178,20.448147645041992,28.18734,2,99.47262776494895,First,SpeedUp,non, False
37, 19.842833223289894,19.079647330086434,20.448147645041992,29.174513,2,99.45141589693729,First,SpeedUp,non, False
38, 19.776117128744822,19.015497239177712,20.448147645041992,30.161943,2,99.4301945339086,First,SpeedUp,non, False
39, 19.806465030518172,19.04467791395978,20.448147645041992,31.149632,2,99.40894468582889,First,SpeedUp,non, False
40, 19.772915401632392,19.01241865541576,20.448147645041992,32.137577,2,99.38768534273214,First,SpeedUp,non, False
41, 19.75389872436355,18.994133388811107,20.448147645041992,33.12252,2,99.36662539499271,First,SpeedUp,non, False
42, 19.820151053393424,19.05783755133983,20.448147645041992,34.107723,2,99.34553696220225,First,SpeedUp,non, False
43, 19.792875301903145,19.03161086721456,20.448147645041992,35.09318,2,99.32443903439476,First,SpeedUp,non, False
44, 19.78367768564169,19.0227670054247,20.448147645041992,36.078896,2,99.30333161157026,First,SpeedUp,non, False
45, 19.796603696569285,19.03519586208585,20.448147645041992,37.06487,2,99.28219570369471,First,SpeedUp,non, False
46, 19.793983017210003,19.03267597808654,20.448147645041992,38.051098,2,99.26105030080214,First,SpeedUp,non, False
47, 19.736007011062306,18.97692981832914,20.448147645041992,39.037586,2,99.23988590787555,First,SpeedUp,non, False
48, 19.737141187433327,18.978020372532043,20.448147645041992,40.02433,2,99.21870252491493,First,SpeedUp,non, False
49, 19.809968091852916,19.048046242166265,20.448147645041992,41.011333,2,99.19750964693729,First,SpeedUp,non, False
50, 19.796373541227787,19.03497455887287,20.448147645041992,41.998592,2,99.1762882839086,First,SpeedUp,non, False
51, 19.83364661526615,19.07081405314053,20.448147645041992,42.986107,2,99.1550574258629,First,SpeedUp,non, False
52, 19.758203449859977,18.998272547942285,20.448147645041992,43.97388,2,99.13380757778319,First,SpeedUp,non, False
53, 19.846057260578924,19.082747365941273,20.448147645041992,44.96191,2,99.11253873966943,First,SpeedUp,non, False
54, 19.751940108470347,18.99225010429841,20.448147645041992,45.94694,2,99.09146929691299,First,SpeedUp,non, False
55, 19.85592693366861,19.092237436219815,20.448147645041992,46.932228,2,99.07038086412251,First,SpeedUp,non, False
56, 19.835665134186936,19.07275493671821,20.448147645041992,47.917774,2,99.04928293631502,First,SpeedUp,non, False
57, 19.763818931529432,19.00367204954753,20.448147645041992,48.903576,2,99.02816601847351,First,SpeedUp,non, False
58, 19.780254276339928,19.019475265711467,20.448147645041992,49.889637,2,99.00703011059797,First,SpeedUp,non, False
59, 19.84413090088618,19.080895097005943,20.448147645041992,50.875954,2,98.98587521268838,First,SpeedUp,non, False
60, 19.750886244131515,18.99123677320338,20.448147645041992,51.862526,2,98.96470132474478,First,SpeedUp,non, False
61, 19.778520510755264,19.017808183418524,20.448147645041992,52.849358,2,98.94351794178415,First,SpeedUp,non, False
62, 19.815108569282224,19.052989008925213,20.448147645041992,53.836445,2,98.9223155687895,First,SpeedUp,non, False
63, 19.753825442543913,18.994062925522993,20.448147645041992,54.82379,2,98.90109420576083,First,SpeedUp,non, False
64, 19.751739238696583,18.992056960285176,20.448147645041992,55.811394,2,98.8798538526981,First,SpeedUp,non, False
65, 19.74277082061083,18.983433481356567,20.448147645041992,56.795998,2,98.85881289499271,First,SpeedUp,non, False
66, 19.851747394439077,19.08821864849911,20.448147645041992,57.780857,2,98.83775294725329,First,SpeedUp,non, False
67, 19.774071297387422,19.01353009364175,20.448147645041992,58.765976,2,98.81667400947983,First,SpeedUp,non, False
68, 19.761918504215938,19.00184471559225,20.448147645041992,59.75135,2,98.79558557668936,First,SpeedUp,non, False
69, 19.811457147146648,19.049478026102545,20.448147645041992,60.73698,2,98.77447815386486,First,SpeedUp,non, False
70, 19.855674219388323,19.091994441719542,20.448147645041992,61.72287,2,98.75335174100633,First,SpeedUp,non, False
71, 19.809510921114075,19.04760665491738,20.448147645041992,62.709015,2,98.73220633811377,First,SpeedUp,non, False
72, 19.75355485571058,18.993802745875556,20.448147645041992,63.69542,2,98.71105144020419,First,SpeedUp,non, False
73, 19.80204200904844,19.04042500870042,20.448147645041992,64.68208,2,98.68986805724356,First,SpeedUp,non, False
74, 19.836336668114207,19.073400642417507,20.448147645041992,65.669,2,98.66867517926593,First,SpeedUp,non, False
75, 19.78910529686126,19.027985862366595,20.448147645041992,66.65617,2,98.64747280627128,First,SpeedUp,non, False
76, 19.739914953255777,18.98068745505363,20.448147645041992,67.64035,2,98.62645083859991,First,SpeedUp,non, False
77, 19.786409044297738,19.025393311824747,20.448147645041992,68.62478,2,98.60542887092855,First,SpeedUp,non, False
