turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 17.91743632602401,17.91743632602401,19.277643640968634,0.060250767,6,99.99341057342232,First,non,non, False
2, 17.853606077582622,17.853606077582622,19.277643640968634,0.1807523,6,99.98934314320388,First,non,non, False
3, 17.85535885618633,17.85535885618633,19.277643640968634,0.3615046,6,99.9872098756068,First,non,non, False
4, 17.891475218410395,17.891475218410395,19.277643640968634,0.6025077,6,99.9863755309466,First,non,non, False
5, 17.879639590172214,17.879639590172214,19.277643640968634,0.9037615,6,99.98625227548544,First,non,non, False
6, 17.882972112166783,17.882972112166783,19.277643640968634,1.2652661,6,99.98621435072816,First,non,non, False
7, 17.8203913982685,17.8203913982685,19.277643640968634,1.6870215,6,99.98565496055825,First,non,non, False
8, 17.925132242752674,17.925132242752674,19.277643640968634,2.1690276,6,99.9839578276699,First,non,non, False
9, 17.928761018818147,17.928761018818147,19.277643640968634,2.7112844,6,99.98050667475728,First,non,non, False
10, 17.925475317489386,17.925475317489386,19.277643640968634,3.313792,6,99.97469470570388,First,non,non, False
11, 17.826310481168786,17.826310481168786,19.277643640968634,3.9765503,6,99.9659151243932,First,non,non, False
12, 17.90611934881234,17.90611934881234,19.277643640968634,4.6995597,6,99.95356113470874,First,non,non, False
13, 17.855623543173134,17.855623543173134,19.277643640968634,5.4828196,6,99.93699749696601,First,non,non, False
14, 17.86390772849536,17.86390772849536,19.277643640968634,6.32633,6,99.91563637742719,First,non,non, False
15, 17.84704287851242,17.84704287851242,19.277643640968634,7.2300916,6,99.88885201759709,First,non,non, False
16, 17.924670902542985,17.924670902542985,19.277643640968634,8.130853,6,99.86234261225728,First,non,non, False
17, 17.92948626303845,17.92948626303845,19.277643640968634,9.028614,6,99.83612712378641,First,non,non, False
18, 18.798073635371807,17.85767100919846,19.277643640968634,9.925233,5.95,99.80988319174757,First,non,InsideOvertaking, False
19, 18.735578362323803,17.864234281166514,19.277643640968634,10.8221035,5.8999996,99.78361081614078,First,non,InsideOvertaking, False
20, 18.3290210982863,17.9088903329258,19.277643640968634,11.719225,5.8499994,99.75732895934466,First,non,InsideOvertaking, False
21, 19.217126738996733,17.84142223999871,19.277643640968634,12.616597,5.799999,99.73101865898059,First,non,InsideOvertaking, False
22, 19.220927721441363,17.865021702054136,19.277643640968634,13.514221,5.749999,99.70467991504854,First,non,InsideOvertaking, False
23, 19.509078985626587,17.822271175351627,19.277643640968634,14.412096,5.699999,99.67832220873787,First,non,InsideOvertaking, False
24, 18.69685052253042,17.927031189208815,19.277643640968634,15.310223,5.6499987,99.65193605885922,First,non,InsideOvertaking, False
25, 18.598696203913804,17.875508359220394,19.277643640968634,16.2086,5.5999985,99.62553094660194,First,non,InsideOvertaking, False
26, 18.976229808876525,17.849578645337644,19.277643640968634,17.107227,5.5499983,99.5990973907767,First,non,InsideOvertaking, False
27, 18.472377374316594,17.90465296136738,19.277643640968634,18.006107,5.499998,99.57264487257281,First,non,InsideOvertaking, False
28, 18.347417486042552,17.911136265068713,19.277643640968634,18.905237,5.449998,99.54616391080097,First,non,InsideOvertaking, False
29, 18.677294085732168,17.926421134141417,19.277643640968634,19.804619,5.3999977,99.51966398665049,First,non,InsideOvertaking, False
30, 19.655744231603503,17.878223292938635,19.277643640968634,20.704252,5.3499975,99.49313561893204,First,non,InsideOvertaking, False
31, 18.39838538704549,17.899847025657543,19.277643640968634,21.604137,5.2999973,99.46658828883496,First,non,InsideOvertaking, False
32, 19.824746557787726,17.88224926645223,19.277643640968634,22.504272,5.249997,99.4400125151699,First,non,InsideOvertaking, False
33, 18.329417197756765,17.8994076703628,19.277643640968634,23.40466,5.199997,99.41341777912622,First,non,InsideOvertaking, False
34, 18.38642507074023,17.846047827256832,19.277643640968634,24.305298,5.1499968,99.38679459951456,First,non,InsideOvertaking, False
35, 19.325628757758814,17.838961651110335,19.277643640968634,25.206186,5.0999966,99.36015245752426,First,non,InsideOvertaking, False
36, 18.301535815552246,17.884623159165262,19.277643640968634,26.107327,5.0499964,99.33348187196601,First,non,InsideOvertaking, False
37, 19.068533360818467,17.87135453757368,19.277643640968634,27.008718,4.999996,99.30679232402913,First,non,InsideOvertaking, False
38, 19.07102798774606,17.910314630909323,19.277643640968634,27.91036,4.949996,99.28007433252426,First,non,InsideOvertaking, False
39, 18.195693447418176,17.92789052092346,19.277643640968634,28.812254,4.899996,99.25333737864078,First,non,InsideOvertaking, False
40, 19.29062688215833,17.895392345155283,19.277643640968634,29.7144,4.8499956,99.22657198118932,First,non,InsideOvertaking, False
41, 18.392492443770184,17.833839303762876,19.277643640968634,30.616795,4.7999954,99.1997781401699,First,non,InsideOvertaking, False
42, 19.346048174314202,17.82330449841805,19.277643640968634,31.519442,4.749995,99.17297481796116,First,non,InsideOvertaking, False
43, 18.934632410448156,17.81804485330193,19.277643640968634,32.42234,4.699995,99.14613357099515,First,non,InsideOvertaking, False
44, 18.76688158860299,17.897573826869145,19.277643640968634,33.32549,4.649995,99.11928284283981,First,non,InsideOvertaking, False
45, 18.515339451381756,17.8603297445792,19.277643640968634,34.22889,4.5999947,99.09239418992719,First,non,InsideOvertaking, False
46, 18.583698957793388,17.8564052323445,19.277643640968634,35.13254,4.5499945,99.06548657463593,First,non,InsideOvertaking, False
47, 17.846980312232727,17.846980312232727,19.277643640968634,36.034576,4.5499945,99.03886339502426,First,non,non, False
48, 17.90701633590933,17.90701633590933,19.277643640968634,36.93361,4.5499945,99.01252465109224,First,non,non, False
49, 17.887853485998708,17.887853485998708,19.277643640968634,37.829643,4.5499945,98.98647982402913,First,non,non, False
50, 17.907141570316398,17.907141570316398,19.277643640968634,38.722675,4.5499945,98.96070047026699,First,non,non, False
51, 19.12126820062888,17.823066724186344,19.277643640968634,39.61456,4.4999943,98.93490215412622,First,non,InsideOvertaking, False
52, 19.283896238294464,17.91138311749396,19.277643640968634,40.506695,4.449994,98.90907539441747,First,non,InsideOvertaking, False
53, 18.806046084748303,17.904165636295,19.277643640968634,41.399082,4.399994,98.8832296723301,First,non,InsideOvertaking, False
54, 18.538224883282645,17.847860298786372,19.277643640968634,42.29172,4.3499937,98.85736498786407,First,non,InsideOvertaking, False
55, 19.141180597121853,17.821493424052758,19.277643640968634,43.18461,4.2999935,98.83146237864078,First,non,InsideOvertaking, False
56, 19.85969972254886,17.90629352151074,19.277643640968634,44.077747,4.2499933,98.80555028822816,First,non,InsideOvertaking, False
57, 19.2791197256275,17.873083803636007,19.277643640968634,44.971138,4.199993,98.77960975424757,First,non,InsideOvertaking, False
