turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.140830220199433,20.327721365576377,22.182185657542004,0.0602827,1,99.99201513709734,First,SpeedUp,non, False
2, 21.107375462042175,20.295553328886704,22.182185657542004,0.18084809,1,99.98669418966307,First,SpeedUp,non, False
3, 21.100147555982012,20.288603419213473,22.182185657542004,0.36169618,1,99.9834795939945,First,SpeedUp,non, False
4, 21.12840888120943,20.315777770393684,22.182185657542004,0.60282695,1,99.98185508740396,First,SpeedUp,non, False
5, 21.205953634114802,20.390340032802694,22.182185657542004,0.9042405,1,99.98126998969127,First,SpeedUp,non, False
6, 21.16184172912324,20.347924739541575,22.182185657542004,1.2659367,1,99.98121492167124,First,SpeedUp,non, False
7, 21.183866120100017,20.36910203855771,22.182185657542004,1.6879157,1,99.98113920314373,First,SpeedUp,non, False
8, 21.114547000675145,20.302449039110716,22.182185657542004,2.1701772,1,99.98051968791852,First,SpeedUp,non, False
9, 21.14932611662867,20.33589049675834,22.182185657542004,2.7127216,1,99.97880569579544,First,SpeedUp,non, False
10, 21.14242801393199,20.329257705703835,22.182185657542004,3.3155487,1,99.97547408058433,First,SpeedUp,non, False
11, 21.103218486623945,20.29155623713841,22.182185657542004,3.9786584,1,99.97000169609501,First,SpeedUp,non, False
12, 21.19983719523411,20.38445884157126,22.182185657542004,4.7020507,1,99.9618378621273,First,SpeedUp,non, False
13, 21.116046463615124,20.30389083039916,22.182185657542004,5.485726,1,99.95045943249102,First,SpeedUp,non, False
14, 21.199346741358042,20.383987251305808,22.182185657542004,6.329684,1,99.93533637749347,First,SpeedUp,non, False
15, 21.13830618032374,20.325294404157443,22.182185657542004,7.2339244,1,99.91591113343202,First,SpeedUp,non, False
16, 21.183819436585047,20.369057150562544,22.182185657542004,8.198447,1,99.89168120462395,First,SpeedUp,non, False
17, 21.19432934223103,20.379162829068296,22.182185657542004,9.223253,1,99.8620890273666,First,SpeedUp,non, False
18, 21.168455587764424,20.354284219004253,22.182185657542004,10.308342,1,99.8266183389723,First,SpeedUp,non, False
19, 21.10955745083853,20.297651395037047,22.182185657542004,11.39043,1,99.79145052468809,First,SpeedUp,non, False
20, 21.170082179796886,20.355848249804698,22.182185657542004,12.469519,1,99.75657870101149,First,SpeedUp,non, False
21, 21.162791329128336,20.34883781646955,22.182185657542004,13.545608,1,99.72202351844999,First,SpeedUp,non, False
22, 21.109480055507536,20.29757697644955,22.182185657542004,14.618696,1,99.68775744299359,First,SpeedUp,non, False
23, 21.133174996651146,20.320360573703024,22.182185657542004,15.688785,1,99.65380112514978,First,SpeedUp,non, False
24, 21.161570052287125,20.34766351181454,22.182185657542004,16.755873,1,99.62013391441107,First,SpeedUp,non, False
25, 21.11556380794931,20.3034267384128,22.182185657542004,17.819962,1,99.58676957778248,First,SpeedUp,non, False
26, 21.12764857961393,20.315046711167238,22.182185657542004,18.88105,1,99.55370811526397,First,SpeedUp,non, False
27, 21.101935072807752,20.290322185392068,22.182185657542004,19.939138,1,99.52093575985056,First,SpeedUp,non, False
28, 21.120328150761424,20.308007837270598,22.182185657542004,20.994226,1,99.48845251154225,First,SpeedUp,non, False
29, 21.15636130811276,20.342655103954577,22.182185657542004,22.049599,1,99.45595549622894,First,SpeedUp,non, False
30, 21.178714457353916,20.364148516686456,22.182185657542004,23.105253,1,99.42341717990061,First,SpeedUp,non, False
31, 21.13655925098201,20.323614664405778,22.182185657542004,24.16119,1,99.39085821306477,First,SpeedUp,non, False
32, 21.177553883425183,20.363032580216522,22.182185657542004,25.21741,1,99.35827171221894,First,SpeedUp,non, False
33, 21.14781389876162,20.334436441116942,22.182185657542004,26.27391,1,99.32565079386058,First,SpeedUp,non, False
34, 21.112310772855036,20.30029882005292,22.182185657542004,27.327412,1,99.29333274961232,First,SpeedUp,non, False
35, 21.132011434589394,20.319241764028263,22.182185657542004,28.381197,1,99.26098028785155,First,SpeedUp,non, False
36, 21.119544212713887,20.307254050686428,22.182185657542004,29.435265,1,99.22859340857828,First,SpeedUp,non, False
37, 21.09875853793105,20.287267824933704,22.182185657542004,30.489614,1,99.1961858787975,First,SpeedUp,non, False
38, 21.135183752979298,20.322292070172402,22.182185657542004,31.544247,1,99.1637576985092,First,SpeedUp,non, False
39, 21.200446390709594,20.385044606451533,22.182185657542004,32.599163,1,99.13128821720589,First,SpeedUp,non, False
40, 21.082348182462486,20.271488636983158,22.182185657542004,33.651077,1,99.09911472651018,First,SpeedUp,non, False
41, 21.204787669015193,20.389218912514607,22.182185657542004,34.703274,1,99.06692746880947,First,SpeedUp,non, False
42, 21.13252895909453,20.31973938374474,22.182185657542004,35.755756,1,99.03470579359625,First,SpeedUp,non, False
43, 21.128339084655632,20.315710658322722,22.182185657542004,36.80852,1,99.00244970087051,First,SpeedUp,non, False
44, 21.179294514263628,20.364706263715025,22.182185657542004,37.86157,1,98.97017295763727,First,SpeedUp,non, False
45, 21.13820756787747,20.325199584497565,22.182185657542004,38.914898,1,98.93786179689151,First,SpeedUp,non, False
46, 21.20784526388648,20.392158907583152,22.182185657542004,39.96851,1,98.90552998563825,First,SpeedUp,non, False
47, 21.143057209130756,20.329862701087265,22.182185657542004,41.022404,1,98.873170640375,First,SpeedUp,non, False
48, 21.185421287595478,20.37059739191873,22.182185657542004,42.07658,1,98.8407837611017,First,SpeedUp,non, False
49, 21.105732469428254,20.293973528296398,22.182185657542004,43.13104,1,98.80835558081341,First,SpeedUp,non, False
50, 21.18155526271648,20.366880060304307,22.182185657542004,44.18578,1,98.77591363352012,First,SpeedUp,non, False
51, 21.17756831867579,20.36304646026518,22.182185657542004,45.240807,1,98.74344415221681,First,SpeedUp,non, False
52, 21.20142807316092,20.3859885318855,22.182185657542004,46.296116,1,98.71094025340099,First,SpeedUp,non, False
53, 21.135440244272175,20.322538696415553,22.182185657542004,47.351707,1,98.67841570407768,First,SpeedUp,non, False
54, 21.158077071058948,20.344304876018217,22.182185657542004,48.40758,1,98.64586362074434,First,SpeedUp,non, False
55, 21.151826123945327,20.33829434994743,22.182185657542004,49.463737,1,98.61327023639599,First,SpeedUp,non, False
56, 21.170357464262633,20.356112946406377,22.182185657542004,50.520176,1,98.58066308504264,First,SpeedUp,non, False
57, 21.180104261298858,20.365484866633516,22.182185657542004,51.576897,1,98.54802839967928,First,SpeedUp,non, False
58, 21.115007616281815,20.302891938732515,22.182185657542004,52.63062,1,98.51568970492352,First,SpeedUp,non, False
59, 21.183292843771998,20.368550811319228,22.182185657542004,53.684624,1,98.48331659265524,First,SpeedUp,non, False
60, 21.208169064896992,20.392470254708645,22.182185657542004,54.73891,1,98.45090906287446,First,SpeedUp,non, False
61, 21.10261716361022,20.290978041932902,22.182185657542004,55.79348,1,98.41848088258617,First,SpeedUp,non, False
62, 21.127065125010137,20.314485697125132,22.182185657542004,56.84833,1,98.38603205179037,First,SpeedUp,non, False
63, 21.090574777804036,20.279398824811572,22.182185657542004,57.900185,1,98.35385856109465,First,SpeedUp,non, False
64, 21.19812129897978,20.382808941326708,22.182185657542004,58.95232,1,98.32167130339396,First,SpeedUp,non, False
65, 21.212786937135995,20.396910516476918,22.182185657542004,60.004738,1,98.28945651168323,First,SpeedUp,non, False
66, 21.180629256805446,20.365989670005234,22.182185657542004,61.057438,1,98.2572141859625,First,SpeedUp,non, False
67, 21.137762861625685,20.32477198233239,22.182185657542004,62.11042,1,98.22493744272926,First,SpeedUp,non, False
68, 21.10833442593865,20.296475409556393,22.182185657542004,63.163685,1,98.192633165486,First,SpeedUp,non, False
69, 21.212290780717215,20.39643344299732,22.182185657542004,64.21723,1,98.16030823773525,First,SpeedUp,non, False
70, 21.20496399567901,20.38938845738366,22.182185657542004,65.271065,1,98.12795577597448,First,SpeedUp,non, False
