turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 21.959382575838692,21.114790938306434,23.05898485834394,0.060241867,2,99.98445893665466,First,SpeedUp,non, False
2, 22.052189411694844,21.20402828047581,23.05898485834394,0.1807256,2,99.97358338787085,First,SpeedUp,non, False
3, 21.92428386258278,21.081042175560363,23.05898485834394,0.3614512,2,99.96652120487019,First,SpeedUp,non, False
4, 21.93017413623797,21.086705900228814,23.05898485834394,0.60241866,2,99.96246284631326,First,SpeedUp,non, False
5, 22.045284658619934,21.19738909482686,23.05898485834394,0.903628,2,99.96057746714114,First,SpeedUp,non, False
6, 21.938804536507547,21.095004362026486,23.05898485834394,1.2650793,2,99.96003422229494,First,SpeedUp,non, False
7, 22.018944077319155,21.17206161280688,23.05898485834394,1.6867723,2,99.96003422229494,First,SpeedUp,non, False
8, 21.945910279944762,21.101836807639195,23.05898485834394,2.1687074,2,99.95973597022251,First,SpeedUp,non, False
9, 22.001743392078122,21.155522492382808,23.05898485834394,2.710884,2,99.95829796915902,First,SpeedUp,non, False
10, 22.024152082474288,21.17706931007143,23.05898485834394,3.3133028,2,99.95492132962478,First,SpeedUp,non, False
11, 22.010675731736512,21.164111280515876,23.05898485834394,3.9759634,2,99.94877520656085,First,SpeedUp,non, False
12, 21.98907519804013,21.143341536577047,23.05898485834394,4.698866,2,99.93901810304864,First,SpeedUp,non, False
13, 21.956920227968073,21.112423296123147,23.05898485834394,5.4820104,2,99.92485112960841,First,SpeedUp,non, False
14, 21.989716307395362,21.143957987880157,23.05898485834394,6.3253965,2,99.90544344118128,First,SpeedUp,non, False
15, 22.003017840235763,21.15674792330362,23.05898485834394,7.2290244,2,99.87995354084859,First,SpeedUp,non, False
16, 22.039179895421103,21.191519130212598,23.05898485834394,8.192894,2,99.8475612354112,First,SpeedUp,non, False
17, 22.029322616734692,21.182040977629512,23.05898485834394,9.217006,2,99.80745698352966,First,SpeedUp,non, False
18, 22.052664306856492,21.204484910438936,23.05898485834394,10.301359,2,99.75880994014506,First,SpeedUp,non, False
19, 21.929106077544972,21.08567892071632,23.05898485834394,11.445954,2,99.7007892601985,First,SpeedUp,non, False
20, 22.0477068578673,21.199718132564712,23.05898485834394,12.58755,2,99.64325856579951,First,SpeedUp,non, False
21, 21.96620833263436,21.121354165994575,23.05898485834394,13.726146,2,99.58620720508834,First,SpeedUp,non, False
22, 21.958286414492836,21.11373693701234,23.05898485834394,14.861741,2,99.52964582992473,First,SpeedUp,non, False
23, 21.96585352480609,21.12101300462124,23.05898485834394,15.994337,2,99.47355313658922,First,SpeedUp,non, False
24, 21.925374086264057,21.082090467561592,23.05898485834394,17.123932,2,99.41793977694152,First,SpeedUp,non, False
25, 21.955718839985085,21.111268115370272,23.05898485834394,18.250526,2,99.36280575098166,First,SpeedUp,non, False
26, 22.057160834207387,21.20880849443018,23.05898485834394,19.374123,2,99.30815105870964,First,SpeedUp,non, False
27, 21.98943606032115,21.143688519539566,23.05898485834394,20.494719,2,99.2539650482657,First,SpeedUp,non, False
28, 22.019649490195896,21.17273989441913,23.05898485834394,21.612314,2,99.20024771964987,First,SpeedUp,non, False
29, 21.96509510221243,21.120283752127335,23.05898485834394,22.72691,2,99.14699907286212,First,SpeedUp,non, False
30, 22.056567305239117,21.20823779349915,23.05898485834394,23.838505,2,99.09420845604275,First,SpeedUp,non, False
31, 21.99086383443876,21.145061379268036,23.05898485834394,24.9471,2,99.04188652105148,First,SpeedUp,non, False
32, 22.001384573935766,21.155177474938235,23.05898485834394,26.052694,2,98.9900332678883,First,SpeedUp,non, False
33, 22.02955100315376,21.18226057995554,23.05898485834394,27.15529,2,98.93863804469349,First,SpeedUp,non, False
34, 22.042073902459265,21.194301829287753,23.05898485834394,28.254887,2,98.88769019960732,First,SpeedUp,non, False
35, 22.02875969270684,21.181499704525805,23.05898485834394,29.354725,2,98.83671039894196,First,SpeedUp,non, False
36, 22.03055201892332,21.183223095118578,23.05898485834394,30.454803,2,98.78569864269741,First,SpeedUp,non, False
37, 21.93306136227443,21.089482079110027,23.05898485834394,31.551884,2,98.73513426456151,First,SpeedUp,non, False
38, 21.93877347904282,21.094974499079633,23.05898485834394,32.64596,2,98.68502791639398,First,SpeedUp,non, False
39, 21.992390112946612,21.146528954756356,23.05898485834394,33.740284,2,98.63487896078752,First,SpeedUp,non, False
40, 21.994391974614224,21.148453821744447,23.05898485834394,34.834846,2,98.58469804960187,First,SpeedUp,non, False
41, 22.0499697244011,21.20189396577029,23.05898485834394,35.929653,2,98.53448518283703,First,SpeedUp,non, False
42, 22.000573620236015,21.154397711765398,23.05898485834394,37.0247,2,98.48422970863328,First,SpeedUp,non, False
43, 22.048070772233462,21.20006805022448,23.05898485834394,38.119987,2,98.43394227885034,First,SpeedUp,non, False
44, 22.05588011449136,21.207577033164767,23.05898485834394,39.21552,2,98.38362289348821,First,SpeedUp,non, False
45, 22.02964495587896,21.182350919114384,23.05898485834394,40.31129,2,98.33326090068716,First,SpeedUp,non, False
46, 21.970937560883947,21.12590150084995,23.05898485834394,41.407307,2,98.28286695230693,First,SpeedUp,non, False
47, 22.01376533007821,21.167082048152125,23.05898485834394,42.503563,2,98.23241974462805,First,SpeedUp,non, False
48, 21.97138619058493,21.126332875562433,23.05898485834394,43.60006,2,98.18195123322971,First,SpeedUp,non, False
49, 21.962402387053245,21.117694602935813,23.05898485834394,44.6968,2,98.13144011439245,First,SpeedUp,non, False
50, 21.931578189260243,21.08805595121177,23.05898485834394,45.79054,2,98.08138702552355,First,SpeedUp,non, False
51, 21.957234034565044,21.11272503323562,23.05898485834394,46.88452,2,98.03129132921575,First,SpeedUp,non, False
52, 22.007042940885615,21.160618212390013,23.05898485834394,47.978745,2,97.98116367732875,First,SpeedUp,non, False
53, 22.023187109041316,21.176141451001264,23.05898485834394,49.07321,2,97.93100406986255,First,SpeedUp,non, False
54, 22.00330090474373,21.157020100715123,23.05898485834394,50.16792,2,97.88080185495745,First,SpeedUp,non, False
55, 21.999513631739763,21.153378492057463,23.05898485834394,51.262867,2,97.83056768447317,First,SpeedUp,non, False
56, 22.0334703719582,21.18602920380596,23.05898485834394,52.35806,2,97.78029090654995,First,SpeedUp,non, False
57, 22.00105323151131,21.154858876453183,23.05898485834394,53.45349,2,97.72998217304755,First,SpeedUp,non, False
58, 22.01605104639124,21.16927985229927,23.05898485834394,54.549168,2,97.67963083210623,First,SpeedUp,non, False
59, 21.965834055474005,21.12099428410962,23.05898485834394,55.645084,2,97.62924753558572,First,SpeedUp,non, False
60, 21.975668517730075,21.130450497817378,23.05898485834394,56.74124,2,97.5788216316263,First,SpeedUp,non, False
61, 22.01720311890124,21.170387614328114,23.05898485834394,57.837643,2,97.52837442394741,First,SpeedUp,non, False
62, 21.994230014923158,21.148298091272267,23.05898485834394,58.934284,2,97.47787395696989,First,SpeedUp,non, False
63, 21.99124695608073,21.14542976546224,23.05898485834394,60.03117,2,97.42734153441317,First,SpeedUp,non, False
64, 21.997244839281556,21.15119696084765,23.05898485834394,61.128296,2,97.37677715627726,First,SpeedUp,non, False
65, 22.058616832741322,21.210208493020502,23.05898485834394,62.225662,2,97.32617017070244,First,SpeedUp,non, False
66, 21.99793978015985,21.151865173230625,23.05898485834394,63.323273,2,97.27553122954842,First,SpeedUp,non, False
67, 21.951318909650325,21.107037413125312,23.05898485834394,64.417885,2,97.22535031836277,First,SpeedUp,non, False
68, 22.021259931271363,21.17428839545323,23.05898485834394,65.51273,2,97.17511614787848,First,SpeedUp,non, False
69, 21.97126245878344,21.126213902676383,23.05898485834394,66.60783,2,97.12486067367473,First,SpeedUp,non, False
70, 22.020741947960655,21.173790334577554,23.05898485834394,67.70316,2,97.07456259203207,First,SpeedUp,non, False
71, 21.93286265144338,21.089291011003247,23.05898485834394,68.79874,2,97.0242325548102,First,SpeedUp,non, False
