turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.639860555851236,19.639860555851236,21.439588509436895,0.060358603,1,99.97468947982661,First,non,non, False
2, 19.70743832647536,19.70743832647536,21.439588509436895,0.18107581,1,99.9569648216072,First,non,non, False
3, 19.660718231819196,19.660718231819196,21.439588509436895,0.36215162,1,99.9454922474158,First,non,non, False
4, 19.728274333944604,19.728274333944604,21.439588509436895,0.603586,1,99.9389067189063,First,non,non, False
5, 19.728065715930786,19.728065715930786,21.439588509436895,0.90537906,1,99.93586403801267,First,non,non, False
6, 19.677388012164784,19.677388012164784,21.439588509436895,1.2675307,1,99.93499916638879,First,non,non, False
7, 19.657401266055565,19.657401266055565,21.439588509436895,1.6900408,1,99.93499916638879,First,non,non, False
8, 19.682685985061834,19.682685985061834,21.439588509436895,2.1729097,1,99.93447815938646,First,non,non, False
9, 19.671277845099244,19.671277845099244,21.439588509436895,2.7161372,1,99.93210236745581,First,non,non, False
10, 19.61509904718217,19.61509904718217,21.439588509436895,3.3197231,1,99.9265171723908,First,non,non, False
11, 19.636020592545677,19.636020592545677,21.439588509436895,3.9836679,1,99.91637837612538,First,non,non, False
12, 19.703596037344198,19.703596037344198,21.439588509436895,4.707971,1,99.90034178059354,First,non,non, False
13, 19.625400883171594,19.625400883171594,21.439588509436895,5.492633,1,99.8770319273091,First,non,non, False
14, 19.611169647453988,19.611169647453988,21.439588509436895,6.337653,1,99.84513587862621,First,non,non, False
15, 19.71592167555719,19.71592167555719,21.439588509436895,7.2430325,1,99.80326775591864,First,non,non, False
16, 19.717099039038132,19.717099039038132,21.439588509436895,8.20877,1,99.75009378126042,First,non,non, False
17, 19.61432989394431,19.61432989394431,21.439588509436895,9.234866,1,99.68426975658552,First,non,non, False
18, 19.703001620493858,19.703001620493858,21.439588509436895,10.257962,1,99.61911262087362,First,non,non, False
19, 19.67304348069808,19.67304348069808,21.439588509436895,11.278058,1,99.55460153384462,First,non,non, False
20, 19.678451285273354,19.678451285273354,21.439588509436895,12.295155,1,99.4907573357786,First,non,non, False
21, 19.66953761747976,19.66953761747976,21.439588509436895,13.309251,1,99.42754876625541,First,non,non, False
22, 19.622270340587004,19.622270340587004,21.439588509436895,14.320347,1,99.36499666555518,First,non,non, False
23, 19.70876945391703,19.70876945391703,21.439588509436895,15.328444,1,99.30309061353785,First,non,non, False
24, 19.66732586235625,19.66732586235625,21.439588509436895,16.33354,1,99.24182019006335,First,non,non, False
25, 19.613721956854143,19.613721956854143,21.439588509436895,17.335636,1,99.18119581527176,First,non,non, False
26, 19.62345607617463,19.62345607617463,21.439588509436895,18.334732,1,99.12119664888296,First,non,non, False
27, 19.726754690315563,19.726754690315563,21.439588509436895,19.330828,1,99.06183311103702,First,non,non, False
28, 19.647547177576357,19.647547177576357,21.439588509436895,20.323923,1,99.00309478159386,First,non,non, False
29, 19.720776155195836,19.720776155195836,21.439588509436895,21.31402,1,98.94498166055352,First,non,non, False
30, 19.676764171543102,19.676764171543102,21.439588509436895,22.301117,1,98.88748332777593,First,non,non, False
31, 19.71827825348223,19.71827825348223,21.439588509436895,23.285213,1,98.83062062354118,First,non,non, False
