turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 19.532310614773944,19.532310614773944,21.404105511894148,0.060425133,1,99.98043373207082,First,non,non, False
2, 19.62291713413711,19.62291713413711,21.404105511894148,0.1812754,1,99.96696933830121,First,non,non, False
3, 19.629685097044465,19.629685097044465,21.404105511894148,0.3625508,1,99.95846873599282,First,non,non, False
4, 19.63308911329039,19.63308911329039,21.404105511894148,0.6042513,1,99.95378508796504,First,non,non, False
5, 19.626474961176857,19.626474961176857,21.404105511894148,0.90637696,1,99.95180657496638,First,non,non, False
6, 19.56126815719598,19.56126815719598,21.404105511894148,1.2689278,1,99.95137760533393,First,non,non, False
7, 19.51560679265781,19.51560679265781,21.404105511894148,1.6919037,1,99.95136885085164,First,non,non, False
8, 19.594174568181142,19.594174568181142,21.404105511894148,2.175305,1,99.95064222882115,First,non,non, False
9, 19.63255725228248,19.63255725228248,21.404105511894148,2.719131,1,99.94805965654416,First,non,non, False
10, 19.60644320439665,19.60644320439665,21.404105511894148,3.3233824,1,99.94248305132228,First,non,non, False
11, 19.631729274575147,19.631729274575147,21.404105511894148,3.9880588,1,99.93278308493949,First,non,non, False
12, 19.534191291345046,19.534191291345046,21.404105511894148,4.7131605,1,99.91781292021516,First,non,non, False
13, 19.584318108428896,19.584318108428896,21.404105511894148,5.4986873,1,99.89644322893322,First,non,non, False
14, 19.61544740443705,19.61544740443705,21.404105511894148,6.3446393,1,99.86754468287764,First,non,non, False
15, 19.62905189701704,19.62905189701704,21.404105511894148,7.251016,1,99.82997044486777,First,non,non, False
16, 19.619341742887798,19.619341742887798,21.404105511894148,8.217818,1,99.782573677723,First,non,non, False
17, 19.58530817622045,19.58530817622045,21.404105511894148,9.245046,1,99.72424256219185,First,non,non, False
18, 19.5677127257886,19.5677127257886,21.404105511894148,10.269273,1,99.66648048800987,First,non,non, False
19, 19.610517403968785,19.610517403968785,21.404105511894148,11.2905,1,99.60927870069476,First,non,non, False
20, 19.532868832977844,19.532868832977844,21.404105511894148,12.308727,1,99.55264595472882,First,non,non, False
21, 19.604754829378763,19.604754829378763,21.404105511894148,13.323955,1,99.49657349562976,First,non,non, False
22, 19.616623085087145,19.616623085087145,21.404105511894148,14.336182,1,99.44106132339758,First,non,non, False
23, 19.54089376655052,19.54089376655052,21.404105511894148,15.345409,1,99.38610943803228,First,non,non, False
24, 19.616301481880477,19.616301481880477,21.404105511894148,16.351637,1,99.33170908505154,First,non,non, False
25, 19.600864433374372,19.600864433374372,21.404105511894148,17.354864,1,99.2778515099731,First,non,non, False
26, 19.57076771641046,19.57076771641046,21.404105511894148,18.355091,1,99.22454546727926,First,non,non, False
27, 19.62468777276981,19.62468777276981,21.404105511894148,19.352318,1,99.17179095696997,First,non,non, False
28, 20.91777948945373,19.539275233684013,21.404105511894148,20.348717,0.95,99.11894890183774,First,non,InsideOvertaking, False
29, 19.970841783745943,19.64002561781314,21.404105511894148,21.345541,0.9,99.06604556532945,First,non,InsideOvertaking, False
30, 21.328140097648713,19.538364864447647,21.404105511894148,22.34279,0.84999996,99.0130546839982,First,non,InsideOvertaking, False
31, 20.983415497219788,19.583957942263616,21.404105511894148,23.340466,0.79999995,98.95998501232631,First,non,InsideOvertaking, False
32, 19.957775172321032,19.578606019403853,21.404105511894148,24.335138,0.74999994,98.907466873039,First,non,InsideOvertaking, False
33, 20.534638155882057,19.585452156783912,21.404105511894148,25.330236,0.6999999,98.85486118892874,First,non,InsideOvertaking, False
34, 20.115794258957614,19.521076948665016,21.404105511894148,26.32576,0.6499999,98.8021854689601,First,non,InsideOvertaking, False
35, 19.861759405058603,19.52100819825579,21.404105511894148,27.31828,0.5999999,98.75004377241147,First,non,InsideOvertaking, False
36, 20.340150524929413,19.553967407969353,21.404105511894148,28.311224,0.5499999,98.69783204000449,First,non,InsideOvertaking, False
37, 19.623145538952432,19.623145538952432,21.404105511894148,29.302427,0.5499999,98.64616308549978,First,non,non, False
38, 19.591284713031804,19.591284713031804,21.404105511894148,30.29063,0.5499999,98.59502815441506,First,non,non, False
39, 19.577383970583615,19.577383970583615,21.404105511894148,31.275833,0.5499999,98.54442724675035,First,non,non, False
40, 19.57485224311135,19.57485224311135,21.404105511894148,32.258038,0.5499999,98.49435160802331,First,non,non, False
41, 19.61233209371344,19.61233209371344,21.404105511894148,33.23724,0.5499999,98.44481874719857,First,non,non, False
42, 19.55667170466,19.55667170466,21.404105511894148,34.213444,0.5499999,98.39580240082923,First,non,non, False
43, 19.627955214306,19.627955214306,21.404105511894148,35.19007,0.5499999,98.34670726411923,First,non,non, False
44, 19.60489719503617,19.60489719503617,21.404105511894148,36.167126,0.5499999,98.29753333706859,First,non,non, False
45, 19.553851586016435,19.553851586016435,21.404105511894148,37.144604,0.5499999,98.24829812864186,First,non,non, False
46, 19.632449953413087,19.632449953413087,21.404105511894148,38.12251,0.5499999,98.1989841298745,First,non,non, False
47, 19.560865950964494,19.560865950964494,21.404105511894148,39.100838,0.5499999,98.14959134076648,First,non,non, False
48, 19.517410630684598,19.517410630684598,21.404105511894148,40.076168,0.5499999,98.10073257507844,First,non,non, False
49, 19.64215032782464,19.64215032782464,21.404105511894148,41.05192,0.5499999,98.05178626456745,First,non,non, False
50, 19.540118884752275,19.540118884752275,21.404105511894148,42.0281,0.5499999,98.00277867268042,First,non,non, False
51, 19.61823232248094,19.61823232248094,21.404105511894148,43.004704,0.5499999,97.95369229045271,First,non,non, False
52, 19.51931903092744,19.51931903092744,21.404105511894148,43.97831,0.5499999,97.90513117716272,First,non,non, False
53, 19.58146314059478,19.58146314059478,21.404105511894148,44.95234,0.5499999,97.85649127353206,First,non,non, False
54, 19.543161913057915,19.543161913057915,21.404105511894148,45.926792,0.5499999,97.80778133404303,First,non,non, False
55, 19.57094481821884,19.57094481821884,21.404105511894148,46.901672,0.5499999,97.75899260421336,First,non,non, False
56, 19.57775243889126,19.57775243889126,21.404105511894148,47.876976,0.5499999,97.71013383852532,First,non,non, False
57, 19.573480857757332,19.573480857757332,21.404105511894148,48.852707,0.5499999,97.66119628249665,First,non,non, False
58, 19.61611260394122,19.61611260394122,21.404105511894148,49.82886,0.5499999,97.6121886906096,First,non,non, False
59, 19.643176281497333,19.643176281497333,21.404105511894148,50.805443,0.5499999,97.5631023083819,First,non,non, False
60, 19.576299988154325,19.576299988154325,21.404105511894148,51.782448,0.5499999,97.51394589029583,First,non,non, False
61, 19.612548988307108,19.612548988307108,21.404105511894148,52.75988,0.5499999,97.46471943635142,First,non,non, False
62, 19.53945258271231,19.53945258271231,21.404105511894148,53.73431,0.5499999,97.4160094968624,First,non,non, False
63, 19.578636313884477,19.578636313884477,21.404105511894148,54.709167,0.5499999,97.36722076703272,First,non,non, False
64, 19.61992578458914,19.61992578458914,21.404105511894148,55.68445,0.5499999,97.31837075582699,First,non,non, False
65, 19.578491004663096,19.578491004663096,21.404105511894148,56.660152,0.5499999,97.2694419542806,First,non,non, False
66, 19.64102289657685,19.64102289657685,21.404105511894148,57.636284,0.5499999,97.22043436239355,First,non,non, False
67, 19.57056583064667,19.57056583064667,21.404105511894148,58.61284,0.5499999,97.17135673464814,First,non,non, False
68, 19.597052296645266,19.597052296645266,21.404105511894148,59.58982,0.5499999,97.12220031656209,First,non,non, False
69, 19.551070879686453,19.551070879686453,21.404105511894148,60.567226,0.5499999,97.07297386261766,First,non,non, False
70, 19.638388145601816,19.638388145601816,21.404105511894148,61.54506,0.5499999,97.0236686183326,First,non,non, False
71, 19.55643425986957,19.55643425986957,21.404105511894148,62.51989,0.5499999,96.9748886429852,First,non,non, False
72, 19.551775738198824,19.551775738198824,21.404105511894148,63.495148,0.5499999,96.92604738626177,First,non,non, False
73, 19.625079307248644,19.625079307248644,21.404105511894148,64.47083,0.5499999,96.87711858471538,First,non,non, False
74, 19.542519815843406,19.542519815843406,21.404105511894148,65.44694,0.5499999,96.82811974731062,First,non,non, False
75, 19.518493121424424,19.518493121424424,21.404105511894148,66.420044,0.5499999,96.77963742436127,First,non,non, False
76, 19.57252345464832,19.57252345464832,21.404105511894148,67.39358,0.5499999,96.73108506555357,First,non,non, False
77, 19.553424671517508,19.553424671517508,21.404105511894148,68.36754,0.5499999,96.6824626708875,First,non,non, False
78, 19.62052754960594,19.62052754960594,21.404105511894148,69.34192,0.5499999,96.63376148588077,First,non,non, False
79, 19.628746522947242,19.628746522947242,21.404105511894148,70.31673,0.5499999,96.58499026501569,First,non,non, False
80, 19.560209100719078,19.560209100719078,21.404105511894148,71.29196,0.5499999,96.53614025380995,First,non,non, False
81, 19.541960520652214,19.541960520652214,21.404105511894148,72.26762,0.5499999,96.48722020674586,First,non,non, False
82, 19.61642350175771,19.61642350175771,21.404105511894148,73.2437,0.5499999,96.43822136934111,First,non,non, False
83, 19.549799758293762,19.549799758293762,21.404105511894148,74.22021,0.5499999,96.3891437415957,First,non,non, False
84, 19.60773876654076,19.60773876654076,21.404105511894148,75.19714,0.5499999,96.34000483247424,First,non,non, False
85, 19.548521984221793,19.548521984221793,21.404105511894148,76.1745,0.5499999,96.2907871330121,First,non,non, False
86, 19.589104003687332,19.589104003687332,21.404105511894148,77.15228,0.5499999,96.24149064320933,First,non,non, False
87, 19.590975801250032,19.590975801250032,21.404105511894148,78.13049,0.5499999,96.19212411754819,First,non,non, False
88, 19.628891459933715,19.628891459933715,21.404105511894148,79.10912,0.5499999,96.1426788015464,First,non,non, False
