turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.080778613527542,18.080778613527542,19.780246289414734,0.060369987,3,99.99340897365866,First,non,non, False
2, 18.110411065191535,18.110411065191535,19.780246289414734,0.18110996,3,99.98935952294246,First,non,non, False
3, 18.104153889844852,18.104153889844852,19.780246289414734,0.36221993,3,99.98722573743628,First,non,non, False
4, 18.07937507855152,18.07937507855152,19.780246289414734,0.60369986,3,99.98641015719835,First,non,non, False
5, 18.074294573818428,18.074294573818428,19.780246289414734,0.90554976,3,99.98628687181355,First,non,non, False
6, 18.167323408684652,18.167323408684652,19.780246289414734,1.2677697,3,99.986248937849,First,non,non, False
7, 18.09599436450332,18.09599436450332,19.780246289414734,1.6903596,3,99.98567044488954,First,non,non, False
8, 18.067351018966676,18.067351018966676,19.780246289414734,2.1733196,3,99.98395393299344,First,non,non, False
9, 18.089232239108494,18.089232239108494,19.780246289414734,2.7166495,3,99.98046400825443,First,non,non, False
10, 18.107863094354727,18.107863094354727,19.780246289414734,3.3203495,3,99.97460321073076,First,non,non, False
11, 18.160040544132457,18.160040544132457,19.780246289414734,3.9844193,3,99.96574563000729,First,non,non, False
12, 18.164619971021885,18.164619971021885,19.780246289414734,4.7088594,3,99.95329380614227,First,non,non, False
13, 18.112625677760896,18.112625677760896,19.780246289414734,5.4936695,3,99.9366028617383,First,non,non, False
14, 18.072710629133507,18.072710629133507,19.780246289414734,6.338849,3,99.91510378732703,First,non,non, False
15, 18.125255898217723,18.125255898217723,19.780246289414734,7.244399,3,99.88814222201991,First,non,non, False
16, 18.05845087353092,18.05845087353092,19.780246289414734,8.146949,3,99.86145567795582,First,non,non, False
17, 18.094674804104415,18.094674804104415,19.780246289414734,9.049869,3,99.83475016690944,First,non,non, False
18, 18.17629802131082,18.17629802131082,19.780246289414734,9.953158,3,99.80799723840738,First,non,non, False
19, 18.078592500389494,18.078592500389494,19.780246289414734,10.856818,3,99.78121585943191,First,non,non, False
20, 18.10090602176502,18.10090602176502,19.780246289414734,11.760848,3,99.75439654649188,First,non,non, False
21, 18.168482288118767,18.168482288118767,19.780246289414734,12.665248,3,99.72754878307842,First,non,non, False
22, 18.078915784549206,18.078915784549206,19.780246289414734,13.566648,3,99.70097604090799,First,non,non, False
23, 18.109065421070998,18.109065421070998,19.780246289414734,14.468417,3,99.67437484826415,First,non,non, False
24, 18.088429164885444,18.088429164885444,19.780246289414734,15.370557,3,99.64773572165575,First,non,non, False
25, 18.17396297056244,18.17396297056244,19.780246289414734,16.273067,3,99.6210586610828,First,non,non, False
26, 18.14206449983519,18.14206449983519,19.780246289414734,17.175947,3,99.59435315003643,First,non,non, False
27, 18.15563917605064,18.15563917605064,19.780246289414734,18.079197,3,99.5676097050255,First,non,non, False
28, 18.0954778122503,18.0954778122503,19.780246289414734,18.982817,3,99.54083780954116,First,non,non, False
29, 18.14402874413522,18.14402874413522,19.780246289414734,19.886806,3,99.51401849660112,First,non,non, False
30, 18.073938195836348,18.073938195836348,19.780246289414734,20.787796,3,99.48749317188638,First,non,non, False
31, 18.107786026436862,18.107786026436862,19.780246289414734,21.689156,3,99.46092042971596,First,non,non, False
32, 18.072200584988014,18.072200584988014,19.780246289414734,22.590885,3,99.43431923707212,First,non,non, False
33, 18.073102435507405,18.073102435507405,19.780246289414734,23.492985,3,99.40768959395484,First,non,non, False
34, 18.112551625933374,18.112551625933374,19.780246289414734,24.395454,3,99.38102201687303,First,non,non, False
35, 18.073466536804688,18.073466536804688,19.780246289414734,25.298294,3,99.35431650582666,First,non,non, False
36, 18.084675798560998,18.084675798560998,19.780246289414734,26.201504,3,99.32757306081574,First,non,non, False
37, 18.151907718182507,18.151907718182507,19.780246289414734,27.105083,3,99.3008011653314,First,non,non, False
38, 18.171003264508,18.171003264508,19.780246289414734,28.009033,3,99.2739913358825,First,non,non, False
39, 18.167731282625024,18.167731282625024,19.780246289414734,28.913353,3,99.24715305596018,First,non,non, False
40, 18.102518823151595,18.102518823151595,19.780246289414734,29.818043,3,99.22026735858219,First,non,non, False
41, 18.128557677241172,18.128557677241172,19.780246289414734,30.723103,3,99.19335321073076,First,non,non, False
42, 18.09413261297925,18.09413261297925,19.780246289414734,31.625162,3,99.16671408412236,First,non,non, False
43, 18.116716322852696,18.116716322852696,19.780246289414734,32.52759,3,99.14005599053169,First,non,non, False
44, 18.090003615728026,18.090003615728026,19.780246289414734,33.43039,3,99.11335047948532,First,non,non, False
45, 18.148320536576758,18.148320536576758,19.780246289414734,34.333557,3,99.08661651796552,First,non,non, False
46, 18.095236526008414,18.095236526008414,19.780246289414734,35.237095,3,99.05985410597233,First,non,non, False
47, 18.13334341414112,18.13334341414112,19.780246289414734,36.141003,3,99.0330347930323,First,non,non, False
48, 18.144715200740055,18.144715200740055,19.780246289414734,37.04528,3,99.00620599660112,First,non,non, False
49, 18.13685508566973,18.13685508566973,19.780246289414734,37.94993,3,98.97932029922312,First,non,non, False
50, 18.063952147716982,18.063952147716982,19.780246289414734,38.851578,3,98.95272859007041,First,non,non, False
51, 18.17249489324471,18.17249489324471,19.780246289414734,39.753597,3,98.92610843044429,First,non,non, False
52, 18.07996957177897,18.07996957177897,19.780246289414734,40.655987,3,98.8994503368536,First,non,non, False
53, 18.08235370616215,18.08235370616215,19.780246289414734,41.558746,3,98.87274482580725,First,non,non, False
54, 18.14746519581318,18.14746519581318,19.780246289414734,42.461876,3,98.84601086428745,First,non,non, False
55, 18.12452829796528,18.12452829796528,19.780246289414734,43.365376,3,98.81924845229425,First,non,non, False
56, 18.129402913719993,18.129402913719993,19.780246289414734,44.269245,3,98.7924481063365,First,non,non, False
57, 18.094197553719308,18.094197553719308,19.780246289414734,45.173485,3,98.76560982641418,First,non,non, False
58, 18.059902291377075,18.059902291377075,19.780246289414734,46.074722,3,98.73905605122603,First,non,non, False
59, 18.05614559315047,18.05614559315047,19.780246289414734,46.97633,3,98.71246434207332,First,non,non, False
60, 18.167584435757565,18.167584435757565,19.780246289414734,47.878307,3,98.6858441824472,First,non,non, False
61, 18.076947148943532,18.076947148943532,19.780246289414734,48.780655,3,98.65918608885653,First,non,non, False
62, 18.167886905809922,18.167886905809922,19.780246289414734,49.683372,3,98.6324900613013,First,non,non, False
63, 18.076491848939863,18.076491848939863,19.780246289414734,50.58646,3,98.60576558327264,First,non,non, False
64, 18.153367359693892,18.153367359693892,19.780246289414734,51.489918,3,98.57900317127944,First,non,non, False
65, 18.092849731666846,18.092849731666846,19.780246289414734,52.393745,3,98.55220282532169,First,non,non, False
66, 18.15585687489795,18.15585687489795,19.780246289414734,53.297943,3,98.52536454539937,First,non,non, False
67, 18.083624710033693,18.083624710033693,19.780246289414734,54.199142,3,98.49882025370236,First,non,non, False
68, 18.078382565907138,18.078382565907138,19.780246289414734,55.10071,3,98.47223802804079,First,non,non, False
69, 18.11911430762198,18.11911430762198,19.780246289414734,56.00265,3,98.44561786841467,First,non,non, False
70, 18.11863381731528,18.11863381731528,19.780246289414734,56.90496,3,98.41895977482399,First,non,non, False
71, 18.107263729939522,18.107263729939522,19.780246289414734,57.80764,3,98.3922732307599,First,non,non, False
72, 18.140714305901238,18.140714305901238,19.780246289414734,58.71069,3,98.36554875273126,First,non,non, False
73, 18.148228917066735,18.148228917066735,19.780246289414734,59.61411,3,98.33878634073805,First,non,non, False
74, 18.15593804333386,18.15593804333386,19.780246289414734,60.5179,3,98.31199547827143,First,non,non, False
75, 18.084412958474122,18.084412958474122,19.780246289414734,61.42206,3,98.28515719834913,First,non,non, False
76, 18.098032728223885,18.098032728223885,19.780246289414734,62.326588,3,98.25829995144453,First,non,non, False
77, 18.085434583052248,18.085434583052248,19.780246289414734,63.228115,3,98.23171772578296,First,non,non, False
78, 18.125022925491088,18.125022925491088,19.780246289414734,64.13001,3,98.20510704964798,First,non,non, False
79, 18.112599533466252,18.112599533466252,19.780246289414734,65.03228,3,98.1784489560573,First,non,non, False
80, 18.12711139196652,18.12711139196652,19.780246289414734,65.93492,3,98.15177189548434,First,non,non, False
81, 18.085466991610705,18.085466991610705,19.780246289414734,66.83793,3,98.1250474174557,First,non,non, False
82, 18.114784588380868,18.114784588380868,19.780246289414734,67.74131,3,98.09829448895364,First,non,non, False
83, 18.11975941346778,18.11975941346778,19.780246289414734,68.64506,3,98.07150362648702,First,non,non, False
84, 18.14538507578069,18.14538507578069,19.780246289414734,69.54918,3,98.04467483005584,First,non,non, False
85, 18.137196023720154,18.137196023720154,19.780246289414734,70.45367,3,98.01781758315126,First,non,non, False
86, 18.10229476807593,18.10229476807593,19.780246289414734,71.35853,3,97.99091291879097,First,non,non, False
87, 18.142661418166576,18.142661418166576,19.780246289414734,72.263756,3,97.96397980395727,First,non,non, False
88, 18.156640520842316,18.156640520842316,19.780246289414734,73.16936,3,97.93701823865017,First,non,non, False
89, 18.171274982714813,18.171274982714813,19.780246289414734,74.075325,3,97.9100187393785,First,non,non, False
90, 18.158329909244106,18.158329909244106,19.780246289414734,74.98167,3,97.88298130614227,First,non,non, False
91, 18.102945727775126,18.102945727775126,19.780246289414734,75.885,3,97.8562283776402,First,non,non, False
92, 18.08872322324946,18.08872322324946,19.780246289414734,76.78871,3,97.8294375151736,First,non,non, False
93, 18.13535817124512,18.13535817124512,19.780246289414734,77.69279,3,97.80261820223356,First,non,non, False
94, 18.172093695278726,18.172093695278726,19.780246289414734,78.59724,3,97.77576095532896,First,non,non, False
95, 18.068517372154183,18.068517372154183,19.780246289414734,79.49869,3,97.74918821315853,First,non,non, False
96, 18.12983706176959,18.12983706176959,19.780246289414734,80.400505,3,97.72257753702355,First,non,non, False
97, 18.103616192575856,18.103616192575856,19.780246289414734,81.3027,3,97.69592892692401,First,non,non, False
98, 18.088882329221242,18.088882329221242,19.780246289414734,82.20525,3,97.6692613498422,First,non,non, False
99, 18.139961916929337,18.139961916929337,19.780246289414734,83.108185,3,97.64254635530469,First,non,non, False
100, 18.07175425748811,18.07175425748811,19.780246289414734,84.01148,3,97.61579342680263,First,non,non, False
101, 18.15780507951397,18.15780507951397,19.780246289414734,84.91515,3,97.58901204782715,First,non,non, False
102, 18.162944575988213,18.162944575988213,19.780246289414734,85.81919,3,97.56219273488712,First,non,non, False
103, 18.09667315151255,18.09667315151255,19.780246289414734,86.7236,3,97.53534497147366,First,non,non, False
104, 18.116346093667335,18.116346093667335,19.780246289414734,87.62838,3,97.50845927409566,First,non,non, False
105, 18.110827031104648,18.110827031104648,19.780246289414734,88.53353,3,97.4815356427531,First,non,non, False
106, 18.126632688581466,18.126632688581466,19.780246289414734,89.43905,3,97.45457407744598,First,non,non, False
107, 18.17183817994123,18.17183817994123,19.780246289414734,90.34494,3,97.42757457817432,First,non,non, False
108, 18.07062638692197,18.07062638692197,19.780246289414734,91.247826,3,97.40085958363682,First,non,non, False
109, 18.09320813332311,18.09320813332311,19.780246289414734,92.151085,3,97.37412562211702,First,non,non, False
110, 18.15580304774791,18.15580304774791,19.780246289414734,93.05471,3,97.34734424314155,First,non,non, False
111, 18.0839749111466,18.0839749111466,19.780246289414734,93.95871,3,97.32052493020151,First,non,non, False
