turn, targetSpeed, defaultTargetSpeed, spurtTargetSpeed, currPosition.x, currPosition.Y, currStamina(%), coursePhase, positionKeep, forceInMove, isSpurt
1, 18.890619316117558,18.890619316117558,20.652039865445126,0.060352955,2,99.98680362482295,First,non,non, False
2, 19.640148300436095,19.007002406416568,20.652039865445126,0.17021613,1.95,99.97799238052772,First,non,InsideOvertaking, False
3, 18.8957578943502,18.8957578943502,20.652039865445126,0.351275,1.95,99.97270563395058,First,non,non, False
4, 18.997192956312993,18.997192956312993,20.652039865445126,0.59268683,1.95,99.97001444770848,First,non,non, False
5, 19.00646252644462,19.00646252644462,20.652039865445126,0.8944516,1.95,99.96907184948155,First,non,non, False
6, 18.96053055994762,18.96053055994762,20.652039865445126,1.2565694,1.95,99.96897622357447,First,non,non, False
7, 18.93665753257712,18.93665753257712,20.652039865445126,1.6790401,1.95,99.96884644555772,First,non,non, False
8, 18.910566231670508,18.910566231670508,20.652039865445126,2.1618638,1.95,99.96780139100177,First,non,non, False
9, 18.902984492823066,18.902984492823066,20.652039865445126,2.7050405,1.95,99.96495310505517,First,non,non, False
10, 18.910846429881058,18.910846429881058,20.652039865445126,3.30857,1.95,99.95941363286646,First,non,non, False
11, 18.899803322456776,18.899803322456776,20.652039865445126,3.9724524,1.95,99.95030868042805,First,non,non, False
12, 18.959140058482046,18.959140058482046,20.652039865445126,4.6966877,1.95,99.93674346246657,First,non,non, False
13, 18.97317365611258,18.97317365611258,20.652039865445126,5.481276,1.95,99.91783685455245,First,non,non, False
14, 18.956489455025892,18.956489455025892,20.652039865445126,6.3262177,1.95,99.89270090183427,First,non,non, False
15, 18.961027686373075,18.961027686373075,20.652039865445126,7.231512,1.95,99.86046131030443,First,non,non, False
16, 18.951144028938845,18.951144028938845,20.652039865445126,8.19716,1.95,99.82022329468954,First,non,non, False
17, 19.00306726417803,19.00306726417803,20.652039865445126,9.159807,1.95,99.78040193481264,First,non,non, False
18, 20.098075056942914,18.93673479266795,20.652039865445126,10.121509,1.9000001,99.74053276198221,First,non,InsideOvertaking, False
19, 19.529267882672634,18.935559184197604,20.652039865445126,11.083563,1.8500001,99.70061577619822,First,non,InsideOvertaking, False
20, 20.12988016979902,18.944201619702984,20.652039865445126,12.045971,1.8000002,99.6606509774607,First,non,InsideOvertaking, False
21, 18.970432853071177,18.970432853071177,20.652039865445126,13.006677,1.8000002,99.62109600403925,First,non,non, False
22, 18.971994826228652,18.971994826228652,20.652039865445126,13.964383,1.8000002,99.58195768635576,First,non,non, False
23, 18.88847988871039,18.88847988871039,20.652039865445126,14.919089,1.8000002,99.54323602441029,First,non,non, False
24, 18.977174132549255,18.977174132549255,20.652039865445126,15.870795,1.8000002,99.50492418778087,First,non,non, False
25, 18.892984007076297,18.892984007076297,20.652039865445126,16.819502,1.8000002,99.46702900688943,First,non,non, False
26, 18.99950924765911,18.99950924765911,20.652039865445126,17.76856,1.8000002,99.42906552177867,First,non,non, False
27, 18.96309146341911,18.96309146341911,20.652039865445126,18.714619,1.8000002,99.39151869240588,First,non,non, False
28, 19.55651704373718,19.005646301793856,20.652039865445126,19.65971,1.7500002,99.3539308805015,First,non,InsideOvertaking, False
29, 19.770565686933228,19.00264268032491,20.652039865445126,20.605154,1.7000003,99.31628842522164,First,non,InsideOvertaking, False
30, 20.879660735925118,18.903729775164763,20.652039865445126,21.550951,1.6500003,99.27860498741016,First,non,InsideOvertaking, False
31, 19.42161344632506,18.9736990544035,20.652039865445126,22.4971,1.6000004,99.24086690622323,First,non,InsideOvertaking, False
32, 21.03008164513647,19.0028430986385,20.652039865445126,23.443605,1.5500004,99.20307418166081,First,non,InsideOvertaking, False
33, 20.429254222940806,18.942057016250615,20.652039865445126,24.390463,1.5000005,99.16524047456679,First,non,InsideOvertaking, False
34, 19.88796965581698,18.924319630439886,20.652039865445126,25.337673,1.4500005,99.12736578494116,First,non,InsideOvertaking, False
35, 18.95025927376078,18.95025927376078,20.652039865445126,26.283203,1.4500005,99.08989409020965,First,non,non, False
36, 18.947075602272843,18.947075602272843,20.652039865445126,27.229086,1.4500005,99.05236775210268,First,non,non, False
37, 18.95685510171415,18.95685510171415,20.652039865445126,28.175322,1.4500005,99.0148004314641,First,non,non, False
38, 18.973834887721576,18.973834887721576,20.652039865445126,29.12191,1.4500005,98.97717846745003,First,non,non, False
39, 18.992210407375673,18.992210407375673,20.652039865445126,30.068851,1.4500005,98.93951552090437,First,non,non, False
40, 18.955219430729418,18.955219430729418,20.652039865445126,31.016146,1.4500005,98.90179793098324,First,non,non, False
41, 18.899573801807847,18.899573801807847,20.652039865445126,31.96044,1.4500005,98.86449016637815,First,non,non, False
42, 18.96631697732526,18.96631697732526,20.652039865445126,32.905087,1.4500005,98.82713458881953,First,non,non, False
43, 18.916099504062107,18.916099504062107,20.652039865445126,33.850086,1.4500005,98.78972436788544,First,non,non, False
44, 18.90306181793533,18.90306181793533,20.652039865445126,34.79544,1.4500005,98.75227316441973,First,non,non, False
